MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x06\x04ルイ\nCiao, Saphir. Ti unisci a me per una tazza\ndi tè?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nForse non scaccerà gli incubi, ma potrebbe\naiutarti a liberare la mente dai brutti pensieri.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nザフィーア\nGrazie, Louis. Se la mettiamo così, non posso\nrifiutare.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ルイ\nSono contento.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nChe strano, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nザフィーア\nNon avrei mai immaginato che una tazza di\ntè potesse rilassarmi così tanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nÈ un piacere sentirtelo dire. Ti preparerò\nil tè ogni volta che vorrai.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nTi ringrazio.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nHai avuto un'altra notte insonne?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nSì, faccio un incubo ricorrente.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nHo sognato di quando i miei genitori e la mia\namica furono uccisi davanti ai miei occhi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nザフィーア\nQuand'ero piccola, i soldati dell'Elusia\nattaccarono il mio villaggio di pescatori.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nÈ stato decenni fa, ma lo ricordo come se\nfosse ieri.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nSperavo che col tempo, e diventando più forte,\nle cose sarebbero cambiate.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nMa ormai temo che resterò prigioniera dei miei\nricordi per tutta la vita.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nMi dispiace tanto, non deve essere facile.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nScusa, non volevo rovinare il momento\ndel tè con questi discorsi tristi.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nMa che dici, Saphir? Con me puoi parlare\nliberamente di tutto ciò che vuoi.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ルイ\nIn compenso io non posso fare altro che\nascoltare e versarti il tè.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nNon preoccuparti, basta e avanza. Grazie, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nザフィーア\nQuesto tè... il suo sapore e l'odore sono così\nfamiliari...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nPerché mi sono documentato sui tipi di tè che\nsi bevono dalle tue parti.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nOra capisco...\nMa perché l'hai fatto?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nNon sono niente di speciale, in confronto a\nquelli che si trovano in Firene.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ルイ\nPorti con te ricordi dolorosi che non\nsvaniscono, per quanto tu lo desideri.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nHo visto quanto questi ricordi pesino sulle\ntue spalle.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nPurtroppo non posso aiutarti a sbarazzartene,\nnon posseggo tale potere.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nTemo che nessuno lo abbia.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nMa ho avuto un'idea...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nI ricordi dolorosi non sono i soli a essere\ncosì tenaci.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nCredo di capire cosa intendi...\nBeh, sembra che funzioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nザフィーア\nMi è bastato bere un sorso di tè, per farmi\nassalire dai ricordi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nI campi su cui correvo con la mia amica,\ngli alberi sotto i quali ci raccontavamo i sogni...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nLa schiena di mio padre che parte per pescare,\nil viso di mia madre che cucina... e noi tre a\ntavola.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nQuelli furono tempi così felici... li avevo quasi\ndimenticati. E invece sono sempre stati qui\nnella mia mente.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nProprio così.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nGrazie a te penso proprio che stanotte riuscirò\na dormire bene. Forse sognerò questi bei\nricordi.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nSono lieto di esserti stato d'aiuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nDevi sapere, Louis...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nザフィーア\n... che anche tu rimarrai sempre nella\nmia mente, con tutti i momenti felici\nche stiamo passando insieme.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nI miei ricordi di te saranno altrettanto\nindelebili, Saphir.\x0E\x04\x00\x00
