MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nDrago Divino! Drago Divino!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nCome può essere orgogliosa di me, la mia\nfamiglia? Nessuno lo sarebbe.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nForse mi hanno direttamente dimenticato.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nKagetsu...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nCiò significa che abbiamo ancora più\nlavoro da fare!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nEh?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nSe diventerai ancora più valoroso, non potranno\nfare a meno di perdonarti!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nDovrai solo diventare una leggenda di cui tutti\nparlano, tutto qua.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nSe il tuo nome è sulle labbra di tutti,\nnon potranno certo dimenticarti.\nSiamo amici, ti aiuterò io.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nAmici... Drago Divino...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nPensavo che per essere amici bastasse parlare,\nma c'è molto altro in realtà.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nÈ vero, l'amicizia è qualcosa di più. I veri amici\nsi aiutano nei momenti difficili.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\nAllora ormai il nostro legame è solidissimo!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nTrovi?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nSì! Siamo stati amici sin da subito, ma col\ntempo questo legame si è rafforzato!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nGiusto, mi trovi d'accordo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nE grazie alla nostra grande amicizia, le nostre\ngesta saranno conosciute in ogni dove!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nSembri pensieroso. Qualcosa non va, Kagetsu?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06カゲツ\nDrago Divino... Ho paura che il nostro legame\nsi sia indebolito.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nHo fatto qualcosa che non va? Scusami! Posso\nrimediare in qualche modo?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06カゲツ\nNon hai fatto niente... è colpa mia.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06カゲツ\nSo che hai trovato quell'anello del patto, quindi\nora potrai darlo a qualcuno di speciale.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06カゲツ\nVorrei essere felice per quella persona, ma\nper quanto cerchi di reprimere i miei sentimenti,\nnon riesco a non provare gelosia.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06カゲツ\nIl legame tra te e quella persona diventerà più\nforte di ogni amicizia.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06カゲツ\nNon riesco a essere felice per te, perché sono\ntroppo occupato a sperare che tu scelga me.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nKagetsu...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06カゲツ\nMa la gelosia non è un sentimento sano. Ecco\nperché dicevo che il nostro legame si\nè indebolito.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nKagetsu.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nSei proprio uno stupidone.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06カゲツ\nMa come? Sono serissimo!\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nNon avevi nessun motivo di preoccuparti...\nperché in realtà è a te che voglio dare l'anello.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06カゲツ\nL'anello del patto? Ma perché?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nPerché voglio che tu sia il mio compagno.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06カゲツ\nIo? Davvero?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nMa certo, non ti mentirei mai, perché il nostro\nlegame è più forte di qualsiasi amicizia.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06カゲツ\nQuindi i nostri sentimenti sono reciproci?\nSì! Che bello!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x08\x06カゲツ\nAhahah! Non ho mai provato una felicità più\ngrande in tutta la mia vita! Grazie, grazie!\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nEheh. Grazie a te, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06カゲツ\nPrima amici e ora compagni. Era destino che\nfosse così! E ora cosa ci riserva il futuro?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nUna famiglia, magari? Intanto mi piacerebbe\nconoscere la tua.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06カゲツ\nMolto bene. Quando sarò pronto a tornare\na casa, ti porterò con me.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06カゲツ\nE nel frattempo farò di tutto per renderti\norgoglios\x0E\x0A\x00\x08\x02o\x02a di me, \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06カゲツ\nCome tuo compagno, dedicherò la mia vita\nintera a renderti felice. Perché ti amo!\x0E\x04\x00\x00
