MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nSembri stanca, lady Nel. Dovresti fare uno\nspuntino.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNon sono il tipo che rifiuta una sfida. Fatti sotto\ne non trattenerti!\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nPur continuando a bramare più forza, le mie\nmotivazioni sono cambiate. Ora desidero solo\nproteggere gli altri.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nMolto bene. Ma a volte è anche il caso di fare\naffidamento sugli alleati.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nIo, ad esempio, ero convinto che se fossi\ndiventato fortissimo avrei potuto proteggere\ni miei amici in ogni momento. Mi sbagliavo.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nNon riesco a fare affidamento sugli altri, non mi\nviene naturale. Potrei cominciare da te, però.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nNon ti vedo spesso sederti a mangiare. Se non\nti nutri come si deve, ti mancheranno le forze.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNon temere, ho appena mangiato qualcosa...\nCioè... in realtà era qualche giorno fa!\nAndrò subito a rimediare.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nSono colpito dal modo in cui ti prendi cura degli\naltri. Significa che hai una grande gentilezza\nd'animo.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nPotrei dire lo stesso di te. Non ti tiri mai indietro\nquando c'è da aiutare qualcuno, me compresa.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nQuando ci sei tu, tutte le persone intorno\ncominciano a sorridere. È una cosa fantastica.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nAhah, grazie... ma a cosa devo questo\ncomplimento?\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nHo paura che tu finisca col dare troppa\npriorità agli altri. Fammi sapere se hai bisogno\ndi aiuto, va bene?\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nApprezzo la preoccupazione, ma sto bene,\ndavvero. Anche grazie a te che ti prendi\ncura di me!\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nEhi, Gregory, è da un po' che osservo i tuoi\nabiti. Mi piacciono, sono proprio alla moda!\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nDavvero? Sai, per qualche motivo penso che ti\nstarebbero bene. Sembreresti ancora più forte.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nグレゴリー\nCon te al mio fianco, mi sento più tranquillo.\nMa non vorrei rischiare di appoggiarmi troppo\na te...\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nL'esperienza in battaglia non mi manca.\nÈ sempre meglio combattere con un alleato,\nche da solo.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSe fossi forte e coraggioso come te, magari\nnon scapperei così di sovente.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNon ha senso desiderare di essere qualcuno che\nnon sei. Io ho la forza e l'armatura, tu hai le tue\nabilità strategiche.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nDobbiamo unire le forze, per superare le nostre\ndebolezze. È l'unico modo per combattere!\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nUnire le forze... Ma certo, ha senso. Penserò\na una strategia per ottimizzare gli sforzi!\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nQualcosa non va, Madeline? Perché mi fissi?\nHo qualcosa in faccia?\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nNo, stavo solo notando la leggerezza con cui\nti muovi, nonostante la pesante armatura.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nSei brava a trovare il lato migliore delle persone.\nPotrei imparare molto da te.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nImparare da me? Troppo gentile, ser Hector.\nSono io che ho da imparare da te, piuttosto.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nマデリーン\nSer Hector, vorrei scoprire il segreto per\ndiventare un vero eroe come te.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSegreto? Non ho segreti...\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nCombatto per proteggere i miei amici con un\nunico pensiero nella mente: non permetterò che\ngli accada nulla di male!\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nVuoi proteggere gli amici... Che sia questo il\nsegreto? Ho ancora molto da imparare... lascia\nche combatta al tuo fianco.\x0E\x04\x00\x00
