MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nQuesto posto non mi dice niente. Dove siamo?\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x14\x04ロイ\x0CStatus\n\x0E\x03\x02\x06\x04ロイ\nSi prospetta una bella lotta. Vieni, Diamant.\nCombattiamo!\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x14\nスタルーク\x06Sad\n\x0E\x03\x02\x0C\nスタルーク\nL-Lord Roy? Siete sicuro di volervi battere\nproprio contro di me?\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x0A\x04ロイ\x02b\n\x0E\x05\x01\x12\x04ロイ\nSmile\n\x0E\x03\x02\x06\x04ロイ\nPerché dici così, Alcryst?\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x05\x01\x14\x04ロイ\x0CStatus\n\x0E\x03\x02\x06\x04ロイ\nSono stato affidato al regno di cui tu sei\nprincipe. Potrei forse desiderare un avversario\nmigliore?\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x05\x01\x16\x04ロイ\x0EStandBy\n\x0E\x03\x02\x06\x04ロイ\nForza. Non indugiamo!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nBella lotta, \x0E\x06\x03\x00.\nGrazie per avere accettato la sfida.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nSe mi fossi distratt\x0E\x0A\x00\x08\x02o\x02a anche solo un attimo, sono\ncert\x0E\x0A\x00\x08\x02o\x02a che avrei perso. Spero di non incontrarti\nmai più come avversario.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x06\x04ロイ\nTroppi complimenti, non devi.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x06\x04ロイ\n...\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nChe c'è, Roy? Perché mi guardi così?\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x06\x04ロイ\nOh... Niente. Mi ricordi una ragazza\nche conoscevo. Si chiamava Idunn.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x06\x04ロイ\nEra... un Drago Diabolico, che seguiva gli ordini\ndi Zephiel, re di Biran. Il suo compito era\ndistruggere l'umanità.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nDrago Diabolico?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x06\x04ロイ\nAnche i suoi occhi avevano colori diversi.\nE tu me la ricordi anche nell'atteggiamento.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nNon ne avevo mai sentito parlare...\nQuindi tu dovesti affrontarla?\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x06\x04ロイ\nMi trovai davanti a una scelta. Sconfiggere lei\ne tutta la sua stirpe, o risparmiare una nemica\ndell'umanità.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x06\x04ロイ\nSecondo te, cosa scelsi?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nNon so...\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x06\x04ロイ\nTe lo dirò un'altra volta. Quando avremo\nun po' più di tempo.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nOh... D'accordo, ma è una promessa, spero.\nSono curios\x0E\x0A\x00\x08\x02o\x02a di sapere come andò a finire.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x06\x04ロイ\nFinirò il racconto, promesso. Nel frattempo\ngodiamoci il tempo che ci è dato di trascorrere\ninsieme, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
