MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nNel.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04エル\nProbabilmente mi porterò la cicatrice per\nsempre. E la tua?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nラファール\nStessa cosa. Per il resto della mia vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04エル\nEheh... Siamo gemelli di cicatrici, ora.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nラファール\nNon è il caso di riderci sopra.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04エル\nInvece sì. Questa ferita è la prova che ho\nprotetto mio fratello.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nラファール\nAhahah! Sei proprio incorreggibile.\nNon ti batte nessuno.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x06\x04エル\nFinalmente ti vedo ridere. Il tuo sorriso\nresterà per sempre inciso nella mia mente.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nラファール\nQuale sorriso? Te lo devi essere sognato.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x06\x04エル\nNon mi lascio abbindolare, Rafal.\nTi è impossibile imbrogliarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0C\nラファール\nPerché? Perché siamo due metà?\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x06\x04エル\nEsattamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nラファール\nLa mia mente è anche la tua, immagino.\nE spero che resti così per sempre, cara sorella.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x06\x04エル\nAnche io.\x0E\x04\x00\x00
