MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nPiacere di fare conoscenza, emblema Dimitri.\nIl tuo aiuto è davvero salvifico.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nChe strano... Mi sento debole e leggermente\nstordita.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0C\nディミトリ\nA giudicare dal... brontolio del tuo stomaco...\nnon è che hai fame?\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nTu e gli altri membri dei Quattro Venti sembrate\ncosì uniti, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nSono affezionata a loro e me ne prendo cura.\nAnche voi tre sembrate molto legati.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nQuindi all'Accademia Ufficiali vivevi assieme ad\naltri studenti. Sembra quasi una famiglia.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0C\nディミトリ\nTu dici? Permettimi di dissentire. Provenivamo\ntutti da ambienti diversi, ciascuno con il suo\nlignaggio.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nMa questo non ha importanza. Anche qui\nveniamo tutti da realtà diverse, eppure siamo\ncome parenti tra di noi.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0C\nディミトリ\nA prescindere dalla classe o dalla nazionalità...\nIn effetti, sarebbe grandioso se tutti la\npensassero così.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nグレゴリー\nUna buona pianificazione e raccolta di\ninformazioni sono un aspetto fondamentale,\nnon trovi anche tu?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0A\x08クロード\nPuoi ben dirlo. Senza le giuste conoscenze,\nsarebbe impossibile tendere degli agguati\nai nemici.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nDi solito cerco di eliminare più nemici che\nposso, a qualsiasi costo. Se poi tutto il resto\nfallisse, resta sempre la fuga.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nTi piacciono proprio le battaglie, eh? Mi sa\nche non abbiamo poi così tanto in comune,\nallora.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nIn mezzo a un branco di nemici assetati di\nsangue, la tua abilità nella fuga potrebbe dare\nun valore aggiunto alla mia strategia.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nChe strategia?\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0A\x08クロード\nPotresti infiltrarti in mezzo ai nemici e creare\nscompiglio. Poi, subentrerei io al tuo fianco.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nAh, ho capito... Oh-oh. Ma quindi dovrei\nmettermi in pericolo da solo?\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nマデリーン\nI miei genitori erano dei cavalieri eccezionali.\nIo sto ancora imparando...\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nBasta guardarti per capire che hai avuto degli\nottimi esempi. Scommetto che i tuoi genitori\nsarebbero orgogliosi di te.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nマデリーン\nMi piacerebbe conoscerti meglio, lady Edelgard.\nCom'erano i tuoi genitori?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nMia madre morì quando ero molto giovane.\nMio padre era gentile... fin troppo, per un\nimperatore.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nMadeline, come mai sorridi?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nQuando siamo insieme, mi sembra quasi di\navere una sorella maggiore al mio fianco.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nマデリーン\nOvviamente, sono ben consapevole della\ndifferenza di rango. È solo che sono figlia\nunica...\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nOh, che carina, grazie. Anch'io sono felice\nquando parlo con te.\x0E\x04\x00\x00
