MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nAh! Gyah! Aaaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x02\x08\x06ラピス\nAh, adoro i pacchi di mamma e papà.\nChissà cosa c'è dentro...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nEheh... Come se non lo sapessi.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nUh, questa volta non si sono risparmiati!\nSembrano ancora più buone del solito. Mmmh...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nLapis? Come mai tutti questi versi?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nWaaah! Citrinne?!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nFiuuu! Che spavento! È tutto buio e spunti così\ncon quella faccia torva...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nMi sarei dovuta mettere una maschera?\nDubito che ti avrei fatto meno paura, così.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nNon essere cattiva, Lapis... Lo sai che questa\nè la mia faccia normale.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nScusa, non intendevo offenderti. È solo che\nmi hai spaventata...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nOh! Che belle patate! Te le ha portate qualcuno\ndalla campagna?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nNo, nessuno. Me le hanno... Cioè...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nSembrerebbe un pacco dai tuoi genitori.\nPossiedono delle terre?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nCredevo che vivessero in città, ma forse ho\ncapito male?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nUh...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nE va bene, ecco la verità, Citrinne. I miei\ngenitori non vivono in città.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nシトリニカ\nAh no?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nI miei genitori, anzi, tutta la mia famiglia vive\nin campagna... e questi tuberi vengono da lì.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nMa allora perché hai sempre dett-\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nErano bugie. So che non si dicono, ma l'ho fatto\nlo stesso. Ti prego, non dirlo a nessuno.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nCerto, stai tranquilla. Ma perché avresti dovuto\nmentire? Non capisco...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nVolevo sembrare meno... campagnola, ecco.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nNon riesco a non pensarci. Il principe Alcryst\nè un nobile e tu fai parte della sua famiglia.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ラピス\nCosa ci fa una sempliciotta come me con gente\ncome voi? Niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nシトリニカ\nLapis! Ma cosa dici! Non ha importanza...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ラピス\nÈ importante per me. Vorrei avere un albero\ngenealogico come il tuo...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ラピス\nMa le cose sono diverse per me.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nシトリニカ\nOh, Lapis...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nシトリニカ\nTra me e te siamo proprio una bella coppia.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x08\x06ラピス\nEh?\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0C\nシトリニカ\nTu vorresti delle origini meno umili, mentre io\nvorrei essere più forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x0C\nシトリニカ\nOgnuna ha quello che manca all'altra.\nCi completiamo a vicenda.\x0E\x04\x00\x00
MID_RELIANCE_B_#032	\x0E\x03\x02\x08\x06ラピス\nOh. Hai ragione.\x0E\x04\x00\x00
MID_RELIANCE_B_#033	\x0E\x03\x02\x0C\nシトリニカ\nStai tranquilla, il tuo segreto è al sicuro con me.\nOra vado. È ora del mio allenamento notturno.\x0E\x04\x00\x00
MID_RELIANCE_B_#034	\x0E\x03\x02\x0C\nシトリニカ\nBuona notte, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#035	\x0E\x03\x02\x08\x06ラピス\nNotte, Citrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06ラピス\nEccoti qua, Citrinne! Ti stavo aspettando.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nOh? Come mai, Lapis?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nVolevo prendere parte al tuo allenamento\nnotturno. In due è più divertente, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh! Non vorrei mai privarti delle tue ore\ndi sonno...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nOh, non preoccuparti. Mi sento ancora in colpa\nper l'altra notte.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nE poi non riesco a dormire se so che una cara\namica è sveglia a farsi in quattro.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nLapis... Sei così gentile.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nHo qualcosa per te. Prendi.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nUn biglietto? No, è un indirizzo! Di cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nÈ l'indirizzo di una vecchia magione di famiglia\nnel cuore del villaggio.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nÈ un po' che non la usiamo, ma c'è ancora\nla servitù a prendersene cura.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nUh... e perché mi dai l'indirizzo?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nSe vuoi nascondere le tue origini, è meglio se\nnon ti fai arrivare dei pacchi dalla campagna.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nQuindi puoi farteli spedire da questo indirizzo!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nI tuoi genitori possono mandare i pacchi lì, e la\nservitù li manderà dritti a te!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nAnzi, la tua famiglia potrebbe andare lì in\nvacanza o addirittura trasferirsi direttamente!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\nSono i benvenuti.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nWow...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nCitrinne... Grazie. Non immaginavo che avessi\npreso tanto a cuore la cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nNon mi costa niente. Per un'amica questo e\naltro.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nSei gentile... ma non posso accettare la tua\nofferta.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nCosa? E perché no?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\nI miei genitori non sono nobili, ma io sono\norgogliosa di loro e non voglio che nascondano\nle loro origini.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nAnche se non mi piace che in giro si sappia da\ndove vengo, con te posso essere me stessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nCara...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nシトリニカ\nChe coppia che siamo, eh? Ognuna ha ciò che\nmanca all'altra...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nE siamo sempre pronte ad aiutarci a vicenda.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nシトリニカ\nNon male, come amicizia!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ラピス\nPuoi dirlo forte.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ラピス\nPensi che sia per questo che il principe Alcryst\nci ha scelte?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nシトリニカ\nOh, dubito che abbia visto così lontano. So che\nne sei infatuata, ma non è così furbo.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ラピス\nMa cosa dici! N-Non sono infatuata!\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nシトリニカ\nMa guardati! Sei tutta rossa! Sembri uno di\nquei tappeti del palazzo reale.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06ラピス\nOh, lasciami in pace.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x08\x06ラピス\nE quei tappeti non sono così rossi. Dovresti\nvedere i pomodori in campagna da me!\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0C\nシトリニカ\nOh? Sarebbe bello fare una gita. Mi ci\nporteresti?\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06ラピス\nCerto! Ma non portare soldi. I contadini là\npreferiscono il baratto.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nシトリニカ\nPerò, che sistema rustico! Ho giusto un paio di\ncollane che non uso...\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06ラピス\nSe baratti quelle, riempiresti tutta la magione\ndi pomodori!\x0E\x04\x00\x00
