MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nCiao, Jean. Sei un aspirante *dottore*, se non\nerro. Avresti un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ジャン\nPerò hai fatto davvero un buon lavoro. Devi\nessere un medico esperto.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nTutto quello che so l'ho *imparato* da mia\nmadre. Era una dottoressa.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nComunque, se queste medicine ti sembrano\n*soddisfacenti*, allora te le lascio.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06ジャン\nGrazie, Zelkov. Sei gentile, nonostante\nle apparenze.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nGrazie per le medicine. Le ho distribuite in\ngiro e ho ricevuto molti ringraziamenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nMi fa piacere. Mia madre li *meriterebbe*, non\nio, visto che le ricette erano le sue.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nDov'è adesso? Vorrei ringraziarla di persona.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nMi spiace, ma non sarà possibile. È *deceduta*\npiù di dieci anni fa.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nOh, non sapevo. Scusa se ti ci ho fatto pensare.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nNon fartene un problema.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nSi è occupata di crescere uno come me,\ncompito che richiede una gentilezza fuori\ndal comune.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nIl suo affetto illuminava anche la più cupa delle\ngiornate.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nChe hai?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nLe tue parole mi hanno fatto pensare alla mia\nmamma.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ジャン\nAnche lei mi ha tirato su facendomi sempre\nsentire amato, come la tua.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nAnche tu hai *perso* tua madre?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nOh, no, è viva e vegeta. Anche se ultimamente\nha qualche acciacco.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\nÈ da molto che non la vedo...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nNon dev'essere facile stare *lontano* da lei.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ジャン\nMh mh. Si avvicina il suo compleanno, ma\nancora non so cosa faremo...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ジャン\nDi solito lo celebriamo in famiglia, ma\nquest'anno dubito che riusciremo a trovarci.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nForse potresti scriverle una *lettera*.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ジャン\nUh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ジャン\nOttima idea! Come ho fatto a non pensarci?\nGrazie, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nNon ringraziarmi. La felicità di un bimbo è\nl'unica *ricompensa* che voglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nHo poi scritto una lettera a mia mamma.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\nContavo di spedirla oggi, ma prima volevo\nleggertela.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nMa certo. Nessun *problema*.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nGrazie. Dunque...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\n"Cara mamma, tanti auguri! Spero che vada\ntutto bene."\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\n"Io tutto a posto, anche se di recente ho\nconosciuto un tizio davvero enigmatico."\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nE chi è questo tizio *enigmatico*?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ジャン\n"La prima volta che mi ha rivolto la parola avevo\nle gambe che tremavano."\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\n"Ha fatto un timido sorriso e si è scusato per\nil suo aspetto minaccioso."\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\n"Sul momento ho temuto il peggio."\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nOh. Ho capito. Stai parlando di *me*.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ジャン\n"Ma poi ho scoperto che non avevo nulla da\ntemere e che, anzi, è una persona gentile."\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ジャン\n"Ecco come mai ti sto scrivendo questa lettera."\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ジャン\n"Mi hai sempre detto di non giudicare nessuno\nper il suo aspetto. Beh, avevi ragione."\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\n"Ora che vivo lontano da te capisco che avevi\nragione su un mucchio di cose."\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\n"Grazie per essere la mia mamma. Spero che\ntu stia sempre bene e in salute ancora per molto\ntempo."\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\n"Ci sarò per il tuo prossimo compleanno, lo\nprometto. Salutami papà."\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\n"Con amore, Jean."\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nEcco. Ve bene come lettera, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nNulla da ridire. È *perfetta* così com'è.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nMi stupisco che si parli di *me*, ma se ho\nlasciato una buona impressione non posso\ncerto lamentarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nMandale anche questo assieme alla lettera.\nSi chiama *olio di ossidiana*.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ジャン\nQuesta volta ossidiana?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nÈ facilmente assorbibile. Dovrebbe alleviare\ni dolori per i suoi *acciacchi*.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ジャン\nGrazie di tutto, Zelkov. Per questo unguento\ne per tutto il resto.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nSe vuoi davvero ringraziarmi, abbi cura di\ntua madre.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nIo non ho mai avuto l'opportunità di farlo e\nora purtroppo non posso più. È il mio rimpianto\npiù grande.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nNon fare i miei stessi errori. Non lesinare affetto\nai tuoi genitori, finché puoi.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ジャン\nVa bene, Zelkov. Lo farò anche per te.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ゼルコバ\nLo apprezzo molto.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ジャン\nE sarò anche un buon amico per te.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06ジャン\nVieni a cercarmi la prossima volta che devi\npreparare delle medicine!\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nDavvero... gentile.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nCioè, accetto con *piacere*.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nGrazie, Jean.\x0E\x04\x00\x00
