MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nLady Nel, desiderate qualcosa da bere?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	Quelli che rimanevano, parlavano di Zephia e\ni Quattro Segugi... cose che non riesco proprio\na capire.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	La conversazione diventava sempre\nimbarazzante e non riuscivo a spiegare che\nvolevo solo fare amicizia.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nForse il problema è che sono un Drago Magico?\nMagari fanno fatica ad accettarmi.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nNon credo. Noi draghi possiamo senza dubbio\nstringere legami anche con le altre persone.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Il Drago Divino ce lo ha dimostrato innumerevoli\nvolte.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Non v'è motivo per cui tu non possa fare\naltrettanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nÈ vero, ma...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04エル\nSe ti senti in ansia, forse posso accompagnarti\nio la prossima volta che ci provi.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nLo fareste davvero?! Mi piacerebbe tanto\nuscire un po' con voi.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04エル\nEheh... ebbene, allora lo faremo.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cセレスティア\nSì!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nLady Nel! Sono tornata in città oggi e ho\nprovato a parlare con gli altri!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nA giudicare dal tuo entusiasmo, si direbbe\nproprio che tu abbia stretto qualche nuova\namicizia.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nSì, ce l'ho fatta! E tutto grazie a voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nNon ho fatto altro che ricordarti il coraggio\nche hai dentro di te.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	A quanto pare, non hai bisogno di ulteriori\nconsigli da parte mia, su questo argomento.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nA dire il vero... c'è un'altra questione che\nsperavo poteste aiutarmi a risolvere.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Non vorrei peccare di sfacciataggine, ma...\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Lady Nel, vi piacerebbe stringere amicizia con\nme?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04エル\nSono costretta a rifiutare.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nCome? Non volete essere mia amica?\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Lo sapevo... mi odiate!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04エル\nMa certo che no. Non fraintendermi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nCosa intendete?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04エル\nScusa il mio tono freddo, è solo il modo in cui\nsono abituata a parlare.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Sono costretta a rifiutare di stringere una nuova\namicizia con te, giacché ve n'è già una tra noi.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nOh... volete dire che siamo già amiche?\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Ma è meraviglioso... sigh...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04エル\nNon piangere.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nPiango di gioia, per le vostre parole.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Sto forse sognando? Sto sognando, non è\npossibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04エル\nNon stai sognando, Zelestia. E senza dubbio\nsei la mia più cara amica.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nLa vostra più cara amica? Sono onorata, lady\nNel. Anche voi siete la mia più cara amica.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Voglio restare al vostro fianco come migliore\namica per sempre. Lasciate che mi occupi di\nvoi anche in futuro!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04エル\nCosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cセレスティア\nAvete sete? O desiderate qualcosa da\nmangiare?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04エル\nIn qualche modo siamo tornate al punto di\npartenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nNon riesco a immaginare niente di più bello che\nrestare al vostro fianco come amica, lady Nel.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04エル\nSe ti fa gioire, non può che far gioire anche me.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	La nostra amicizia mi rende davvero felice,\nsono senza parole.\x0E\x04\x00\x00
