MID_Hub_ThisTime	Tempo attuale
MID_Hub_RefineGodWeapon_Empty	Nessuna arma unione.
MID_Hub_RefineGodWeapon_Nothing	Nessun potenziamento.
MID_Hub_RefineGodWeapon_SelectParam_Help	Scegli cosa potenziare.
MID_Hub_RefineGodWeapon_Comfirm	Vuoi potenziare "\x0E\x01\x01\x00"\ndi \x0E\x01\x00\x00?
MID_Hub_RefineGodWeapon_Contents	Potenziamento
MID_Hub_RefineGodWeapon_Comfirm_Skill	Vuoi aggiungere l'efficacia\na "\x0E\x01\x01\x00" di \x0E\x01\x00\x00?
MID_Hub_RefineGodWeapon_Comfirm_Skill_Yes	Aggiungi
MID_Hub_RefineGodWeapon_Comfirm_Skill_Change	Vuoi sostituire l'efficacia\nsu "\x0E\x01\x01\x00" di \x0E\x01\x00\x00?
MID_Hub_RefineGodWeapon_Comfirm_Skill_Change_Yes	Sostituisci
MID_Hub_RefineGodWeapon_Comfirm_Yes	Potenzia
MID_Hub_RefineGodWeapon_Comfirm2	Hai potenziato l'arma \x0E\x01\x01\x00\ndi \x0E\x01\x00\x00 a \x0E\x01\x02\x00 Liv \x0E\x01\x03\x00.
MID_Hub_RefineGodWeapon_Comfirm2_Skill	Hai aggiunto l'abilità "\x0E\x01\x02\x00"\nall'arma "\x0E\x01\x01\x00" di \x0E\x01\x00\x00.
MID_Hub_RefineGodWeapon_PowerUpValue	Valore
MID_Hub_RefineGodWeapon_Reset	Resetta
MID_Hub_RefineGodWeapon_Reset_Help	Seleziona un'arma unione.
MID_Hub_RefineGodWeapon_ResetParam_Help	Scegli il potenziamento da rimuovere.
MID_Hub_RefineGodWeapon_Reset_Comfirm	Vuoi resettare "\x0E\x01\x01\x00" di \x0E\x01\x00\x00\na \x0E\x01\x02\x00 Liv \x0E\x01\x03\x00?
MID_Hub_RefineGodWeapon_Reset_Comfirm_Skill	Vuoi rimuovere "\x0E\x01\x02\x00"\nda "\x0E\x01\x01\x00" di \x0E\x01\x00\x00?
MID_Hub_RefineGodWeapon_Reset_Comfirm_Yes	Sì
MID_Hub_RefineGodWeapon_Reset_Comfirm2	Hai resettato "\x0E\x01\x01\x00" di \x0E\x01\x00\x00\na \x0E\x01\x02\x00 Liv \x0E\x01\x03\x00.
MID_Hub_RefineGodWeapon_Reset_Comfirm2_Skill	Hai rimosso "\x0E\x01\x02\x00"\nda "\x0E\x01\x01\x00" di \x0E\x01\x00\x00.
MID_Hub_Arena_Gate	Sigillo allenamento
MID_Hub_Arena_Limit	Rimanenti:
MID_Hub_Arena_Lv_MAX	Livello di legame al massimo.
MID_Hub_Arena_Lv_Cap	Assisti alla conversazione per\naumentare il livello di legame.
MID_Hub_Arena_Lv_Cap_Look	Assisti alla conversazione
MID_Hub_Arena_Lv_Once	Puoi aumentare un legame\nsolo di 5 livelli alla volta.
MID_Hub_Arena_Help	Scegli un'azione.
MID_Hub_Arena_Start	Normale
MID_Hub_Arena_Start_Help	Scegli l'unità da far allenare.
MID_Hub_Arena_GodRelianceUp_Start	Emblemi
MID_Hub_Arena_GodRelianceUp_Start_Got_Select_Help	Scegli l'emblema avversario.
MID_Hub_Arena_GodRelianceUp_Lv_Select	Scegli il nuovo livello.
MID_Hub_Arena_GodRelianceUp_Help	Unità ed emblemi possono\naumentare il livello di\nlegame allenandosi insieme.\nAumentare di livello costa\nframmenti di legame.
MID_Hub_Arena_GodRelianceUp_Start_Confirm	Vuoi far allenare \x0E\x01\x00\x00\ncon \x0E\x01\x01\x00?
MID_Hub_Arena_NoWeapon	Questo personaggio non ha armi attivabili\nnel suo inventario, quindi non può allenarsi.
MID_Hub_Arena_Start_Confirm	Vuoi far allenare \x0E\x01\x00\x00?
MID_Hub_Arena_Win	VITTORIA
MID_Hub_Arena_Lose	SCONFITTA
MID_Hub_Arena_Draw	PAREGGIO
MID_Hub_Arena_BattleStart	VS
MID_Hub_Level_Choice	Scegli il livello di difficoltà.
MID_Hub_NewLevel_Open	Si sblocca procedendo nell'avventura.
MID_Hub_MiniGame_Expert	Esperto
MID_Hub_MiniGame_Start	VIA!
MID_Hub_MiniGame_Finish	FINE!
MID_Hub_MiniGame_Stop	STOP!
MID_Hub_Mascot_Take_MuscleExercises	Vuoi l'aiuto di \x0E\x06\x05\x00?\nTi darà una mano se si affeziona a te.
MID_Hub_Mascot_Take_MuscleExercises_Yes	Con \x0E\x06\x05\x00
MID_Hub_Mascot_NoTake_MuscleExercises	Ginnastica solitaria
MID_Hub_Mascot_Take_Fishing	Vuoi l'aiuto di \x0E\x06\x05\x00?\nTi darà una mano se si affeziona a te.
MID_Hub_Mascot_Take_Fishing_Yes	Con \x0E\x06\x05\x00
MID_Hub_Mascot_NoTake_Fishing	Pesca solitaria
MID_Hub_Mascot_Take_DragonRide	Vuoi l'aiuto di \x0E\x06\x05\x00?\nTi darà una mano se si affeziona a te.
MID_Hub_Mascot_Take_DragonRide_Yes	Con \x0E\x06\x05\x00
MID_Hub_Mascot_NoTake_DragonRide	Volo solitario
MID_Hub_MiniGame_AddDifficulty	Nuovo livello di difficoltà sbloccato: \x0E\x01\x00\x00.
MID_Hub_MiniGame_AddDifficulty_Muscle	È stato aggiunto il livello di difficoltà Culturista.\n(Questa difficoltà è una sfida per cercare di\nbattere il tuo record. Non ti farà guadagnare\nricompense o incrementi ai parametri.)
MID_Hub_MiniGame_MascotHelp	Assistente
MID_Hub_MiniGame_MascotHelp_Count	Numero aiuti
MID_Hub_MiniGame_ThisTimeScore	Punteggio
MID_Hub_MiniGame_BestScore	Record
MID_Hub_MiniGame_NoScore	--
MID_Hub_MiniGame_TryResult	Risultati
MID_Hub_MiniGame_DifficultyTipe	Difficoltà: \x0E\x01\x00\x00
MID_Hub_MiniGame_NewRecord	Nuovo record!
MID_Hub_MiniGame_Result_SSS	A+++
MID_Hub_MiniGame_Result_SS	A++
MID_Hub_MiniGame_Result_S	A+
MID_Hub_MiniGame_Result_A	A
MID_Hub_MiniGame_Result_B	B
MID_Hub_MiniGame_Result_C	C
MID_Hub_MiniGame_Result_D	D
MID_Hub_MiniGame_Result_E	E
MID_Hub_MiniGame_Result_F	F
MID_Hub_MuscleExercises_Menu_Choice	Scegli un evento.
MID_Hub_MuscleExercises_Rule	Regole
MID_Hub_MuscleExercises_Effect	Effetto
MID_Hub_MuscleExercises_Continuity	Vuoi continuare a fare ginnastica anche se non\nriceverai ulteriori ricompense o benefici?
MID_Hub_MuscleExercises_Continuity_Unacquired	Vuoi continuare a fare ginnastica?
MID_Hub_MuscleExercises_Continuity_Yes	Continua
MID_Hub_MuscleExercises_Muscle	Culturista
MID_Hub_MuscleExercises_Perfect	Perfetto
MID_Hub_MuscleExercises_Good	Bene
MID_Hub_MuscleExercises_Bad	Male
MID_Hub_MuscleExercises_Assist	Assistenza
MID_Hub_MuscleExercises_SpeedUp	Più veloce!
MID_Hub_MuscleExercises_Record	Record attuale
MID_Hub_MuscleExercises_SuccessCount	Ripetizioni
MID_Hub_MuscleExercises_ErrorCount	Errori
MID_Hub_MuscleExercises_Result	Risultati
MID_Hub_MuscleExercises_StatusUp	\x0E\x01\x00\x00 +\x0E\x01\x01\x00 nella prossima battaglia.
MID_Hub_MuscleExercises_PushUps	Flessioni
MID_Hub_MuscleExercises_PushUps_Rule_0	Ferma la barra nel punto\ngiusto al momento giusto.
MID_Hub_MuscleExercises_PushUps_Rule_1	La velocità aumenta.\nDopo tre errori hai perso.
MID_Hub_MuscleExercises_PushUps_Rule_2	\x0E\x06\x03\x00 può ottenere\n+Forz nella prossima battaglia.
MID_Hub_MuscleExercises_Ads	Addominali
MID_Hub_MuscleExercises_Ads_Rule_0	Riempi la barra premendo\nrapidamente il pulsante.
MID_Hub_MuscleExercises_Ads_Rule_1	Il punteggio dipende dalla velocità.\nSe la barra si svuota, hai perso.
MID_Hub_MuscleExercises_Ads_Rule_2	\x0E\x06\x03\x00 può ottenere\n+PS nella prossima battaglia.
MID_Hub_MuscleExercises_Squat	Squat
MID_Hub_MuscleExercises_Squat_Rule_0	Muovi gli stick al ritmo\nseguendo le indicazioni.
MID_Hub_MuscleExercises_Squat_Rule_1	Segui le frecce.\nDopo tre errori, hai perso.
MID_Hub_MuscleExercises_Squat_Rule_2	\x0E\x06\x03\x00 può ottenere\n+Des nella prossima battaglia.
MID_Hub_Fishing_Continue_RodSelect	Scegli una canna da pesca.
MID_Hub_Fishing_Continue	Vuoi continuare a pescare?
MID_Hub_Fish_Pcture_Book	Guida alla pesca
MID_Hub_Fishing_BonusFish	Specie bonus
MID_Hub_Fishing_Rod	Canna da pesca
MID_Hub_Fishing_Fish	Pesci disponibili
MID_Hub_Fishing_Limit	Tentativi rimasti
MID_Hub_Fishing_Count	Esemplari presi
MID_Hub_Fishing_Success	Ben fatto!
MID_Hub_Fishing_Perfect	Perfetto
MID_Hub_Fishing_Escaped_Fast	Troppo presto...
MID_Hub_Fishing_Escaped_Late	Troppo tardi...
MID_Hub_Fishing_Escaped	È scappato...
MID_Hub_Fishing_BestSize	Record
MID_Hub_Fishing_Centimeter	cm
MID_Hub_Fishing_Size	Taglia
MID_Hub_Fishing_TinySize	Minuscolo
MID_Hub_Fishing_SmallSize	Piccolo
MID_Hub_Fishing_MiddleSize	Medio
MID_Hub_Fishing_LargeSize	Grande
MID_Hub_Fishing_BigSize	Enorme
MID_Hub_Fishing_GiantSize	Gigantesco
MID_Hub_Fishing_Shadow_Small	Pesce piccolo
MID_Hub_Fishing_Shadow_Big	Pesce grande
MID_Hub_Fishing_Shadow_Giant	Pesce gigante
MID_Hub_Fishing_GetItem	Strumenti ottenuti
MID_Hub_Fishing_Conditions	Consigli per la pesca
MID_Hub_Fishing_TimeZone	Orario
MID_Hub_Fishing_TimeZone_Night	\x0E\x08\x02\x10\x0EEveningSera\x0E\x08\x02\x0C\nNightNotte
MID_Hub_Fishing_FishType	Tipi di pesci catturati
MID_Hub_Fishing_Continue_Yes	Continua
MID_Hub_Fishing_End	Esci
MID_Hub_Fishing_Bonus	BONUS!
MID_Hub_Fishing_Hit	ABBOCCATO!
MID_Hub_Fishing_UnicornChar	Salmeronte
MID_Hub_H_Fishing_UnicornChar	Il lungo muso a volte si spezza.\nLa sua carne viene spesso tritata\na causa delle numerose lische.
MID_Hub_Fishing_PonYamame	Trotalmone
MID_Hub_H_Fishing_PonYamame	I brillanti pois sui lati del corpo\ntendono a scolorirsi con l'età.\nLa carne ha un sapore delicato.
MID_Hub_Fishing_HellKoi	Carpa almaria
MID_Hub_H_Fishing_HellKoi	Molti l'allevano per i suoi colori\nvivaci. Ricca di sostanze\nnutrienti, è buona fritta.
MID_Hub_Fishing_RavanaTrout	Trota tieraden
MID_Hub_H_Fishing_RavanaTrout	Con un po' di pratica, è facile da\npescare. Si alleva in Elusia, dove\nviene consumata essiccata.
MID_Hub_Fishing_SlitFinSalmon	Salmone amoni
MID_Hub_H_Fishing_SlitFinSalmon	Il pesce più pescato in Brodia.\nHa pinne lunghe ed eleganti, e la\ncarne rossa dovuta alla sua dieta.
MID_Hub_Fishing_MandCobbBass	Spigola pagos
MID_Hub_H_Fishing_MandCobbBass	Un peso massimo popolare nei\ntornei di pesca in Solm. La sua\ncarne è consumata come sashimi.
MID_Hub_Fishing_BanganHerring	Aringa dames
MID_Hub_H_Fishing_BanganHerring	Si muove in grossi banchi,\nfornendo una pesca sostanziosa.\nIl sapore è delicato.
MID_Hub_Fishing_TeoteSquid	Calamaro imata
MID_Hub_H_Fishing_TeoteSquid	È attratto da ciò che luccica e i\npescatori sfruttano questo punto\ndebole. Si consuma spesso tritato.
MID_Hub_Fishing_BlosEel	Anguilla driana
MID_Hub_H_Fishing_BlosEel	Non è facile rimuovere l'amo dal\nsuo corpo viscido. Il suo sapore\nricco è molto apprezzato.
MID_Hub_Fishing_LogerOctopus	Polpo stela
MID_Hub_H_Fishing_LogerOctopus	Meglio tirarlo su prima che si\nattacchi agli scogli.\nSi può cucinare intero.
MID_Hub_Fishing_HegeBeardCatfish	Pesce bolgatto
MID_Hub_H_Fishing_HegeBeardCatfish	Nuota orientandosi con i lunghi\nbaffi. Molto versatile, si consuma\nbollito, fritto o essiccato.
MID_Hub_Fishing_SarriaDogMorayEel	Murena canisaria
MID_Hub_H_Fishing_SarriaDogMorayEel	Un pesce aggressivo dalle zanne\naffilate. L'ottimo sapore della\ncarne vale la fatica.
MID_Hub_Fishing_OmemeSardine	Sardina occhiona
MID_Hub_H_Fishing_OmemeSardine	Un pesciolino firenese che si\ndifende muovendosi in banchi.\nFacile da pulire a mano.
MID_Hub_Fishing_AvidCrab	Granchio canyon
MID_Hub_H_Fishing_AvidCrab	Più facile da catturare all'alba.\nDi giorno si nasconde nella\nsabbia. Il guscio è commestibile.
MID_Hub_Fishing_MunonTailHorseMackerel	Sgombro budur
MID_Hub_H_Fishing_MunonTailHorseMackerel	Adatto ai cuochi alle prime armi.\nÈ più saporito quando è fatto\nessiccare.
MID_Hub_Fishing_DosmaRay	Razza spaccatesta
MID_Hub_H_Fishing_DosmaRay	La coda è velenosa, sorprendendo\nchi si fa intenerire dal motivo sul\nventre somigliante a un sorriso.
MID_Hub_Fishing_DemonFangCod	Merluzzo valcamo
MID_Hub_H_Fishing_DemonFangCod	Pesce amato in Firene e in\nBrodia. Nelle regioni fredde si\nmangia tutto senza sprechi.
MID_Hub_Fishing_TephraSkipjack	Tonno tredame
MID_Hub_H_Fishing_TephraSkipjack	Un pesce robusto che resiste alla\ncattura. Usato per preparare\npiatti freschi.
MID_Hub_Fishing_RainbowTrout	Trota variopinta
MID_Hub_H_Fishing_RainbowTrout	Un pesce misterioso e rarissimo\ndalle scaglie colorate. La sua\ncarne spessa è molto prelibata.
MID_Hub_Fishing_EnchantSkipjack	Tonno tevole
MID_Hub_H_Fishing_EnchantSkipjack	Un tipo di tonno così raro e\ndifficile da pescare, che è\navvolto dal mistero.
MID_Hub_DragonRide_NowScore	Punteggio
MID_Hub_DragonRide_BreakTarget	Bersagli colpiti
MID_Hub_DragonRide_Target_Pattern	Tipologie
MID_Hub_DragonRide_Target_Normals	Normali
MID_Hub_DragonRide_Target_Normals_Help	Bersagli normali che\nvengono distrutti quando\ncolpiti.
MID_Hub_DragonRide_Target_Big	Esplosivi
MID_Hub_DragonRide_Target_Big_Help	Distruggono i bersagli\nvicini quando colpiti.
MID_Hub_DragonRide_Target_Link	Catena
MID_Hub_DragonRide_Target_Link_Help	Distruggono i bersagli\nvicini a catena quando\ncolpiti.
MID_Hub_DragonRide_Target_Special	Fuoco rapido
MID_Hub_DragonRide_Target_Special_Help	Se colpiti, potenziano\ntemporaneamente il tuo\nraggio.
MID_Hub_DragonRide_Target_Rroulette	Mutanti
MID_Hub_DragonRide_Target_Rroulette_Help	La tipologia di questi\nbersagli cambia finché\nnon vengono colpiti.
MID_Hub_DragonRide_Operation	Comandi
MID_Hub_DragonRide_Operation_Title_Stick	Comandi: stick
MID_Hub_DragonRide_Operation_Title_Gyro	Comandi: giroscopio
MID_Hub_DragonRide_Operation_To_Stick	Usa gli stick
MID_Hub_DragonRide_Operation_To_Gyro	Usa il giroscopio
MID_Hub_DragonRide_Operation_Plus	Pausa/riprendi
MID_Hub_DragonRide_Operation_A	Fiammata
MID_Hub_DragonRide_Operation_Y	Velocità mira
MID_Hub_DragonRide_Operation_StickLR	Comandi mira
MID_Hub_DragonRide_Operation_StickLR_Push	Resetta mira
MID_Hub_DragonRide_Operation_StickLR_Push_Sub	Attiva giroscopio\ndal lato dello\nstick premuto.
MID_Hub_DragonRide_Operation_ZLZR	Fiammata
MID_Hub_DragonRide_Operation_LR	Velocità mira
MID_Hub_DragonRide_Operation_Gyro0	Inclinazione:
MID_Hub_DragonRide_Operation_Gyro1	comandi mira
MID_Hub_DragonRide_Operation_Suspension	Abbandona
MID_Hub_CafeTerrace_Jukebox	Gran carillon
MID_Hub_CafeTerrace_H_Jukebox	Scegli la musica di sottofondo nel Somniel.
MID_Hub_CafeTerrace_Board	Bacheca
MID_Hub_CafeTerrace_Cook	Ordina
MID_Hub_CafeTerrace_Cook_Choice_Unit	Seleziona due commensali.
MID_Hub_CafeTerrace_Cook_Choice_Menu	Seleziona un piatto.
MID_Hub_CafeTerrace_Cook_Choice_Foods	Seleziona gli ingredienti.
MID_Hub_CafeTerrace_Cook_Specialty	Specialità
MID_Hub_CafeTerrace_Cook_StrongPoint	Abile
MID_Hub_CafeTerrace_Cook_Experienced	Ha esperienza
MID_Hub_CafeTerrace_Cook_Challenging	Audace
MID_Hub_CafeTerrace_Cook_BasicEffect	Effetti
MID_Hub_CafeTerrace_Cook_Favorite	Gusti
