MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0C\nシトリニカ\nMerrin! Ci tenevo a dirtelo! Combattere al tuo\nfianco è emozionante. Sei proprio... tosta!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nWoooah! Non ci credo! Una rondine rossa\nbrodiana! È una specie rarissima in via\ndi estinzione!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nAltolà! Dove te ne scappi? Sei proprio una\ncreaturina meravigliosa...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nNo! Ma quello non è un albatross elusiano?!\nNon sapevo che migrassero fin da queste parti!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nDove vai, bello?! Portami con te!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x0C\nシトリニカ\nUhm... Merrin? Cosa stai facendo?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nOh... Niente, niente...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06メリン\nE tu cosa fai? Mi stavi guardando?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nSì, scusa. Non volevo intromettermi, ma non ho\npotuto fare a meno di guardare.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nMi hai fatto venire in mente lo spettacolo di\nun clown a cui assistetti una volta.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nUmpf...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nAh. Ma pensa... Beh, ecco... A dire il vero...\nreciterò in uno spettacolo. Esatto. Proprio così.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nUno spettacolo? Ma è fantastico!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nNulla di che, uno spettacolino amatoriale.\nMa non ti sbagliavi. Farò, guarda caso, la parte\ndel clown.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nAh, lo sapevo! Che ruolo curioso!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nTrovi? Molto lontano dal mio normale\natteggiamento calmo e impeccabile. Infatti mi\nrichiede un grande sforzo di recitazione.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nDavvero una bella sfida! Non è facile essere\ncosì tosta e un attimo dopo dover fare il clown!\nCi vuole impegno, sai?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nQuand'è lo spettacolo? Voglio venire alla prima!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nCome, come?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nBella domanda. Quand'era, già? Me l'ero scritto\nda qualche parte, forse. Ora controllo...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nAnzi... mi pare che forse verrà annullato. Non\nso per certo se lo sarà, ma credo di sì.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nシトリニカ\nOh, no! Se è per mancanza di fondi, ti prego,\nlascia che vi aiuti io.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06メリン\nNo, no! Non è quello il problema. Aveva a che\nfare con delle... incomprensioni artistiche...\nEh, gli attori. Gente difficile.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nシトリニカ\nEh, già, cose che capitano. Fammi poi sapere\nla nuova data! Non mancherò per nulla\nal mondo!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06メリン\nCerto... Ti farò sapere.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nCitrinne, devo parlarti!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nMerrin! Allora, avete poi deciso la nuova data\nper lo spettacolo?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nAh, sì ecco, volevo proprio parlarti di quello...\nTi ho mentito. Non c'è nessuno spettacolo.\nMi dispiace...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nMa come?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nÈ solo che amo gli animali rari... e l'altra volta\nne ho visto non uno, ma ben due. Ero così\ncontenta... che ho perso il controllo, mi sa.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nQuando mi hai colta di sorpresa... mi è uscita\nquella bugia, inattesa come un albatross\nelusiano...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nNon sono sicura di aver capito bene... Perché\nmai dovevi inventarti una bugia?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nHai presente quando mi hai detto che ero\ntosta? Beh... mi piace apparire tosta, non volevo\nsembrare un clown.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nSoprattutto davanti ai tuoi occhi. Che delusione\nti avrei dato?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nAaah, ora capisco.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nScusami. Non mentirò più. E comunque non\nmi vedrai mai più in quegli atteggiamenti...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nMa guarda che non devi preoccuparti di queste\ncose.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nNon sono delusa, e non penso che tu abbia\nrovinato la tua immagine.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nAnzi, in realtà sono contenta di avere avuto\nun saggio della tua vera essenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nNon credo di capire.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nÈ stato come scoprire un nuovo lato della tua\npersonalità! Un lato affascinante, naturalmente!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nAffascinante? In che modo?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nIn battaglia hai sempre quell'aria tosta... mentre\nora ho visto anche il tuo lato tenero, quello\nche mostri quando vedi un animaletto raro.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nSe lo dici tu...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nDi' un po', Merrin... Hai mai sentito parlare di\nquella foresta in Brodia dove vivono le più varie\nspecie di animali?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nSì, l'ho sentita nominare. Credo si trovi nei\nterreni della famiglia reale.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nVorresti venirci con me quando finirà la guerra?\nUna giornata intera, tutta per noi due.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nMagari scopriamo anche una nuova specie!\nDovremmo contattare un esperto...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\nUn momento, aspetta. Verrebbe a costare\nuna fortuna, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nOh, non preoccuparti, non mi costa niente! La\nforesta appartiene ai terreni di famiglia. È una\nnostra riserva naturale.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06メリン\nNon dirmi che sei parente della famiglia reale!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nProprio così! Quindi non preoccuparti. Vedrai,\nlì potrai ammirare tutta la fauna che vuoi senza\npaura di essere vista da qualcuno.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nシトリニカ\nVoglio che tu possa esprimere te stessa\nsenza remore.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06メリン\nWow. Non so cosa dire... Sarebbe grandioso.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\nNon so come ringraziarti. In qualche modo mi\nsdebiterò, davvero.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nシトリニカ\nNon serve. Mi basta che accetti di diventare\nla mia zoologa personale! Insieme scopriremo\ntanti animali.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06メリン\nAhah. Zoologa... Che onore. Penso di poterlo\nfare, va bene!\x0E\x04\x00\x00
