MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nCordiali saluti, fratello. Disponete di\nun momento libero?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nE visto che c'ero ho pregato per i nostri\ngenitori, affinché stiano bene, ovunque siano.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パンドロ\nHai fatto bene, Panette.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nSecondo te che fanno?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パンドロ\nNon ne ho idea, a essere sincero.\nHo la sensazione che non ci siano più.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nMa chissà, magari un giorno li rivedremo.\nProprio come ci siamo ritrovati io e te.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nOra siamo grandi, il passato è passato.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nMi piace credere che potremmo metterci seduti\ne avere una conversazione civile.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nMagari.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nSarebbero orgogliosi di noi. Di te soprattutto.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nAhhh...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パンドロ\nPanette, ascolta. Devi sopravvivere a questa\nguerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nN-Non potrei sopportare di perdere un altro\npezzo della mia famiglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nMa figurati, non mi faccio mica ammazzare.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パネトネ\nE faresti meglio a salvare anche tu il tuo\nsedere ecclesiale.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パンドロ\nAhahah! Sono contento di sentirtelo dire!\nCon te a proteggermi, non ho paura.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パネトネ\nProprio così. Io e te supereremo questa guerra\ninsieme.\x0E\x04\x00\x00
