MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nLady Veyle, perdonate il disturbo.\nVorrei presentarmi ufficialmente.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nMadeline, scusa se mi sono mostrata turbata\nl'ultima volta che abbiamo parlato.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nマデリーン\nNon dovete scusarvi, lady Veyle. Spero solo che\nora vada meglio.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nSì, ma c'è qualcosa di cui voglio parlarti.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nCertamente. Sarei onorata di ascoltare ciò che\navete da dirmi.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nGrazie.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Vedi, si tratta di una cavaliera di nome Marni.\nLe somigli molto.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Quando combattevo contro il Drago Divino, ero\nsotto il malefico influsso di un elmo incantato.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Marni provò a distruggerlo, riuscendo a scalfirlo.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Grazie al suo atto di coraggio, riuscii a tornare\nin me. Le devo la vita.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nマデリーン\nÈ proprio il comportamento che mi aspetterei\ndai vostri valorosi cavalieri.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nSì, ma a causa di ciò, Marni perse la vita.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nマデリーン\nCosa?!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nHa sacrificato la propria vita per me, ma io\nnon ho nemmeno avuto la possibilità di\nringraziarla né di dirle addio.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	So che non sei tu, ma volevo spiegarti cosa\nprovo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nマデリーン\nCapisco.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Avete ragione, non sono Marni. Eppure penso\ndi sapere cosa abbia provato.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Il dovere di noi cavalieri è mettere la nostra vita\nnelle mani di chi serviamo. Sono certa che lei\nl'abbia fatto volentieri per voi.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Aver adempiuto con onore il proprio compito\nfa di lei una cavaliera meravigliosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ヴェイル\nMa non capisci? È morta per colpa mia.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nマデリーン\nPerdonatemi se vi sembro arrogante, ma dubito\nche avrebbe voluto che le cose andassero in\nmaniera diversa.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nEh?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nマデリーン\nSe fossi in lei, sentirei di aver portato a termine\nil mio dovere, e non avrei alcun rimpianto.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Per me sarebbe un grande onore essere\nricordata con tanto affetto da voi.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ヴェイル\nLo spero... Sei così buona, Madeline.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Se Marni fosse viva, penso che sarebbe una\ncavaliera come te.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nマデリーン\nLo prendo come un complimento.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nLady Veyle, vi ringrazio per avermi parlato\ndi Marni.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nNon devi ringraziarmi. Anzi, grazie a te per\navermi ascoltata.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nマデリーン\nNon riesco a immaginare cosa dovete aver\nprovato nel perdere una cavaliera tanto\ncoraggiosa e fedele.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	E avete continuato a combattere con quel\ndolore nel vostro cuore... La vostra forza è\nincredibile.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Vi prego, sappiate che non sto cercando di\nadularvi.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Penso solo che siate stata davvero brava.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nPensi... cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nマデリーン\nChiedo scusa. Ho pensato che meritaste un\ncomplimento per essere rimasta in piedi dopo\nla vostra perdita dolorosa.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	So di sembrare impudente, ma non ho potuto\ntrattenermi.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nSigh... Aaaaahhh...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nマデリーン\nOh, no! Lady Veyle. Perdonatemi di nuovo,\nnon so mai stare al mio posto...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nNo... Queste sono lacrime di gioia. Mauvier mi\nha riferito le ultime parole di Marni.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	In punto di morte, Marni ha detto esattamente\nquello che hai appena detto tu.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	"Dille che è stata brava."\nOvviamente non potevi saperlo, eppure l'hai\ndetto.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	È come se... finalmente... abbia sentito il suo\nultimo messaggio per me... Aaah, non riesco a\nsmettere di piangere!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nマデリーン\nCapisco.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	E allora...\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Lady Veyle, vorreste accettarmi come vostra\ncavaliera?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nCosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nマデリーン\nNon posso sostituire Marni, e non è questa\nla mia intenzione.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Ma voglio assumere il suo ruolo... proteggendovi\ne restando al vostro fianco.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nOh, Madeline.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	La tua proposta mi rende così felice.\nMa purtroppo sono costretta a rifiutare.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nマデリーン\nCerto, non sono abbastanza forte.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nNon è per quello. Sei una cavaliera meravigliosa.\nMa non sei la mia cavaliera.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Marni non c'è più, ma terrà per sempre il suo\nposto al mio fianco.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Vorrei poterti dare una risposta diversa, ma\nquesti sono i miei sentimenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nマデリーン\nComprendo benissimo.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	Marni è stata fortunata di aver avuto\nl'opportunità di servire qualcuno con un cuore\ncosì grande.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ヴェイル\nInvece di diventare la mia cavaliera, posso\nchiederti di essere mia amica?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nマデリーン\nVostra amica?\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ヴェイル\nSì. Un'amica con cui chiacchierare, ridere...\ne scoprire insieme cosa ci riserva il futuro.\x0E\x04\x02\x00
MID_RELIANCE_A_#033	Voglio che tu sia accanto a me quando\ndiventerò il drago che salva il mondo.\nChe ne dici?\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nマデリーン\nSarebbe un onore per me. Sì, vorrei essere\nvostra amica.\x0E\x04\x02\x00
MID_RELIANCE_A_#035	Ma non so se ne sarò capace...\nNon ho mai fatto molta pratica.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ヴェイル\nTanto per cominciare, puoi provare a essere\nun po' meno formale. Se vuoi sapere qualcosa,\nchiedimi pure.\x0E\x04\x02\x00
MID_RELIANCE_A_#037	In fondo è semplice. Basta esserci l'una per\nl'altra quando abbiamo bisogno.\nChe te ne pare?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nマデリーン\nPerfetto. Mi sembra perfetto.\x0E\x04\x00\x00
