MID_TUT_BMAP_EVIL_RULE_TITLE	邪竜の章の出撃ルール
MID_TUT_BMAP_EVIL_SUMMON_1	渦のあるマスにユニットがいると\n敵の召喚を阻止することができます\n狙える場合は渦を塞いでみるとよいでしょう
MID_TUT_BMAP_EVIL_RUSHMOVE_TITLE	破壊ノ衝動
MID_TUT_BMAP_EVIL_RUSHMOVE_0	邪竜陣が光ると、次の敵軍フェイズに\n大邪竜イルが周辺一帯を破壊した後\nそこへ向かって移動します
MID_TUT_BMAP_EVIL_RUSHMOVE_1	その際、危険範囲にいるユニットは\n敵味方を問わず巻き込まれて倒されてしまいます
MID_TUT_BMAP_EVIL_RUSHMOVE_2	巻き込まれて倒れたユニットの数によって\n大邪竜イルがパワーアップします
MID_TUT_DLG_E006_ADVICE	邪竜の章では味方が撃破されてしまっても\n失われることはなく、クリア後に復帰します\n総力戦で挑みましょう！
MID_TUT_BMAP_EVIL_ENCHANT_TITLE	特殊兵種「エンチャント」
MID_TUT_BMAP_EVIL_ENCHANT_0	エンチャントはアイテムや武器を使って\n自分や味方、武器を強化できる兵種です\nクラスチェンジには「神秘の鞄」が必要です
MID_TUT_BMAP_EVIL_ENCHANT_1	「極限活用」コマンドは、アイテムを消費して\n味方ユニットに様々な特殊効果を付与します\nアイテムによって付与できる効果が異なります
MID_TUT_BMAP_EVIL_ENCHANT_2	「武器共鳴」コマンドは、持ち物から指定した武器と\n同名の武器をそのマップの間だけ強化できます\n（敵味方が持つ全ての同名の武器を強化）
MID_TUT_BMAP_EVIL_MAGECANON_TITLE	特殊兵種「マージカノン」
MID_TUT_BMAP_EVIL_MAGECANON_0	マージカノンは砲弾を発射することで\n遠距離攻撃が可能な兵種です\nクラスチェンジには「魔法の大筒」が必要です
MID_TUT_BMAP_EVIL_MAGECANON_1	攻撃力は、「技」が高いほどアップします\n攻撃時の命中は、自分の力と体格が高く\n敵との距離が近いほどアップします
MID_TUT_BMAP_EVIL_MAGECANON_2	「全弾発射」コマンドは、指定した位置に\n1ターン後に強力な範囲攻撃をします\nただし、装備していた砲弾はなくなってしまいます
MID_TUT_BMAP_EVIL_MAGECANON_3	敵マージカノンの全体危険範囲表示は\n通常の全体危険範囲表示とは見た目が異なります
MID_TUT_GMAP_EVIL_TITLE	ワールドマップ（邪竜の章）
MID_TUT_GMAP_EVIL_0	邪竜の章では、専用のワールドマップを移動して\nストーリーを進めていきます
MID_TUT_GMAP_EVIL_1	ワールドマップメニューから\nメインストーリーのワールドマップや\n拠点ソラネルに戻ることが可能です
MID_TUT_GMAP_EVIL_2	一度クリアしたマップ上では\n遭遇戦が発生する場合もあります
MID_TUT_HUB_EVIL_START_TITLE	邪竜の章
MID_TUT_HUB_EVIL_START_0	不思議な井戸から\n邪竜の章のストーリーを開始できます
MID_TUT_HUB_EVIL_START_1	全ての戦闘マップをクリアしなくても\n戻ってメインストーリーを進めることも可能です
MID_TUT_HUB_EVIL_START_2	邪竜の章では、メインストーリーとは別に\n難易度をいつでも変更することができます
MID_TUT_HUB_EVIL_START_NOTICE	「不思議な井戸」の様子がおかしいようです
MID_TUT_NAVI_E004_ADVICE_START	このマップでは敵同士の戦闘が多く発生するため\n環境設定の『戦闘アニメ』と『杖、踊るアニメ』を\n「味方ユニット」に設定します\nこの設定は環境設定からいつでも変更できます
MID_TUT_NAVI_E004_ADVICE_END	マップ開始時に変更した\n『戦闘アニメ』と『杖、踊るアニメ』の設定を\n元に戻します
MID_TIPS_JOB_02	「武器共鳴」は同名であれば輸送隊の中の武器も強化できる
MID_TIPS_JOB_03	「武器共鳴」の効果は、別の武器を共鳴すると打ち消すことができる
MID_TIPS_ITEM_21	マージカノンの「全弾発射」は状態異常の付与が必ず成功する（一部の強敵を除く）
