MID_WU_C_1_IN_#001	そーっと、そーっと、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	ははは！　そうでしたのう！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	朝ですぞ。そろそろ起きて、支度を始めるのじゃ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おや、髪が乱れておりますぞ。服もシワが…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	ふふ、すまんのう。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	愛らしくて、つい我が子の世話を焼いているような\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	心持になるのじゃよ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	相変わらずなかなか起きぬのう。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	…懐かしいな、もう何十年も前、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	こうして家族を起こしていた時間が、わしにもあった。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	じゃが…今は皆わしの元を去った。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	戦が決するまでは、己が心のまま生きよう。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	死して妻の元に帰るまでは、残り少ない命…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	神竜様に捧げよう。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	目が覚めたかの。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	支度を手伝おう…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	む？気遣うのは当然じゃ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	老いぼれでも、わしはあなたに選ばれた、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	パートナーなのですからな。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	ふふ…よく寝ておるのう。ではこの部屋でひとつ実験を…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	ほっほ、やはりな。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	こう言えばすぐ起きると思っておったぞ。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	…どうじゃ？わしも、パートナーの事が\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	わかるようになってきたじゃろう？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	この金属にサンダーとファイアーを交互に浴びせ、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	大急ぎで形を整える！　ふんっ！\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	…すると、ほれ。形は歪じゃが腕輪の完成じゃ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	『約束の指輪』の礼にはならんが…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	わしからの贈り物といったところじゃの。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	…これなら、わしがいなくなった後も、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	少しは寂しくないじゃろう。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	さて、今日も神竜様のために頑張ろうかの。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	わしの力を必要としてくださること、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	いつも感謝しておるのじゃぞ。\x0E\x04\x00\x00
