MID_WU_C_1_IN_#001	四翼頭領セレスティア、
MID_WU_A_2_SOON_#002	違う世界のあなた様でも、
MID_WU_A_2_SOON_#003	起き抜けの顔はやっぱり同じなのですね。
MID_WU_A_2_SOON_#004	なんだか懐かしい気分です。
MID_WU_A_2_WAKEUP_#001	あの世界でルミエル様がご存命だった頃は、
MID_WU_A_2_WAKEUP_#002	私があなた様を起こしていたんですのよ。
MID_WU_A_2_WAKEUP_#003	王となられてからは、その機会もなくなりましたけど…
MID_WU_A_2_HELLO_#001	お目覚めですわね、神竜様。
MID_WU_A_2_HELLO_#002	もう少し寝起きが悪いままでいてください。
MID_WU_A_2_HELLO_#003	あなた様が一人で起きられるようになったら、
MID_WU_A_2_HELLO_#004	寂しいですから。
MID_WU_S_1_IN_#001	起こしに来ましたわよ、
MID_WU_S_1_IN_#002	私の大好きな神竜様っ。
MID_WU_S_1_SOON_#001	ふふっ、あなたを呼びに来て、
MID_WU_S_1_SOON_#002	あなたが起きてくれる。
MID_WU_S_1_SOON_#003	それだけで幸せです。
MID_WU_S_1_SOON_#004	…家族っていいですわね。
MID_WU_S_1_SOON_#005	ずっとこのまま、一緒にいましょう。
MID_WU_S_1_WAKEUP_#001	む。最愛のパートナーが迎えに来たのに無反応とは、
MID_WU_S_1_WAKEUP_#002	寂しいです。
MID_WU_S_1_WAKEUP_#003	このまま起きないと、
MID_WU_S_1_WAKEUP_#004	セレスティアは他の竜に現を抜かしますよー？　
MID_WU_S_1_WAKEUP_#005	…なーんて、今のは嘘ですけどね。
MID_WU_S_1_WAKEUP_#006	他には見向きもできないくらい、私は…
MID_WU_S_1_WAKEUP_#007	あなたの事を一番に、愛しているんですから。
MID_WU_S_1_HELLO_#001	愛情に包まれてのお目覚めはいかがです？
MID_WU_S_1_HELLO_#002	え、すごく幸せだ、って？
MID_WU_S_1_HELLO_#003	…困りましたわ。
MID_WU_S_1_HELLO_#004	改めて言われると…
MID_WU_S_1_HELLO_#005	照れてしまうじゃないですか…
MID_WU_S_2_IN_#001	私のパートナーは今日もお寝坊さんで、
MID_WU_S_2_IN_#002	世話が焼けますわね。
MID_WU_S_2_SOON_#001	あら、すぐに起きてくださるなんて優しいですわ。
MID_WU_S_2_SOON_#002	でも…
MID_WU_S_2_SOON_#003	私にだけは、もっと甘えてください。
MID_WU_S_2_SOON_#004	他の誰にもしないようなことを、
MID_WU_S_2_SOON_#005	私にだけはして欲しいの。
MID_WU_S_2_WAKEUP_#001	安心しきって寝てますわね。
MID_WU_S_2_WAKEUP_#002	これから先、きっと私も
MID_WU_S_2_WAKEUP_#003	あなたに沢山世話をかけると思いますけど…
MID_WU_S_2_WAKEUP_#004	許してくださいね、家族なんですから。
MID_WU_S_2_WAKEUP_#005	まさか神竜族と魔竜族が
MID_WU_S_2_WAKEUP_#006	こんなに深い絆を紡げるだなんて。
MID_WU_S_2_WAKEUP_#007	私の本当の家族になってくれて、ありがとう。
MID_WU_S_2_WAKEUP_#008	あなたが愛をくれて…
MID_WU_S_2_WAKEUP_#009	幸せだわ。
MID_WU_S_2_HELLO_#001	おはよう。
MID_WU_S_2_HELLO_#002	今日も大好きですよ。
MID_WU_S_2_HELLO_#003	あら、照れないでくださいな。
MID_WU_S_2_HELLO_#004	これから何度も好きだと言うつもりなのに…
MID_WU_S_2_HELLO_#005	そんなことでは、身が持ちませんわよ？
