MID_WU_C_1_IN_#001	この軍の任務は中々に興味深いな。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	少し救われた心持ちです。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	未だ残る…この胸の悔恨を。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	俺にも等しく、起こし係は回ってくる…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	ここで申し上げるのも何ですが…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	以前、あなたが俺を善人だと言ってくださったこと、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	嬉しく思います。それでは。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	ふむ、この周りの薄い布が…行く手を阻んでくるな。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	うっ、いかん、絡んでしまった…！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	破らないように、そっと…そっと…よし！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	…いえ、特に問題事はありませんでしたよ。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	それでは俺は、
MID_WU_B_2_HELLO_#004	町で罪滅ぼしをして参りますので、これにて。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	やはり、ヴェイル様の眠っていらした祭壇とは対照的だな…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	気になりますか？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	あの祭壇はいつも薄暗く、常闇の中にあるようでした…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	俺はそちらの方が慣れていますが、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	ここも、悪くありません。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	たまに、懐かしくなる…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	隠された森の中、光の殆ど入らぬ祭壇を。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	あの場所で眠るヴェイル様も、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	このように静かで、美しかった…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	…ふっ、やはりあなたとヴェイル様はごきょうだいですね。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	寝顔も、寝覚めの仕草も、\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	よく似ておられる。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	本日も、共に人助けを致しましょう。神竜殿。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	今やっと気づきました。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	ここに立ち入ることを最初から許されていたのは、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	俺がずっと…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	あなたに信頼されていたということなのですね。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	しかし…俺などがここに立ち入って、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	果たしてルミエル殿はどう思われるだろうか。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	あの方の御子を、俺が目覚めさせるなど…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	今の話、聞いておられましたか。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	…ルミエル殿は許してくれる、と？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	そうですか。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	はい…俺は、あなたの言葉なら…信じられます。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	お迎えに上がりました、我がパートナー。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	今日も御身をお守りしましょう。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	このモーヴ、忠誠は主君に捧げましたが…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	この心は、あなたに。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	あなたといると…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	自分には無縁と思っていた、愛おしいという感情を覚える。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	ヴェイル様が俺の主君であることに変わりはありませんが、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	俺のただ一人、心に在るパートナーはあなたです。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	この祭壇では、あなただけを見ている。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	必ず守ると、この指輪に誓おう。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	お目覚めですか。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	…畏まるなと言われましても\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	…ではこの時だけは無礼を許してください。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	神竜ではなく、大切な者として触れる無礼を。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	祭壇に足を踏み入れても、\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	もう気が引ける心持ちはしない…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	嬉しいものですね、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	俺の気配で起きてくださる瞬間を見るのは。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	この気持ちが許されたのだと思い知らされて…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	幸せです、神竜殿。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	さあ、起きる時間ですよ。…ふっ、こうしていると\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	今が戦時であるということを忘れてしまいそうだ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	もしも平和になったら…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	俺は神竜殿と暮らすようなことがあるのだろうか。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	我ながら甘い夢だ…このような夢を見ることも、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	あなたが教えてくれたのですよ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	今朝はあなたのことを、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	より強く思ってしまう。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	…お慕いしております、神竜殿。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	口にすると、気恥ずかしいですね。\x0E\x04\x00\x00
