MID_SYS_Difficulty_Normal	ノーマル
MID_H_COMBAT_INFO_HP	この戦闘で発生するHP増減の予測
MID_SYS_Str	力
MID_H_INFO_Str	力の強さ。高いほど物理攻撃の\nダメージが大きくなる
MID_SYS_Mag	魔力
MID_H_INFO_Mag	魔力の強さ。高いほど魔法攻撃のダメージや\n杖の回復量が大きくなる
MID_SYS_Tec	技
MID_H_INFO_Tec	器用さ。高いほど命中や必殺が\n上昇する
MID_SYS_Spd	速さ
MID_H_INFO_Spd	素早さ。高いほど回避が上昇する\n（敵より5以上高いと追撃が発生する）
MID_SYS_Lck	幸運
MID_H_INFO_Lck	運の良さ。様々な行動に影響する\n（高いほど必殺の一撃を受けにくくなる）
MID_SYS_Def	守備
MID_H_INFO_Def	守備力。高いほど敵の物理攻撃の\nダメージを小さくする
MID_SYS_Res	魔防
MID_H_INFO_Res	魔法防御力。高いほど敵の\n魔法攻撃のダメージを小さくする
MID_SYS_Mov	移動
MID_H_INFO_Mov	移動力。高いほど、多くのマスを\n移動できる
MID_SYS_Phy	体格
MID_H_INFO_Phy	体格の良さ。高いほど重い武器を\n装備しても速さが下がらなくなる
MID_SYS_Vis	視界
MID_H_INFO_Vis	視界の広さ。高いほど暗い場所でも\n遠くの距離を見通せる
MID_SYS_Atk	攻撃
MID_SYS_Dmg	攻撃
MID_H_INFO_Atk	武器や魔法での攻撃力
MID_H_COMBAT_INFO_Dmg	命中時、相手に与えるダメージの量
MID_SYS_Weapon_Attack	物攻
MID_SYS_H_Weapon_Attack	物理攻撃力。剣などの武器を\n装備した時の攻撃力
MID_SYS_Magic_Attack	魔攻
MID_SYS_H_Magic_Attack	魔法攻撃力。魔道書や魔法武器を\n装備した時の攻撃力
MID_SYS_Special_Attack	特殊
MID_SYS_H_Special_Attack	特殊な攻撃の攻撃力\n（敵の守備と魔防の影響を受けない）
MID_SYS_Hit	命中
MID_H_INFO_Hit	攻撃を命中させる能力。高いほど\n攻撃が当たりやすくなる
MID_H_COMBAT_INFO_Hit	「攻撃」や「回復」の命中率
MID_SYS_Avo	回避
MID_H_INFO_Avo	攻撃を回避する能力。高いほど\n敵の攻撃が当たりにくくなる
MID_SYS_Crit	必殺
MID_H_INFO_Crit	必殺の一撃（ダメージ3倍）の出やすさ\n高いほど必殺の一撃が発生しやすくなる
MID_H_COMBAT_INFO_Crit	「必殺の一撃」が発生する確率
MID_SYS_Secure	必避
MID_H_INFO_Secure	必殺の一撃を回避する能力。高いほど\n敵から必殺の一撃を受けにくくなる
MID_COMBAT_INFO_Recovery	回復
MID_H_COMBAT_INFO_Recovery	相手が回復するHPの量
MID_H_INFO_WLV	使用できる\x0E\x01\x00\x00のレベル
MID_H_INFO_WLV_Special	特殊攻撃
MID_H_INFO_WLV_Sword	剣
MID_H_INFO_WLV_Lance	槍
MID_H_INFO_WLV_Magic	魔道書
MID_H_INFO_WLV_Dagger	短剣
MID_H_INFO_WLV_Axe	斧
MID_H_INFO_WLV_Bow	弓
MID_H_INFO_WLV_Rod	杖
MID_H_INFO_WLV_Fist	体術
MID_SYS_BondCombi	\x0E\x01\x00\x00と\x0E\x01\x01\x00の絆
MID_SYS_BOND_LV	絆Lv.
MID_SYS_MAX	MAX
MID_SYS_Infinity	∞
MID_SYS_STYLE_BONUS	Style Bonus!
MID_SYS_QUALITY_Sword	剣の素質
MID_SYS_H_QUALITY_Sword	剣の素質\n特定の兵種に\nクラスチェンジできるようになる
MID_SYS_QUALITY_Lance	槍の素質
MID_SYS_H_QUALITY_Lance	槍の素質\n特定の兵種に\nクラスチェンジできるようになる
MID_SYS_QUALITY_Magic	魔法の素質
MID_SYS_H_QUALITY_Magic	魔法の素質\n特定の兵種に\nクラスチェンジできるようになる
MID_SYS_QUALITY_Knife	短剣の素質
MID_SYS_H_QUALITY_Knife	短剣の素質\n特定の兵種に\nクラスチェンジできるようになる
MID_SYS_QUALITY_Axe	斧の素質
MID_SYS_H_QUALITY_Axe	斧の素質\n特定の兵種に\nクラスチェンジできるようになる
MID_SYS_QUALITY_Bow	弓の素質
MID_SYS_H_QUALITY_Bow	弓の素質\n特定の兵種に\nクラスチェンジできるようになる
MID_SYS_QUALITY_Rod	杖の素質
MID_SYS_H_QUALITY_Rod	杖の素質\n特定の兵種に\nクラスチェンジできるようになる
MID_SYS_QUALITY_Fist	体術の素質
MID_SYS_H_QUALITY_Fist	体術の素質\n特定の兵種に\nクラスチェンジできるようになる
MID_SYS_H_HPStock	復活の石\nHPが0になったとき\n砕け散ってHPを全回復させる
MID_SYS_ValueEmpty	--
MID_SYS_Mt	威力
MID_SYS_Rec	癒力
MID_SYS_Eff	特効
MID_SYS_Weight	重さ
MID_SYS_Rng	射程
MID_SYS_WLV_Short	Lv.
MID_H_SYS_Equip	E
MID_SYS_Target	対象
MID_SYS_Me	自分
MID_H_INFO_DISABLE_ENGAGE	使用不可：エンゲージアイテム
MID_H_INFO_DISABLE_WEAPONLEVEL	使用不可：兵種制限
MID_SYS_GodWeapon_LV	Lv.
MID_SYS_ExpNext	あと
MID_SYS_GOLD_COUNT	所持金
MID_SYS_ABRIDGEMENT	...
MID_H_INFO_Param_Base	基本値
MID_H_INFO_Param_Correction_Weight	武器の重さ
MID_H_INFO_Param_Correction_God	紋章士
MID_H_INFO_Param_Correction_Support	支援
MID_H_INFO_Param_Correction_Terrain	地形
MID_H_INFO_Param_Correction_Effect	効果
MID_H_INFO_Param_Correction_Hub	拠点行動
MID_Material_Iron	てつの晶石
MID_Material_Steel	はがねの晶石
MID_Material_Silver	ぎんの晶石
MID_PieceOfBonds	絆のかけら
MID_B_INFO_DAMAGE	予測ダメージ
MID_MSG_GET	獲得
MID_MSG_COST	消費
MID_MSG_JOIN_UNIT	\x0E\x01\x00\x00が仲間になった
MID_MSG_JOIN_UNIT2	\x0E\x01\x00\x00と\x0E\x01\x01\x00が仲間になった
MID_MSG_JOIN_UNIT3	\x0E\x01\x00\x00と\x0E\x01\x01\x00と\x0E\x01\x02\x00が仲間になった
MID_MSG_GET_ITEM	\x0E\x01\x00\x00\x0E\x01\x01\x00を手に入れた
MID_MSG_GET_ALREADY	読み込み可能回数が回復するまで\nこのamiiboは読み込めません
MID_MSG_GET_ITEM_PLURAL	\x0E\x01\x00\x00\x0E\x01\x01\x00×\x0E\x01\x02\x00を手に入れた
MID_MSG_GET_GOLD	\x0E\x01\x00\x00\x0E\x01\x01\x00Gを獲得した
MID_MSG_GET_PIECE	\x0E\x01\x00\x00絆のかけらを\x0E\x01\x01\x00個手に入れた
MID_MSG_BREAK_ITEM	\x0E\x01\x00\x00\x0E\x01\x01\x00が壊れてしまった
MID_MSG_DEPRIVED_ITEM	\x0E\x01\x00\x00\x0E\x01\x01\x00が奪われた
MID_MSG_LEARN_SKILL	兵種スキル\x0E\x01\x00\x00\x0E\x01\x01\x00を習得した
MID_MSG_SUPPORT_LEVEL_UP	\x0E\x01\x00\x00と\x0E\x01\x01\x00の\n支援レベルが\x0E\x01\x02\x00に上がった
MID_MSG_POPUP_RELIANCE_EXP_UP	支援値UP！
MID_MSG_POPUP_RELIANCE_ADDITION	支援会話発生！
MID_MSG_TUTORIAL_NEW	指南「\x0E\x01\x00\x00」が追加されました
MID_MSG_BOND_LV_CAP	まだ見ていない絆会話があります
MID_MSG_FRIENDLIST_NEWPAGE	仲間手帖に\x0E\x01\x00\x00のページが追加されました
MID_MSG_BONDRING_NEWPAGE	指輪\x0E\x01\x08\x00図鑑に情報が追加されました
MID_MSG_BOND_LV_CAP_Talk_Attention	\x0E\x01\x00\x00と\x0E\x01\x01\x00の\n絆経験値がいっぱいになりました\n（拠点やワールドマップで「絆会話」を見ると\nさらに高いレベルまで絆レベルを上げることができます）
MID_MSG_BOND_LV_CAP_RELEASE	絆レベル限界突破！
MID_MSG_BOND_LV_MAX_amiiboItem	多くの仲間たちが、紋章士\x0E\x01\x00\x00と\n絆レベルの最大に達したので、特別な報酬\n\x0E\x01\x01\x00「\x0E\x01\x02\x00」を手に入れました
MID_MSG_POPUP_BOND_EXP_UP	絆経験値UP！
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION	「竜の時水晶」を使わないと\n敗北しゲームオーバーとなります\nよろしいですか？
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_NETWORK	「竜の時水晶」を使わないと\n敗北し試練は終了となります\nよろしいですか？
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_YES	はい（ゲームオーバー）
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_YES_NETWORK	はい（敗北する）
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_NO	いいえ（竜の時水晶を使う）
MID_MSG_GAMEOVER_CONFIRM	マップの始めからやりなおしますか？\n（戦闘で獲得した経験値などを保持したまま\n　マップをやりなおすことも可能です）
MID_MSG_GAMEOVER_YES_EXP_ON	経験値を保持してやりなおす
MID_MSG_GAMEOVER_YES_EXP_OFF	経験値を破棄してやりなおす
MID_MSG_GAMEOVER_NO	タイトルへ戻る
MID_MSG_BGM_CHANGE	環境設定に「BGM設定」の項目が追加されました\nストーリーマップ以外の自軍フェイズおよび\n敵軍フェイズのBGMをそれぞれ変更できます
MID_MSG_ENGAGE_PLUS_ATTENTION	紋章士\x0E\x06\x03\x00の「エンゲージ＋」は\n「繋戦の試練」「異界の試練」では使用できません\n
MID_MSG_STORY_COMPLETE_REWARD	ストーリークリア報酬
MID_MSG_PLAYER_PHASE	PLAYER PHASE
MID_MSG_ENEMY_PHASE	ENEMY PHASE
MID_MSG_ALLY_PHASE	ALLY PHASE
MID_MSG_OFFENSE_PHASE	OFFENSE PHASE
MID_MSG_DEFENSE_PHASE	DEFENSE PHASE
MID_MSG_PHASE_TURN	あと\x0E\x01\x00\x00ターン
MID_MSG_AUTO_TROPE	おまかせ中…
MID_MSG_SKIP_TROPE	スキップ中…
MID_MSG_LEVEL_UP	LEVEL UP!
MID_MSG_CLASS_CHANGE	CLASS CHANGE!
MID_MSG_STAGE_CLEAR	STAGE CLEAR!
MID_MSG_GAME_OVER	GAME OVER
MID_MSG_POPUP_CRITICAL	Critical!
MID_MSG_POPUP_BREAK	Break!
MID_MSG_POPUP_MISS	Miss!
MID_MSG_POPUP_NO_DAMAGE	No Damage!
MID_MSG_POPUP_SMASH	Smash!
MID_MSG_POPUP_CHAINATTACK	Chain Attack!
MID_MSG_POPUP_CHAINGUARD	Chain Guard!
MID_MSG_POPUP_DUALGUARD	Dual Guard!
MID_KEYHELP_MYFACE_SELECT	姿切替
MID_KEYHELP_BIRTHDAY_SELECT	月日切替
MID_KEYHELP_MAP_HELP	詳細情報
MID_KEYHELP_MINIGAME_OPERATION_HELP	操作説明
MID_KEYHELP_MAP_NOT_ACTION	ユニット切替
MID_KEYHELP_MAP_UNIT_VIEWER	ユニット詳細
MID_KEYHELP_MAP_CANCEL_ORDERS	おまかせ解除
MID_KEYHELP_MAP_SKIP	スキップ
MID_KEYHELP_GMAP_LOOK_OVER	地図
MID_KEYHELP_GMAP_MOVE_NEWEST	最新章へ
MID_KEYHELP_GMAP_FREE_CAMERA	フリーカメラ
MID_KEYHELP_MAP_ACTION	マップ切替
MID_KEYHELP_DASH	ダッシュ
MID_KEYHELP_MENU	メニュー
MID_KEYHELP_MENU_ACTION	メニュー切替
MID_KEYHELP_CATEGORY_ACTION	カテゴリ切替
MID_KEYHELP_TALK_AUTOPLAY	自動再生
MID_KEYHELP_TALK_AUTOPLAY_CANCEL	自動再生終了
MID_KEYHELP_TALK_LOG	ログ
MID_KEYHELP_TALK_LOG_VOICE	ボイス再生
MID_KEYHELP_MENU_DECIDE	決定
MID_KEYHELP_MENU_SELECT	選択
MID_KEYHELP_MENU_RETURN	戻る
MID_KEYHELP_MENU_AUTO	一括整理
MID_KEYHELP_MENU_TROOPLIST_CHANGE	部隊表切替
MID_KEYHELP_MENU_HELP	詳細情報
MID_KEYHELP_MENU_ASSISTINFO_CHANGE	補助情報
MID_KEYHELP_MENU_WEAPON_CHANGE	武器切替
MID_KEYHELP_MENU_UNIT_CHANGE	ユニット切替
MID_KEYHELP_MENU_CHARACTER_CHANGE	仲間切替
MID_KEYHELP_MENU_GOD_CHANGE	紋章士切替
MID_KEYHELP_MENU_HELP_CHANGE	情報表示切替
MID_KEYHELP_MENU_ABILITY	能力一覧
MID_KEYHELP_MENU_BATTLE_START	戦闘開始
MID_KEYHELP_MENU_TUTORIAL	指南
MID_KEYHELP_MENU_COUNTRY_CHANGE	国切替
MID_KEYHELP_MENU_ZOOM_PICTURE	拡大
MID_KEYHELP_MENU_UNIT_SELECT	リスト
MID_KEYHELP_MENU_LOOK_UNIT	眺める
MID_KEYHELP_MENU_CAMERA_CHANGE	カメラ切替
MID_KEYHELP_MENU_CAMERA_IN_OUT	カメラ上下
MID_KEYHELP_MENU_CAMERA_OPERATION	カメラ操作
MID_KEYHELP_MENU_BACK_CHANGE	背景切替
MID_KEYHELP_MENU_UI_HIDE	表示物ON/OFF
MID_KEYHELP_MENU_EYES	視線ON/OFF
MID_KEYHELP_MENU_RESET	設定初期化
MID_KEYHELP_MENU_SORT	ソート
MID_KEYHELP_MENU_FISHING_CAST	投げる
MID_KEYHELP_MENU_FISHING_CAST_STOP	キャンセル
MID_KEYHELP_MENU_ACHIEVEMENT	達成報酬の取得
MID_KEYHELP_MENU_ACHIEVEMENT_ALL	一括取得
MID_KEYHELP_MOVIE_CAPTION	字幕オン/オフ
MID_KEYHELP_EDIT_TURN	回転
MID_KEYHELP_EDIT_PUT	配置
MID_KEYHELP_EDIT_DELETE	消去
MID_KEYHELP_EDIT_TACTICS_CHANGE	戦術変更
MID_KEYHELP_EDIT_LIST	地形リスト
MID_KEYHELP_EDIT_OBJCHANGE	地形切替
MID_KEYHELP_EDIT_UNDO	アンドゥ
MID_KEYHELP_NEXT	次へ
MID_KEYHELP_ANIMAL_VIEW	見回す
MID_KEYHELP_ANIMAL_ACTION	アクション
MID_KEYHELP_REWIND_TURN	次ターン
MID_KEYHELP_REWIND_ACTION	選ぶ
MID_WEAPON_NAME_REFINE	\x0E\x01\x00\x00＋\x0E\x01\x01\x00
MID_WEAPON_NAME_ENGRAVE	\x0E\x01\x00\x00\x0E\x01\x01\x00
MID_WEAPON_NAME_ENGRAVE_REFINE	\x0E\x01\x00\x00＋\x0E\x01\x01\x00\x0E\x01\x02\x00
MID_RING_RANK_S	S
MID_RING_RANK_A	A
MID_RING_RANK_B	B
MID_RING_RANK_C	C
MID_LOCALIZE_COLON	
MID_LOCALIZE_HYPHEN	
MID_LOCALIZE_CN_THIRD_M	他
MID_LOCALIZE_CN_THIRD_F	她
MID_LOCALIZE_TW_THIRD_M	他
MID_LOCALIZE_TW_THIRD_F	她
MID_LANGUAGE_JP_JAPANESE	日本語
MID_LANGUAGE_US_ENGLISH	北米英語
MID_LANGUAGE_US_FRENCH	北米フランス語
MID_LANGUAGE_US_SPANISH	北米スペイン語
MID_LANGUAGE_EU_ENGLISH	欧州英語
MID_LANGUAGE_EU_FRENCH	欧州フランス語
MID_LANGUAGE_EU_SPANISH	欧州スペイン語
MID_LANGUAGE_EU_GERMAN	欧州ドイツ語
MID_LANGUAGE_EU_ITALIAN	欧州イタリア語
MID_LANGUAGE_CN_TRADITIONAL	中国繁体字
MID_LANGUAGE_CN_SIMPLIFIED	中国簡体字
MID_LANGUAGE_KR_KOREAN	韓国語
MID_LANGUAGE_VOICE_JAPANESE	日本語
MID_LANGUAGE_VOICE_ENGLISH	英語
MID_MSG_GET_ITEM_FEH	特典を受け取りました
