MID_WU_C_1_IN_#001	あ、あああ…すごく緊張する…！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	頑張って起こすのも好きですよ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	あなたとなら、どんな苦労も嬉しいです。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	今日は『約束の指輪』を着けてきました。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	芋掘りの時なんかは汚れますし、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	戦の時は失くしてしまうのが怖くて、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	大切すぎてなかなか着けられないですけど…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	今なら、二人っきりの今だけなら、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	宝物を身に着けててもいいですよね？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはよう。あともう少しだけ、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	この時間をおまけしてくれませんか。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	あなたといるこの時は何よりも贅沢で…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	あたし、大好きなんです。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	あなたのパートナー、ラピスです。…なんて。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	もしかして、今の聞いてました？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	た、ただの、幸せの再確認ですよ！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	改めて口に出すと少し照れますけど…ね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	今日はお芋じゃなくて鉱石を掘ってきたけど…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	どの色が好きかしら。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	あたしとしては、桃色なんかいいと思うけど…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	選んでくれた石を嵌め込んで、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	あたしもあなたに指輪を作るわ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	今までで一番上手に、あなたへの気持ちを形にしたい。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	目が覚めましたか？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	これ、とっても綺麗でしょう？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	一つじゃ足りないくらい、全部…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	あたしがあなたを想う気持ちなんですよ。\x0E\x04\x00\x00
