MID_WU_C_1_IN_#001	ここがソラネルの…神竜の祭壇…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	いつも綺麗だった…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	えへへ、なんだか懐かしくなっちゃった。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	けど、あの場所にはもう戻らない。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	わたしもいっしょに、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	光の中で生きるって決めたの。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	割れちゃった竜石が夢に出てきたの。\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	だから、無事かなと思って…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	良かった…なんともなくて。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	えへへ…安心したらなんだかお腹がすいてきちゃった。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	わたし、何か辛いものでも食べてくるね。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	うん、寝てるだけだね。安心した…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	もしかして、あれはわたしの竜石だったのかな？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	竜にならないって決めた日に埋めた、あの石…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	起こしてごめんね。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	…うん、わたしの竜石はもうないの。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	でも後悔してないよ。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	大きな竜にならなくても…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#005	強い力はここにあるから。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	ここは夜でも明るいんだね。星の光が…きれい。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	起こしちゃった？　ごめんね。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	ちょっと嫌な夢を見ちゃって。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	もう少しだけここにいてもいい？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	そっか、えへへ…ありがとう…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	死んだら星になるんだよね。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	それならママは…マロンたちはどこにいるんだろう。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	もう一人の私も、今は…綺麗な星になっているかな…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	起こしてごめん。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	もうちょっと、ここにいさせて。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	祭壇で眠ることはあっても…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	祈ることはなかったから。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#005	邪竜が祈っても、届くといいけど。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	会いたいときに、\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	こうやってすぐ会えるのって素敵ね。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	前は会いたくても会えなかったから余計に嬉しい。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	本当はパパも…なんて、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	前は思っていたけど…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	その夢だけは、もう見ないわ。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	この前はパパへの気持ちを聞いてくれてありがとう。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	おかげでわたしも、改めて覚悟ができたわ。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	この手で絆を断つ覚悟が…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	こうしてると、普通のきょうだいだね。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	わたしは普通ってどんなものか知らないけど…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	これから、一緒に知っていきたいな。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	朝だよ。まだ眠いけど、\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	起きなきゃ世界は救えないんだから。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	わたしも最近、寝起きがいいんだよ。えへへ…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	わたしたちきょうだいが一緒にいたら、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	きっと色んなことが乗り越えられるね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	もー、相変わらず起きないなあ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	…でも嬉しい。こうしてるとわたしたち本当に、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	普通の家族だね。もう二度と、失ったりしないわ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	『約束の指輪』は、竜石みたいに砕けたりなんかしない。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	あなたはわたしが守ってみせる。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	妹として、ただ一人のパートナーとして…！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	あ、やっと起きた。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	今日も頑張ろう。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	戦って、早く異界の門までたどり着かなきゃ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	…その時は必ず、わたしたちで…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	パパを止めようね。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	パートナーのわたしが起こしに来たよ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	…そっか、パートナーかあ、えへへ。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	あっ、ニヤニヤしてごめんね。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	ただ嬉しくって。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	…憧れだったきょうだいと対等になれた気がしたの。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	わたしを選んでくれて…ありがとう。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	わたしのあげた石、ここに置いてくれてるんだね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	今のあなたならこれを使って、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	ルミエルと同じ、真っ白な竜にでもなれそう。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	わたしもいつか、正しい竜になりたいな。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	ううん…なってみせるわ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	…血は変えられなくとも心は違うと、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	あなたがそう教えてくれたから。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	パートナーとして、今度はわたしを起こしに来てよ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	あなたが起こしてくれたら…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	わたし、嬉しくて飛びついちゃうかも。\x0E\x04\x00\x00
