MID_WU_C_1_IN_#001	ふう…静かな場所は緊張するねえ。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	ふふ、お疲れなのかと思いましたが、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	夕餉と聞いて飛び起きるのでしたら心配要りませんね。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	さあ、参りましょう。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	随分お疲れだね…無理もない。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	毎日気を張ってみんなを率いてらっしゃるんだから。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	私には到底わからない重圧もあるだろうね…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	皆に言っておきますから、\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	どうぞもう少し休んでください。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	夕餉は逃げませんが、\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	休める時間はすぐ逃げていきますよ。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	鍛錬のお誘いに参りましたよ。\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	体を動かしてスッキリしましょう。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	良いお目覚めです。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	さあ、たくさん鍛錬して強くなりましょう、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	私も負けませんよ。神竜様のため、そして\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	…失くした友のために。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	復讐心はまだ消えませんが…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	神竜様のお陰で、少し重圧が消えましたよ。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	私のことを友と呼んでくれたことも、嬉しかったです。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	お、やっとのお目覚めですね。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	張り切っている？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	当然ですよ。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	私は、亡き友に幸せな顔を見せるためにも\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#005	頑張らねばなりませんから。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	起こしに来ましたよ。私のパートナーさん。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	良い寝起きだ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	さあ、今日も戦ですよ！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	…安心してください。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	この『約束の指輪』に懸けて、あなたの背中は私が守る。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	寝起きが悪いのは知ってますが、シャキッとしてください！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	口うるさいでしょうけど、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	こんな私を選んだのはあなたなんですよ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	一介の兵に光栄すぎる立場をお与えになってさ…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	でも感謝してるよ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	おかげで、あなたの重圧や苦悩を、少しは私も背負えます。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	さ、今日もきっちり戦って無事で帰りましょう！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	明日もその次も、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	私がおばあさんになっても、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	こうしておはようを言うためにね。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	鍛錬の時間ですよ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	相手があなたでも、容赦はしませんからね！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	ふふ、寝過ごした…という顔ですね。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	まさか、怒りませんよ。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	こう見えて私は…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	鍛錬や戦以外では、とても優しいんですから。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	相変わらず、良い顔をして眠るねえ…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	あ、口が半開きになってる。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	ふふふ…この口で私のことを守ると言ってくれただなんて、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	今でも信じられないよ。あの言葉は私の宝だ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	例えば戦場で弱気になった時…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	間違いなく私は、あの言葉に守られているよ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	鍛錬の時間が少し過ぎましたが…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	まあいいでしょう。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	ここであなたと過ごせて幸せでしたので、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	今日だけ特別ですよ。\x0E\x04\x00\x00
