MID_WU_C_1_IN_#001	僕なんかが起こしに来てごめんなさい…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	おっ…おはようございます神竜様、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	あのっ、これ…肉です。へへ、その…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	この前のオオカミと遊びに行きません？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	……言えたーっ！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	僕です…スタルークです…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはよう。起きてくれて嬉しいです。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	…やっぱりあなたは綺麗ですね。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	何回見ても、慣れないくらい。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	僕、自分のことをすぐ卑下してしまいますけど…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	この場所では、あなたと二人きりの時は\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	言わないようにしたいんです。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	だって…あなたが、僕を選んでくれたから。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	…必ずあなたに似合う男になりますから、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	惚れ直す準備をして、待っていてください。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	あ、おはようございます！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	え、さっき言ってたことですか？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	…ごめんなさい、秘密です。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	でもその時が来たら、覚悟してくださいね。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	大切な人を起こしに来ることができて、嬉しい僕です…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	そ、そんなに早く起きたら、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	嬉しい顔を見られてしまうじゃないですか。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	…ああ、あなたの前ではかっこよくいたいのに、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	まだ、ダメですね…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	…僕が差し上げた宝石、ここに置いてくれているんですね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	うん、やっぱりあなたによく似合います。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	父上も、喜んでるだろうな…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	もしルミエル様がご存命なら、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	やっぱりご挨拶したのでしょうか。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	緊張するけど、僕はこう言います…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	大切な神竜様を、幸せにします、って。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	あ…あーっ、今の、聞いてました！？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	我ながら恥ずかしい…で、でも…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	僕の本心なので、こればっかりは、謝ったりしませんよ。\x0E\x04\x00\x00
