MID_SYS_EnchantEffect	エンチャント効果
MIID_H_Camilla_BoltAxe	紋章士カミラの持つ魔法斧\n離れた敵にも攻撃可能
MIID_Camilla_Lightning	ライトニング
MIID_H_Camilla_Lightning	紋章士カミラの持つ魔法\n自分から攻撃した時、2連続攻撃
MIID_Camilla_Camilla'sAxe	カミラの艶斧
MIID_H_Camilla_Camilla'sAxe	紋章士カミラの持つ斧\n魔防＋10/相手の（魔防－守備）を\nダメージに加算する
MIID_HE_Vulnerary	自分と周囲2マスの味方の\nHPを15回復する
MIID_HE_Antidote	自分と自分に隣接する味方の\n状態異常を回復する
MIID_HE_Medicine	自分と自分に隣接する味方の\nエンゲージカウント＋2
MIID_HE_HolyWater	自分と自分に隣接する味方に\n1ターンの間、異形特効を付与する
MIID_HE_Torch	自分と自分に隣接する味方に\nたいまつ（周囲7マスを照らす\nターン毎に縮小）の効果を付与する
MIID_HE_HpTonic	自分と自分に隣接する味方は、1ターンの間\n敵からのチェインアタックの\nダメージを受けなくなる\nまた、レベルに応じて最大HPがアップする
MIID_HE_StrTonic	自分と自分に隣接する味方は、1ターンの間\n武器の重さが半減する\nまた、レベルに応じて力がアップする
MIID_HE_TecTonic	自分と自分に隣接する味方は、1ターンの間\n敵からブレイクされなくなる\nまた、レベルに応じて技がアップする
MIID_HE_SpdTonic	自分と自分に隣接する味方は、1ターンの間\nフリーズの効果を受けなくなる\nまた、レベルに応じて速さがアップする
MIID_HE_LckTonic	自分と自分に隣接する味方が\n1ターンの間、30％の確率で\n敵の攻撃を無効化できるようになる
MIID_HE_DefTonic	自分と自分に隣接する味方が、1ターンの間\n敵から物理攻撃を受けた時\n受けたダメージを相手にも\n与えられるようになる
MIID_HE_MagTonic	自分と自分に隣接する味方は、1ターンの間\nサイレスの効果を受けなくなる\nまた、レベルに応じて魔力がアップする
MIID_HE_MdefTonic	自分と自分に隣接する味方が、1ターンの間\n敵から魔法攻撃を受けた時\n受けたダメージを相手にも\n与えられるようになる
MIID_HE_Bento	隣接する味方1人に、戦闘開始時に\nHPが2以上だった場合その戦闘では\n必ずHP1で持ちこたえる効果を付与する\n（効果は発動すると消える）
MIID_HE_WeaponAvo	戦闘マップ終了まで\n同名の武器の回避を20アップさせる
MIID_HE_WeaponDef	戦闘マップ終了まで\n同名の武器の守備と魔防を5アップさせる
MIID_HE_WeaponCrit	戦闘マップ終了まで\n同名の武器の必殺を20アップさせる
MIID_HE_WeaponAtk	戦闘マップ終了まで\n同名の武器の威力を5アップさせる
MIID_HE_WeaponHit	戦闘マップ終了まで\n同名の武器の命中を20アップさせる
MIID_HE_WeaponAvo_Short	エンチャント効果：回避＋20
MIID_HE_WeaponDef_Short	エンチャント効果：守備＋5、魔防＋5
MIID_HE_WeaponCrit_Short	エンチャント効果：必殺＋20
MIID_HE_WeaponAtk_Short	エンチャント効果：威力＋5
MIID_HE_WeaponHit_Short	エンチャント効果：命中＋20
MSID_QuickResponse	切り返し
MSID_H_QuickResponse	敵から攻撃された時、自分のHPが\n80％以上なら追撃が発生する
MSID_QuickResponse+	切り返し＋
MSID_H_QuickResponse+	敵から攻撃された時、自分のHPが\n60％以上なら追撃が発生する
MSID_HeavyAttack	重撃
MSID_H_HeavyAttack	物理攻撃をした時\n装備武器の重さが、体格より大きい場合\n超過した分をダメージに追加する\n（最大＋5）
MSID_GazeDiagonally	角の睨み
MSID_H_GazeDiagonally	HP最大の時、最大HPの20％を消費して\n自分の斜め4マスに1ターンの間\n敵が進入できなくなる\n「角の睨み」コマンドが使用できる
MSID_H_GazeDiagonally_CMD	自分の斜め4マスへの敵の進入を防ぐ
MSID_WARNING_GazeDiagonally_CMD	HPが最大値でないため使用できません
MSID_Adaptability	適応能力
MSID_H_Adaptability	敵から攻撃を受けた時\n物理攻撃の場合、戦闘後に守備＋2\n魔法攻撃の場合、戦闘後に魔防＋2
MSID_Adaptability+	適応能力＋
MSID_H_Adaptability+	敵から攻撃を受けた時\n物理攻撃の場合、戦闘後に守備＋3\n魔法攻撃の場合、戦闘後に魔防＋3
MSID_HectorEngage	鉄壁
MSID_H_HectorEngage	敵から攻撃を受けた時、守備・魔防130％
MSID_H_HectorEngage_Dragon	敵から攻撃を受けた時、守備・魔防130％\n【竜族】必避150％
MSID_H_HectorEngage_Horse	敵から攻撃を受けた時、守備・魔防130％\n【騎馬】フリーズ状態を無効化する
MSID_H_HectorEngage_Heavy	敵から攻撃を受けた時、守備・魔防130％\n【重装】守備の上昇率が150％になる
MSID_H_HectorEngage_Fly	敵から攻撃を受けた時、守備・魔防130％\n【飛行】魔防の上昇率が150％になる
MSID_HectorEngageAtk	止水雷轟の構え
MSID_H_HectorEngageAtk	1ターンの間、敵からのブレイクと追撃が\n発生しなくなり自分の反撃時に追撃が\n発生するようになる/剣・斧限定
MSID_H_HectorEngageAtk_Dragon	1ターンの間、敵からのブレイクと追撃が\n発生しなくなり自分の反撃時に追撃が\n発生するようになる/剣・斧限定\n【竜族】敵の必殺の一撃が発生しなくなる
MSID_H_HectorEngageAtk_Coop	1ターンの間、敵からのブレイクと追撃が\n発生しなくなり自分の反撃時に追撃が\n発生するようになる/剣・斧限定\n【連携】必殺＋20
MSID_H_HectorEngageAtk_Covert	1ターンの間、敵からのブレイクと追撃が\n発生しなくなり自分の反撃時に追撃が\n発生するようになる/剣・斧限定\n【隠密】回避＋30
MSID_H_HectorEngageAtk_CMD	自分は追撃、相手は追撃不可
MSID_HectorEngageAtk+	止水雷轟の構え＋
MSID_H_HectorEngageAtk+	1ターンの間、戦闘時に必ず先制攻撃し\n敵からのブレイクと追撃が発生しなくなり\n自分の反撃時に追撃が発生するようになる\n剣・斧限定
MSID_H_HectorEngageAtk+_Dragon	1ターンの間、戦闘時に必ず先制攻撃し\n敵からのブレイクと追撃が発生しなくなり\n自分の反撃時に追撃が発生するようになる\n剣・斧限定\n【竜族】敵の必殺の一撃が発生しなくなる
MSID_H_HectorEngageAtk+_Coop	1ターンの間、戦闘時に必ず先制攻撃し\n敵からのブレイクと追撃が発生しなくなり\n自分の反撃時に追撃が発生するようになる\n剣・斧限定\n【連携】必殺＋20
MSID_H_HectorEngageAtk+_Covert	1ターンの間、戦闘時に必ず先制攻撃し\n敵からのブレイクと追撃が発生しなくなり\n自分の反撃時に追撃が発生するようになる\n剣・斧限定\n【隠密】回避＋30
MSID_H_HectorEngageAtk+_CMD	自分は先制攻撃と追撃、相手は追撃不可
MSID_MagicOfLaw+	理の神髄
MSID_H_MagicOfLaw+	魔道書で攻撃した時、炎の魔法なら守備－3\n雷の魔法なら命中－20、風の魔法なら\n移動－2の効果を、1ターンの間与える\n
MSID_KeenInsight	慧眼
MSID_H_KeenInsight	特効のダメージを与えた時\nダメージ＋5
MSID_KeenInsight+	慧眼＋
MSID_H_KeenInsight+	特効のダメージを与えた時\nダメージ＋7
MSID_NominateDecoy	囮指名
MSID_H_NominateDecoy	1ターンの間、任意の味方を\n敵に狙われやすくする\n「囮指名」コマンドが使用できる\n最大1人/敵から3回攻撃されると解除\n
MSID_H_NominateDecoy_CMD	味方を敵に狙われやすくする
MSID_PreventionReturn	復帰阻止
MSID_H_PreventionReturn	ブレイク中の敵を魔道書で攻撃した時\n確率でブレイク状態を解除しない\n（相手より速さが高いほど確率が上がる）
MSID_SenerioEngage	陽光
MSID_H_SenerioEngage	魔法で攻撃した時、相手の魔防を－20％し\n与えたダメージの50％\n自分のHPを回復する
MSID_H_SenerioEngage_Dragon	魔法で攻撃した時、相手の魔防を－20％し\n与えたダメージの50％\n自分のHPを回復する\n【竜族】必殺が2倍になる
MSID_H_SenerioEngage_Magic	魔法で攻撃した時、相手の魔防を－20％し\n与えたダメージの50％\n自分のHPを回復する\n【魔道】さらに相手の魔防－10％
MSID_H_SenerioEngage_Prana	魔法で攻撃した時、相手の魔防を－20％し\n与えたダメージの50％\n自分のHPを回復する\n【気功】HP回復量が100％になる
MSID_SenerioEngageAtk	ディザスター
MSID_H_SenerioEngageAtk	範囲内の敵に、ダメージ40％で\n炎、雷、風（飛行特効）魔法の3連撃を行う
MSID_H_SenerioEngageAtk_Dragon	範囲内の敵に、ダメージ40％で\n炎、雷、風（飛行特効）魔法の3連撃を行う\n【竜族】攻撃範囲の地形に「炎」を付与する
MSID_H_SenerioEngageAtk_Magic	範囲内の敵に、ダメージ40％で\n炎、雷、風（飛行特効）魔法の3連撃を行う\n【魔道】ダメージ＋10％
MSID_H_SenerioEngageAtk_Prana	範囲内の敵に、ダメージ40％で\n炎、雷、風（飛行特効）魔法の3連撃を行う\n【気功】20％の確率で相手がブレイクする
MSID_H_SenerioEngageAtk_CMD	範囲内に炎、雷、風魔法の3連撃
MSID_H_SenerioEngageAtk_G004	範囲内の敵に、ダメージ30％で\n炎、雷、風（飛行特効）魔法の3連撃を行う
MSID_SenerioEngageAtk+	ディザスター＋
MSID_H_SenerioEngageAtk+	範囲内の敵に、ダメージ40％で\n炎、雷、風（飛行特効）魔法の3連撃を行う
MSID_H_SenerioEngageAtk+_Dragon	範囲内の敵に、ダメージ40％で\n炎、雷、風（飛行特効）魔法の3連撃を行う\n【竜族】攻撃範囲の地形に「炎」を付与する
MSID_H_SenerioEngageAtk+_Magic	範囲内の敵に、ダメージ40％で\n炎、雷、風（飛行特効）魔法の3連撃を行う\n【魔道】ダメージ＋10％
MSID_H_SenerioEngageAtk+_Prana	範囲内の敵に、ダメージ40％で\n炎、雷、風（飛行特効）魔法の3連撃を行う\n【気功】20％の確率で相手がブレイクする
MSID_H_SenerioEngageAtk+_CMD	範囲内に炎、雷、風魔法の3連撃
MSID_DragonPulse_other	竜脈・暗
MSID_H_DragonPulse_other	マスに対して、特殊効果を付与する\n「竜脈・暗」コマンドが使用できる
MSID_H_DragonPulse_other_CMD	マスに対して特殊効果を付与する
MSID_H_DragonPulse_other_Dragon	マスに対して、特殊効果を付与する\n「竜脈・暗」コマンドが使用できる\n【竜族】全ての竜脈を使いこなせる
MSID_DragonPulse_other_Coop	竜脈・暗〈護〉
MSID_H_DragonPulse_other_Coop_CMD	守備・魔防をアップする\n土柱を発生させる
MSID_H_DragonPulse_other_Coop	マスに対して特殊効果を付与する\n「竜脈・暗〈護〉」コマンドが使用できる\n【連携】守備・魔防アップ効果のある土柱を\n発生させる
MSID_DragonPulse_other_Horse	竜脈・暗〈水〉
MSID_H_DragonPulse_other_Horse_CMD	回避ダウン効果のある\n水場を発生させる
MSID_H_DragonPulse_other_Horse	マスに対して特殊効果を付与する\n「竜脈・暗〈水〉」コマンドが使用できる\n【騎馬】回避ダウン効果のある水たまりを\n発生させる
MSID_DragonPulse_other_Covert	竜脈・暗〈煙〉
MSID_H_DragonPulse_other_Covert_CMD	防御や回避ダウン効果のある\n黒煙を発生させる
MSID_H_DragonPulse_other_Covert	マスに対して特殊効果を付与する\n「竜脈・暗〈煙〉」コマンドが使用できる\n【隠密】防御や回避ダウン効果のある\n黒煙を発生させる
MSID_DragonPulse_other_Heavy	竜脈・暗〈緑〉
MSID_H_DragonPulse_other_Heavy_CMD	ブレイクを無効化する\nツタを発生させる
MSID_H_DragonPulse_other_Heavy	マスに対して特殊効果を付与する\n「竜脈・暗〈緑〉」コマンドが使用できる\n【重装】ブレイクを無効化するツタを\n発生させる
MSID_DragonPulse_other_Fly	竜脈・暗〈癒〉
MSID_H_DragonPulse_other_Fly_CMD	HP回復効果のある\n癒しの霧を発生させる
MSID_H_DragonPulse_other_Fly	マスに対して特殊効果を付与する\n「竜脈・暗〈癒〉」コマンドが使用できる\n【飛行】HP回復効果のある癒しの霧を\n発生させる
MSID_DragonPulse_other_Magic	竜脈・暗〈炎〉
MSID_H_DragonPulse_other_Magic_CMD	ダメージ効果のある\n炎を発生させる
MSID_H_DragonPulse_other_Magic	マスに対して特殊効果を付与する\n「竜脈・暗〈炎〉」コマンドが使用できる\n【魔道】ダメージ効果のある炎を発生させる
MSID_DragonPulse_other_Prana	竜脈・暗〈迅〉
MSID_H_DragonPulse_other_Prana_CMD	移動アップ効果のある\n結氷を発生させる
MSID_H_DragonPulse_other_Prana	マスに対して特殊効果を付与する\n「竜脈・暗〈迅〉」コマンドが使用できる\n【気功】移動アップ効果のある結氷を\n発生させる
MSID_EarthVeinAbsorption	地脈吸収
MSID_H_EarthVeinAbsorption	待機したマスの効果（「炎」「瘴気」など）を\n打ち消し、HPを10回復する
MSID_Detox	デトックス
MSID_H_Detox	自軍フェイズ開始時に毒状態を回復する
MSID_CleanUp	後始末
MSID_H_CleanUp	自分から攻撃して、必殺の一撃が発生した場合\n戦闘後に相手へ5ダメージ与える
MSID_CleanUp+	後始末＋
MSID_H_CleanUp+	自分から攻撃して、必殺の一撃が発生した場合\n戦闘後に10ダメージ与える
MSID_CamillaEngage	天駆
MSID_H_CamillaEngage	移動＋2/飛行スタイルでなくても\n歩行不可地形に進入できるようになり\n地形効果を受けなくなる
MSID_H_CamillaEngage_Dragon	移動＋2/飛行スタイルでなくても\n歩行不可地形に進入できるようになり\n地形効果を受けなくなる\n【竜族】自分から攻撃した時、周囲2マスの\n敵に最大HPの10％のダメージを与える
MSID_H_CamillaEngage_Horse	移動＋2/飛行スタイルでなくても\n歩行不可地形に進入できるようになり\n地形効果を受けなくなる\n【騎馬】さらに移動＋2
MSID_H_CamillaEngage_Fly	移動＋2/飛行スタイルでなくても\n歩行不可地形に進入できるようになり\n地形効果を受けなくなる\n【飛行】さらに移動＋1
MSID_CamillaEngageAtk	暗夜爆砕陣
MSID_H_CamillaEngageAtk	自分の周囲の特定のマスにいる敵に\nダメージを与え、マスを炎上状態にする
MSID_H_CamillaEngageAtk_Dragon	自分の周囲の特定のマスにいる敵に\nダメージを与え、マスを炎上状態にする\n【竜族】効果範囲が拡大する
MSID_H_CamillaEngageAtk_Magic	自分の周囲の特定のマスにいる敵に\nダメージを与え、マスを炎上状態にする\n【魔道】ダメージ120％
MSID_H_CamillaEngageAtk_Prana	自分の周囲の特定のマスにいる敵に\nダメージを与え、マスを炎上状態にする\n【気功】自分の周囲1マスの地形に\n「アロマ」を付与する
MSID_H_CamillaEngageAtk_CMD	特定のマスを攻撃後、炎上させる
MSID_CamillaEngageAtk+	暗夜爆砕陣＋
MSID_H_CamillaEngageAtk+	自分の周囲の特定のマスにいる敵に\nダメージを与え、マスを炎上状態にする
MSID_H_CamillaEngageAtk+_Dragon	自分の周囲の特定のマスにいる敵に\nダメージを与え、マスを炎上状態にする\n【竜族】効果範囲が拡大する
MSID_H_CamillaEngageAtk+_Magic	自分の周囲の特定のマスにいる敵に\nダメージを与え、マスを炎上状態にする\n【魔道】ダメージ120％
MSID_H_CamillaEngageAtk+_Prana	自分の周囲の特定のマスにいる敵に\nダメージを与え、マスを炎上状態にする\n【気功】自分の周囲1マスの地形に\n「アロマ」を付与する
MSID_H_CamillaEngageAtk+_CMD	特定のマスを攻撃後、炎上させる
MSID_Str_Def_1	力・守備＋1
MSID_H_Str_Def_1	常に力と守備が1アップする
MSID_Str_Def_2	力・守備＋2
MSID_H_Str_Def_2	常に力と守備が2アップする
MSID_Str_Def_3	力・守備＋3
MSID_H_Str_Def_3	常に力と守備が3アップする
MSID_Str_Def_4	力・守備＋4
MSID_H_Str_Def_4	常に力と守備が4アップする
MSID_Str_Def_5	力・守備＋5
MSID_H_Str_Def_5	常に力と守備が5アップする
MSID_Mag_Res_1	魔力・魔防＋1
MSID_H_Mag_Res_1	常に魔力と魔防が1アップする
MSID_Mag_Res_2	魔力・魔防＋2
MSID_H_Mag_Res_2	常に魔力と魔防が2アップする
MSID_Mag_Res_3	魔力・魔防＋3
MSID_H_Mag_Res_3	常に魔力と魔防が3アップする
MSID_Mag_Res_4	魔力・魔防＋4
MSID_H_Mag_Res_4	常に魔力と魔防が4アップする
MSID_Mag_Res_5	魔力・魔防＋5
MSID_H_Mag_Res_5	常に魔力と魔防が5アップする
MSID_Spd_Res_1	速さ・魔防＋1
MSID_H_Spd_Res_1	常に速さと魔防が1アップする
MSID_Spd_Res_2	速さ・魔防＋2
MSID_H_Spd_Res_2	常に速さと魔防が2アップする
MSID_Spd_Res_3	速さ・魔防＋3
MSID_H_Spd_Res_3	常に速さと魔防が3アップする
MSID_Spd_Res_4	速さ・魔防＋4
MSID_H_Spd_Res_4	常に速さと魔防が4アップする
MSID_Spd_Res_5	速さ・魔防＋5
MSID_H_Spd_Res_5	常に速さと魔防が5アップする
MSID_AntiAxeArts_1	対斧術Lv.1
MSID_H_AntiAxeArts_1	斧装備の敵と戦闘した時\n受けるダメージ－1
MSID_AntiAxeArts_2	対斧術Lv.2
MSID_H_AntiAxeArts_2	斧装備の敵と戦闘した時\n受けるダメージ－2
MSID_AntiAxeArts_3	対斧術Lv.3
MSID_H_AntiAxeArts_3	斧装備の敵と戦闘した時\n受けるダメージ－3
MSID_AntiAxeArts_4	対斧術Lv.4
MSID_H_AntiAxeArts_4	斧装備の敵と戦闘した時\n受けるダメージ－4
MSID_AntiAxeArts_5	対斧術Lv.5
MSID_H_AntiAxeArts_5	斧装備の敵と戦闘した時\n受けるダメージ－5
MSID_AntiMagicArts_1	対魔道Lv.1
MSID_H_AntiMagicArts_1	魔道書装備の敵と戦闘した時\n受けるダメージ－1
MSID_AntiMagicArts_2	対魔道Lv.2
MSID_H_AntiMagicArts_2	魔道書装備の敵と戦闘した時\n受けるダメージ－2
MSID_AntiMagicArts_3	対魔道Lv.3
MSID_H_AntiMagicArts_3	魔道書装備の敵と戦闘した時\n受けるダメージ－3
MSID_AntiMagicArts_4	対魔道Lv.4
MSID_H_AntiMagicArts_4	魔道書装備の敵と戦闘した時\n受けるダメージ－4
MSID_AntiMagicArts_5	対魔道Lv.5
MSID_H_AntiMagicArts_5	魔道書装備の敵と戦闘した時\n受けるダメージ－5
MSID_AntiLanceArts_1	対槍術Lv.1
MSID_H_AntiLanceArts_1	槍装備の敵と戦闘した時\n受けるダメージ－1
MSID_AntiLanceArts_2	対槍術Lv.2
MSID_H_AntiLanceArts_2	槍装備の敵と戦闘した時\n受けるダメージ－2
MSID_AntiLanceArts_3	対槍術Lv.3
MSID_H_AntiLanceArts_3	槍装備の敵と戦闘した時\n受けるダメージ－3
MSID_AntiLanceArts_4	対槍術Lv.4
MSID_H_AntiLanceArts_4	槍装備の敵と戦闘した時\n受けるダメージ－4
MSID_AntiLanceArts_5	対槍術Lv.5
MSID_H_AntiLanceArts_5	槍装備の敵と戦闘した時\n受けるダメージ－5
MSID_JobSkill_Enchant1	エンチャント
MSID_JobSkill_Enchant1_CMD1	極限活用
MSID_H_JobSkill_Enchant1_CMD1	アイテムを消費してユニットを強化
MSID_JobSkill_Enchant1_CMD2	武器共鳴
MSID_H_JobSkill_Enchant1_CMD2	武器を指定して同名の武器を強化
MSID_JobSkill_Enchant2	輸送隊
MSID_H_JobSkill_Enchant2	武器や道具を預けたり\n受け取ったりすることが可能な\n「輸送隊」コマンドが使用できる
MSID_H_Ent_AntiMorph_Short	1ターンの間、異形特効
MSID_H_Ent_ResistChain_Short	1ターンの間、敵チェインアタック無効、最大HP＋\x0E\x01\x00\x00
MSID_H_Ent_WeightZero_Short	1ターンの間、武器の重さ半減、力＋\x0E\x01\x00\x00
MSID_H_Ent_ResistBreak_Short	1ターンの間、敵からのブレイク無効、技＋\x0E\x01\x00\x00
MSID_H_Ent_ResistFreeze_Short	1ターンの間、フリーズ無効、速さ＋\x0E\x01\x00\x00
MSID_H_Ent_MayNoDamage_Short	1ターンの間、30％の確率で敵からのダメージ無効
MSID_H_Ent_ReflectPhysic_Short	1ターンの間、受けた物理攻撃ダメージを返す
MSID_H_Ent_ResistSilence_Short	1ターンの間、サイレス無効、魔力＋\x0E\x01\x00\x00
MSID_H_Ent_ReflectMagic_Short	1ターンの間、受けた魔法攻撃ダメージを返す
MSID_H_Ent_HoldOutOnce_Short	戦闘開始時にHP2以上なら持ちこたえる（1回）
MSID_Ent_AntiMorph	異形特効
MSID_Ent_ResistChain	チェインアタック無効
MSID_Ent_WeightZero	武器の重さ半減
MSID_Ent_ResistBreak	ブレイク無効 
MSID_Ent_ResistFreeze	フリーズ無効
MSID_Ent_MayNoDamage	ダメージ無効
MSID_Ent_ReflectPhysic	物理反射
MSID_Ent_ResistSilence	サイレス無効
MSID_Ent_ReflectMagic	魔法反射
MSID_Ent_HoldOutOnce	持ちこたえ
MAID_Mascot	守り神ペアセット
MAID_MascotM	守り神の着ぐるみ
MAID_H_MascotM	伝承にある、ソラネルの守り神を模した着ぐるみ\nぷにぷにした肉球やふわふわした尻尾など、細部にまで癒しが詰まった衣装
MAID_MascotF	守り神の着ぐるみ
MAID_H_MascotF	伝承にある、ソラネルの守り神を模した着ぐるみ\nぷにぷにした肉球やふわふわした尻尾など、細部にまで癒しが詰まった衣装
MAID_SolaHead	守り神のご尊顔
MAID_H_SolaHead	伝承にある、ソラネルの守り神を模した覆面\n何とも言えない表情を見事に再現した逸品　完璧な守り神になりたい人におすすめ
MAID_CatEar	守り神のつけ耳
MAID_H_CatEar	伝承にある、ソラネルの守り神の耳を模したもの\n識者たちが文献を元に拘りぬいて作った逸品　守り神になりきりたい人におすすめ
MAID_DogEar	イヌのつけ耳
MAID_H_DogEar	エレオスケンの耳を模したもの　作り込みが細かく、本物の毛並みが再現されている\n身に着けるだけで、愛くるしいエレオスケンになりきれる
MAID_RabbitEar	ウサギのつけ耳
MAID_H_RabbitEar	ピョンウサギの耳を模したもの　付け根に施されたモフモフは至高の触り心地\n身に着けるだけで、可愛らしいピョンウサギになりきれる
MAID_FoxEar	キツネのつけ耳
MAID_H_FoxEar	コンコンキツネの耳を模したもの　とても希少な動物のため、商品化は珍しい\n身に着けるだけで、不思議なコンコンキツネになりきれる
MID_BONDSRING_Hector00	異界の大陸エレブにある\nリキア地方オスティア侯爵家の公子。
MID_BONDSRING_Hector01	親友エリウッドのため、伝説の武器\n「天雷の斧 アルマーズ」を手に、奮戦した。
MID_BONDSRING_Senerio00	異界の大陸テリウスにある、クリミア王国の\nグレイル傭兵団の一員。
MID_BONDSRING_Senerio01	優れた軍略家の資質を持ち、団長アイクや\n仲間の危機を、智略で幾度となく救った。
MID_BONDSRING_Camilla00	異界の国、暗夜王国の王女。\n王家のきょうだいの長姉。
MID_BONDSRING_Camilla01	きょうだいや身内には愛情深く接するが\n敵に対しては非情で冷酷な態度を見せる。
MGID_Ring_Hector	熱き猛将の腕輪
MGID_H_Ring_Hector	通称『天雷の紋章士』ヘクトルが宿る腕輪。\n腕自慢で武勇に優れる、豪快な性格の青年。
MGID_Ring_Senerio	蒼の参謀の腕輪
MGID_H_Ring_Senerio	通称『賢風の紋章士』セネリオが宿る腕輪。\n冷静沈着な判断力を持つ、黒衣の参謀。
MGID_Ring_Camilla	暗き妖艶の腕輪
MGID_H_Ring_Camilla	通称『暗夜の紋章士』カミラが宿る腕輪。\n妖艶な雰囲気をまとう、美しき魔竜騎士。
MGID_World_Hector	草原の公女の世界
MGID_World_Senerio	蒼炎の勇者の世界
MGID_World_Camilla	未来を選びし者の世界
MID_RELAY_Stamp_Hector_0	少しは俺を頼れよ。仲間だろ？
MID_RELAY_Stamp_Senerio_0	悪くない結果だと思います
MID_RELAY_Stamp_Camilla_0	きついお仕置きをしてあげなくちゃ
MID_Hub_Horse	厩舎
MID_Hub_Fruit	果樹園
MID_Hub_Pool	プール
