MID_WU_C_1_IN_#001	本当に入っていいのか？
MID_WU_A_1_WAKEUP_#004	神竜様の額を指で弾いちまうぞ？
MID_WU_A_1_WAKEUP_#005	この前俺がされたみたいにな。
MID_WU_A_1_HELLO_#001	ははっ、流石に起きたか。
MID_WU_A_1_HELLO_#002	弾くって言っても優しくするつもりだったぜ？
MID_WU_A_1_HELLO_#003	痛がる神竜様を見るような趣味はねえよ。
MID_WU_A_2_IN_#001	そういや、俺たちの神竜様を
MID_WU_A_2_IN_#002	こうして起こしたことって、なかったな…
MID_WU_A_2_SOON_#001	すまん、独り言が大きかったか？
MID_WU_A_2_SOON_#002	ちょっと昔を思い出してな。
MID_WU_A_2_SOON_#003	起こし当番も悪くないもんだ。
MID_WU_A_2_WAKEUP_#001	向こうの世界では、
MID_WU_A_2_WAKEUP_#002	神竜様が眠っているところを見ることが
MID_WU_A_2_WAKEUP_#003	殆どなかったように思う。
MID_WU_A_2_WAKEUP_#004	今思えば、ずっと起きてたのか…？
MID_WU_A_2_WAKEUP_#005	まさかな。
MID_WU_A_2_HELLO_#001	おはよう。
MID_WU_A_2_HELLO_#002	こっちの世界のあんたは本当に世話が焼けるな。
MID_WU_A_2_HELLO_#003	最近はそのことが、
MID_WU_A_2_HELLO_#004	好ましく思うようになってきたぜ。
MID_WU_S_1_IN_#001	まだ寝てるのか…
MID_WU_S_1_IN_#002	くそっ、
MID_WU_S_1_IN_#003	不覚にも寝顔が可愛いと思っちまった。
MID_WU_S_1_SOON_#001	おはよう。
MID_WU_S_1_SOON_#002	早く起きてくれてよかったぜ。
MID_WU_S_1_SOON_#003	何故って…
MID_WU_S_1_SOON_#004	これ以上パートナーの寝顔を見せられたら、
MID_WU_S_1_SOON_#005	胸が早鐘を打って…
MID_WU_S_1_SOON_#006	痛くなっちまうからな。
MID_WU_S_1_WAKEUP_#001	安心しきって寝てやがるぜ。
MID_WU_S_1_WAKEUP_#002	本当なら現実から逃げ出して、
MID_WU_S_1_WAKEUP_#003	眠るあんたの顔をずっと見ていたいが…
MID_WU_S_1_WAKEUP_#004	この世界に来た以上は、
MID_WU_S_1_WAKEUP_#005	戦って戦って…
MID_WU_S_1_WAKEUP_#006	幾らでもこの身を投げ打ってやる。
MID_WU_S_1_WAKEUP_#007	俺はこの先、
MID_WU_S_1_WAKEUP_#008	どれだけ傷ついたって…
MID_WU_S_1_WAKEUP_#009	あんたさえ無事なら、それで構わない。
MID_WU_S_1_HELLO_#001	起きたか、
MID_WU_S_1_HELLO_#002	今日もお互い無事でいられるように頑張ろうぜ。
MID_WU_S_1_HELLO_#003	…危ないと思ったら、
MID_WU_S_1_HELLO_#004	俺のところに逃げて来い。
MID_WU_S_1_HELLO_#005	絶対に、守ってやる。
MID_WU_S_2_IN_#001	起こしに来たぜ、パートナー。
MID_WU_S_2_IN_#002	…何か照れるな。
MID_WU_S_2_SOON_#001	安心させるためにすぐ起きてくれたのか？
MID_WU_S_2_SOON_#002	ありがとう…
MID_WU_S_2_SOON_#003	そんなことされたら、
MID_WU_S_2_SOON_#004	俺もあんたを甘やかして、
MID_WU_S_2_SOON_#005	幸せな気持ちにさせたくなるな。
MID_WU_S_2_WAKEUP_#001	神竜様、
MID_WU_S_2_WAKEUP_#002	俺に指輪と…
MID_WU_S_2_WAKEUP_#003	こんな幸せな時間をくれてありがとうな。
MID_WU_S_2_WAKEUP_#004	あの日から、ふわふわした気持ちで、
MID_WU_S_2_WAKEUP_#005	浮かれちまっていけねえぜ。
MID_WU_S_2_WAKEUP_#006	あんたも俺に安心してくれてたらいいが…
MID_WU_S_2_WAKEUP_#007	俺があんたへの想いを募らせてるってことは、
MID_WU_S_2_WAKEUP_#008	いつか痛いほど思い知らせてやるからな。
MID_WU_S_2_HELLO_#001	おはよう。
MID_WU_S_2_HELLO_#002	さあ、今日も逃げずに戦に行くか。
MID_WU_S_2_HELLO_#003	その前に…
MID_WU_S_2_HELLO_#004	少しこうして、抱きしめさせてくれ。
MID_WU_S_2_HELLO_#005	お前が腕の中にいると、
MID_WU_S_2_HELLO_#006	すごく…安心する。
