MID_FRIENDLIST_Vandre_TextD	【初期兵種】パラディン\n【誕生日】11の月26の日\n【備考】第三十二代竜の守り人。\n浮遊島にある離宮ソラネルで\n眠る\x0E\x06\x03\x00の\n世話をしていた。
MID_FRIENDLIST_Boucheron_TextD	【初期兵種】アクスファイター\n【誕生日】5の月11の日\n【備考】フィレネ王国の王城騎士。\n神竜王城に襲撃のあった夜、\n主君アルフレッド王子及び\n朋輩エーティエと共に、\n援軍として駆け付けた。
MID_FRIENDLIST_Boucheron_TextC	【好きなもの】\n読書、釣り、散歩、自然、\n通い慣れた道、幸せな結末の物語\n【苦手なもの】\n細かい作業、怪談、初めての道、\n悲しい結末の物語
MID_FRIENDLIST_Boucheron_TextB	【趣味】自然の中で本を読むこと\n【特技】力仕事、利き水\n【来歴】フィレネ王国出身。\n清流の町にある伯爵家の次男。\n体格の良い兄がひとりいる。\n両親ともに王族と交流があり、\nアルフレッド王子とは幼馴染。\n幼少時より臣下に指名されていた。
MID_FRIENDLIST_Boucheron_TextA	【身長】190cm\n【薬指の指輪サイズ】21号\n【性格】心優しく、感受性が豊か。\n感動するとすぐに泣いてしまう。\n人から相談を受ける事が多い。\n貴族育ちで、移動には馬車を使って\nいたため方向を把握するのが苦手。\n軍の中で一番、包容力がある。
MID_FRIENDLIST_Boucheron_TextS	【パートナーとしての毎日】\n一日の終わりには傍にいて、\nあなたの話を優しく聞いてくれる。\n皆の前で支える姿勢は変わらないが\n二人の時は随分情熱的になった。\n約束の指輪は見るたびに感極まって\n泣いてしまうので、特別な時にだけ\n大切に身に着けることにしている。
MID_FRIENDLIST_Etie_TextD	【初期兵種】アーチャー\n【誕生日】10の月1の日\n【備考】フィレネ王国の王城騎士。\n神竜王城に襲撃のあった夜、\n主君アルフレッド王子及び\n朋輩ブシュロンと共に、\n援軍として駆け付けた。
MID_FRIENDLIST_Etie_TextC	【好きなもの】\n鍛錬、お茶会、花、肉、\nおもしろい味の筋肉増強剤\n【苦手なもの】\n細かい作業、掃除、裁縫、\n腕力でどうにもできないこと
MID_FRIENDLIST_Etie_TextB	【趣味】体を動かすこと全般\n【特技】切り花を長持ちさせること\n【来歴】フィレネ王国出身。\n花畑の町の名家である侯爵家の娘。\n年の離れた兄と姉がいる。\nセリーヌとは赤子の頃からの友人。\n日課の筋肉鍛錬はセリーヌから\n教わって興味を持ち始めた。
MID_FRIENDLIST_Etie_TextA	【身長】154cm\n【薬指の指輪サイズ】13号\n【性格】品があり、気位高そうだが\nたいへん前向きで活動的な性格。\n日々強靭な体作りに余念がなく、\nそのための研究を惜しまない。\n悩み事は体を動かして吹き飛ばす。\n軍の中で一番、健脚。
MID_FRIENDLIST_Etie_TextS	【パートナーとしての毎日】\nあなたの体調を誰よりも心配し、\n疲れている時は固い瓶の蓋を開ける\nなどの力仕事を引き受けてくれる。\n戦の合間に、あなたと二人仲良く\n走り込みをするのが何よりの幸せ。\n約束の指輪は決して握り潰さぬよう\n花形の小物入れにしまっている。
MID_FRIENDLIST_Celine_TextD	【初期兵種】ノーブル\n【誕生日】12の月18の日\n【備考】フィレネ王国第一王女。\nアルフレッドの妹。\n臣下にルイ、クロエがいる。\nフルルの風車村にて、\n『慈愛の王女の指輪』を携え\n神竜の軍に仲間入りする。
MID_FRIENDLIST_Celine_TextC	【好きなもの】\nお茶会、花、読書、お洒落、\n紅茶、小鳥、仲間の幸せ\n【苦手なもの】\n辛い物、武器、戦争、\n大きすぎる幸せ、\n無理やり前向きになること
MID_FRIENDLIST_Celine_TextB	【趣味】お茶のお誘い\n【特技】茶葉の銘柄を当てること\n【来歴】フィレネ王女として生まれ\n家族や民たちに愛されて育つ。\n幼い頃はかなりの泣き虫だったが、\n前王である父を亡くして以降は\n母や兄を支えようと鍛錬や勉学に\n励み、強い心を手に入れた。
MID_FRIENDLIST_Celine_TextA	【身長】155cm\n【薬指の指輪サイズ】6号\n【性格】明るくて親しみやすい。\n勉学や教養は何でも卒なくこなし、\n平和の為なら戦うことを厭わない。\n兄アルフレッドにはやや毒舌だが、\nその身を誰よりも案じている。\n軍の中で一番、舌戦に強い。
MID_FRIENDLIST_Celine_TextS	【パートナーとしての毎日】\n一日に一度は共にお茶を飲みながら\n穏やかな時間を過ごすことが日課。\n戦の中で辛いことがあっても互いに\n痛みを分かち合い支え合っている。\n約束の指輪は、セリーヌの大好きな\n芍薬を模した台座に保管しており、\n二人の時は必ず身に着けている。
MID_FRIENDLIST_Louis_TextD	【初期兵種】ランスアーマー\n【誕生日】11の月4の日\n【備考】フィレネ王国の王城騎士。\nフルルの風車村にて\n主君セリーヌを逃がすために\n朋輩クロエと共闘。\nその後、神竜軍に合流した。
MID_FRIENDLIST_Louis_TextC	【好きなもの】\nお茶会、料理、花、妄想、\n仲の良い仲間同士、ブドウ\n【苦手なもの】\n工作、激辛、海ブドウ、\n本音のわからない人、\n気配に敏感な人
MID_FRIENDLIST_Louis_TextB	【趣味】仲間たちを見守ること\n【特技】お節介、お茶の用意\n【来歴】フィレネ王国出身。\n葡萄の村の平民。弟が3人いる。\n弟たちを養うために騎士を志し、\n能力を買われセリーヌの臣下に。\nフィレネでは、貴族でない者が\n王族の臣下となることは珍しい。
MID_FRIENDLIST_Louis_TextA	【身長】178cm\n【薬指の指輪サイズ】18号\n【性格】礼儀正しく穏やかで、\n騎士と執事の素養を持ち併せる。\nいつも仲間の様子に気を配っており\n仲睦まじい姿を見ることが幸せ。\n情緒が乱されると真顔になる。\n軍の中で一番、天候が読める。
MID_FRIENDLIST_Louis_TextS	【パートナーとしての毎日】\n以前に増して優しくなり、\n甲斐甲斐しく世話を焼いてくれる。\n仲間たちを観察している時間より\nあなたを見守る時間が多くなった。\n約束の指輪はピカピカに磨いてあり\nいつかあなたに、対になるような\n手作りの指輪を渡すつもりでいる。
MID_FRIENDLIST_Chloe_TextD	【初期兵種】ランスペガサス\n【誕生日】4の月27の日\n【備考】フィレネ王国の王城騎士。\nフルルの風車村にて\n主君セリーヌを逃がすために\n朋輩ルイと共闘。\nその後、神竜軍に合流した。
MID_FRIENDLIST_Chloe_TextC	【好きなもの】\n御伽噺、珍味、妄想、動物、\n空からの眺め、濃いめの味つけ\n【苦手なもの】\n料理、掃除、日焼け、\n薄味のもの、量の少ない食事、\n貴族の息女としての振る舞い
MID_FRIENDLIST_Chloe_TextB	【趣味】屋台巡り、空の散歩\n【特技】遠投、大食い\n【来歴】フィレネ王国出身。\n海に程近い町にある侯爵家の娘。\n家督を継ぐ兄がおり、クロエ自身は\n良い家柄の男性に嫁ぐために教育を\nされてきたが、セリーヌとの偶然の\n出会いを切欠に王城騎士を志した。
MID_FRIENDLIST_Chloe_TextA	【身長】167cm\n【薬指の指輪サイズ】11号\n【性格】おっとりした気質の淑女。\n御伽噺や美しい風景を好み、いつも\n絵になる組み合わせを探している。\n珍味が好物で、よくわからない物を\n沢山食べているがお腹は壊さない。\n軍の中で一番、遠投が得意。
MID_FRIENDLIST_Chloe_TextS	【パートナーとしての毎日】\n相変わらず絵になる組み合わせを\n探すことに余念がないが、一番は\n自分たちだと言うようになった。\n疲れた時には膝枕をしてくれる上に\nとっておきの珍味も分けてくれる。\n約束の指輪はペガサスの羽でできた\n美しい小物入れにしまっている。
MID_FRIENDLIST_Diamand_TextD	【初期兵種】ロード\n【誕生日】4の月6の日\n【備考】ブロディア王国第一王子。\n臣下にアンバー、ジェーデがいる。\nブロディアに託されている\n紋章士の指輪を求めて来た\n神竜一行を、城門にて出迎えた。
MID_FRIENDLIST_Diamand_TextC	【好きなもの】\n武器、鍛錬、釣り、肉、勉強、\n家族、人目のない場所\n【苦手なもの】\n宴会、可愛いもの、炎の魔法、\n強い香りのもの、過度な期待
MID_FRIENDLIST_Diamand_TextB	【趣味】戯話を嗜むこと\n【特技】人を褒めること、速読\n【来歴】第一王子として生まれ、\n次期国王になるべく教育を受ける。\n幼少時からモリオン直々に武術を\n教わり、父を心から尊敬しているが\n個人の思いとしては領土拡大でなく\n富国のための統治に力を割きたい。
MID_FRIENDLIST_Diamand_TextA	【身長】188cm\n【薬指の指輪サイズ】21号\n【性格】質実剛健で真面目な性格。\n自らを高めることに喜びを感じる。\n誰もが認めるブロディア次期国王。\n堂々とした風格と威厳を持ち、\n嫌味なく手放しで相手を褒める。\n軍の中で一番、一度笑うと長い。
MID_FRIENDLIST_Diamand_TextS	【パートナーとしての毎日】\n大きく態度は変わらないが、\nソラネルでも戦場でもあなたを\n一番に気にかけ、身を案じている。\nあなたが時折、ブロディアの指輪を\n着けてくれることが何よりの喜び。\n約束の指輪は正絹の袋に入れており\n戦の際は必ず胸元に忍ばせている。
MID_FRIENDLIST_Umber_TextD	【初期兵種】ランスナイト\n【誕生日】2の月3の日\n【備考】ブロディア王国の王城兵。\nブロディア王城が襲撃された際、\n愛馬の計らいにより国境から帰還。\n神竜と主君ディアマンドの元に\n援軍として駆け付ける。
MID_FRIENDLIST_Umber_TextC	【好きなもの】\n乳製品、芋、動物、料理、\n格好いいもの、伝説、アルパカ\n【苦手なもの】\n裁縫、掃除、珍味、難しい本、\nロマンのないこと、嘘
MID_FRIENDLIST_Umber_TextB	【趣味】伝説とロマンを追うこと\n【特技】アルパカ語、動物の世話\n【来歴】ブロディア王国出身。\nアルパカの里にある牧場の生まれ。\n田舎に嫌気がさし、猛特訓の末に\n国の武術大会で好成績を収め、\n王族の臣下となった。里ではこれを\n「アルパカの里の奇跡」と呼ぶ。
MID_FRIENDLIST_Umber_TextA	【身長】185cm\n【薬指の指輪サイズ】17号\n【性格】純粋で熱い心を持つ。\n世界各国の伝承や伝説が好きで、\n信憑性の如何に関わらず詳しい。\n何かすると珍騒動になることが多く\n「面白い結果になる」運の持ち主。\n軍の中で一番、口笛が天才的。
MID_FRIENDLIST_Umber_TextS	【パートナーとしての毎日】\nあなたを見かけるたびに嬉しそうな\n笑顔を向け、おどけつつもしっかり\n支えてくれる頼もしい相棒となる。\nたまに二人でアルパカ語の会話をし\n仲間の皆を驚かせることも。\n約束の指輪は手作りの木箱に保管し\n自室に眠る、伝説の宝としている。
MID_FRIENDLIST_Jade_TextD	【初期兵種】アクスアーマー\n【誕生日】12の月7の日\n【備考】ブロディア王国の王城兵。\n国境警備の任にあたっていたところ\nイルシオンとの戦端が開かれ、\n戦場で主君ディアマンドおよび\n神竜に合流した。
MID_FRIENDLIST_Jade_TextC	【好きなもの】\n書き物、妄想、散歩、読書、動物、\n鉱石、愉快事、明るい人\n【苦手なもの】\n宴会、お洒落、笑顔を作ること、\n筆が進まない時間
MID_FRIENDLIST_Jade_TextB	【趣味】小説を書くこと\n【特技】鉱石の目利き、瞑想\n【来歴】ブロディア王国出身。\n鉱石が有名な、鉱山の町生まれ。\n5人きょうだいの真ん中で育ち、\n町にいた頃は鉱山の用心棒として\n「鉄壁のジェーデ」と呼ばれた。\n武術大会で優勝し、王族の臣下に。
MID_FRIENDLIST_Jade_TextA	【身長】170cm\n【薬指の指輪サイズ】12号\n【性格】冷静で、任務に忠実。\n戦場では冷酷非道と称されるが、\n存外陽気で、面白いことが好き。\n真面目さの欠片もない小説を執筆\nしており主君から絶賛されている。\n軍の中で一番、明晰夢を見る。
MID_FRIENDLIST_Jade_TextS	【パートナーとしての毎日】\n二人でいるときは、苦手だった\n笑顔を自然に見せるようになった。\nあなたには内緒にしているが、\n神竜と騎士の楽しく幸せな物語を\nこっそりと執筆し続けている。\n約束の指輪は鉱石でできた固い箱に\nしまい、傷つかぬよう守っている。
MID_FRIENDLIST_Staluke_TextD	【初期兵種】ロード\n【誕生日】10の月15の日\n【備考】ブロディア王国第二王子。\n臣下にラピス、シトリニカがいる。\nフィレネとブロディアの国境にて、\n神竜一行を賊と間違え誤射。\nすぐに土下座をして非を詫びた。
MID_FRIENDLIST_Staluke_TextC	【好きなもの】\n読書、散歩、魚、勉強、釣り、\n敵を除いた自分以外の人すべて\n【苦手なもの】\n宴会、お洒落、日焼け、\nお世辞、称賛、自分自身
MID_FRIENDLIST_Staluke_TextB	【趣味】薄暗い所に潜むこと\n【特技】人の美点を見つけること\n【来歴】第二王子として生まれ、\n出来の良い兄への称賛を聞きながら\n育った為、相対的に自分はダメだと\n自己評価の低い人格形成がされる。\n両親や民は彼の実力を認めているが\n本人はそれに気づいていない。
MID_FRIENDLIST_Staluke_TextA	【身長】172cm\n【薬指の指輪サイズ】16号\n【性格】後ろ向きで、自虐が日課。\n人は皆自分より立派に見えるという\n厄介な性分を持つが、社交性はあり\n相手を傷つけぬ優しさを持つ人物。\n王族としての肝は据わっている。\n軍の中で一番、髪がサラサラ。
MID_FRIENDLIST_Staluke_TextS	【パートナーとしての毎日】\nあなたを見ると照れたように笑い、\n控えめに手を振るようになった。\n二人でいる時には自己卑下もあまり\nせず、素直に好意を伝えてくれる。\n約束の指輪は、畏れ多くてなかなか\n指に嵌められないと言っているが、\n実はこっそり毎晩着けて寝ている。
MID_FRIENDLIST_Lapis_TextD	【初期兵種】ソードファイター\n【誕生日】5の月25の日\n【備考】ブロディア王国の王城兵。\n主君であるスタルーク、\n朋輩シトリニカと共に、\nフィレネ側の国境を警備していた。\nそこに現れた神竜一行を\n最初は敵と勘違いするも和解。
MID_FRIENDLIST_Lapis_TextC	【好きなもの】\n芋、工作、裁縫、鍛錬、動物、\n食べられる草、使えそうな木材\n【苦手なもの】\n高級品、お洒落、上品な場所、\n高貴な人たちの集団
MID_FRIENDLIST_Lapis_TextB	【趣味】狩り、植物の観察と栽培\n【特技】力仕事、ものづくり\n【来歴】ブロディア王国出身。\n痩せた土地にある、芋の村生まれ。\n貧しく食べ物にも困っていたため、\nお給金の良い王城兵を目指し特訓。\n狩りで鍛えた剛腕で、武術大会にて\n優勝をおさめ王族の臣下となった。
MID_FRIENDLIST_Lapis_TextA	【身長】160cm\n【薬指の指輪サイズ】7号\n【性格】お人好しで優しい性格。\n華奢な見た目に反して怪力。\n石や木の枝から何でも作れる上に、\n食べられる野草などに妙に詳しい。\n家族にはいつも仕送りをしている。\n軍の中で一番、じゃんけんに強い。
MID_FRIENDLIST_Lapis_TextS	【パートナーとしての毎日】\n二人でソラネルの片隅に植物を植え\nその成長を見守っている。\n時間があるときは一緒に工作を\n楽しんでいるが、休憩のたびに出る\n高級な菓子にはまだ慣れていない。\n約束の指輪は、とっておきの綺麗な\n石で作った小箱に保管している。
MID_FRIENDLIST_Citrinica_TextD	【初期兵種】マージ\n【誕生日】11の月9の日\n【備考】ブロディア王国の王城兵。\n主君であるスタルーク、\n朋輩ラピスと共に、\nフィレネ側の国境を警備していた。\nそこに現れた神竜一行を\n最初は敵と勘違いするも和解。
MID_FRIENDLIST_Citrinica_TextC	【好きなもの】\nお茶会、高級品、御伽噺、勉強、\n花、ゆったりとした時間、舞踏会、\n仲間たちの喜ぶ顔\n【苦手なもの】\n裁縫、工作、料理、\n成果の感じられない鍛錬
MID_FRIENDLIST_Citrinica_TextB	【趣味】友人への贈り物\n【特技】買収、交渉、努力の継続\n【来歴】ブロディア王国出身。\n王族の親戚である大公の娘で、\n兄が二人いる。ディアマンド、\nスタルークとは従兄妹同士の関係。\n親戚繋がりで臣下となったため\n実力不足を気にしている。
MID_FRIENDLIST_Citrinica_TextA	【身長】163cm\n【薬指の指輪サイズ】8号\n【性格】心優しく、友達思い。\n周囲に愛され不自由なく育ったため\n自分も周りを喜ばせたいと願い、\n持ち前の財力で人を甘やかす。\n気を抜くと目つきが少し悪くなる。\n軍の中で一番、土地を持っている。
MID_FRIENDLIST_Citrinica_TextS	【パートナーとしての毎日】\nあなたには高価な贈り物はせず、\n大切に思っているなどの言葉を\n頻繁に贈ってくれるようになった。\nいつか二人で舞踏会に出るのが夢。\n約束の指輪は豪奢な台座に飾って\n保管しているが、台座には指輪を\n貰った日に拾った石も載せている。
MID_FRIENDLIST_Ivy_TextD	【初期兵種】テイマー\n【誕生日】11の月17の日\n【備考】イルシオン王国第一王女。\n臣下にゼルコバ、カゲツがいる。\n父であるハイアシンス王の命により\n一時期は敵対するものの、\n影の原野で紋章士の指輪を携えて\n神竜軍と合流し、麾下に入る。
MID_FRIENDLIST_Ivy_TextC	【好きなもの】\n神竜、お茶会、読書、勉強、香草、\n静かな場所、心地よい風\n【苦手なもの】\n怪談、動物、虫、宴会、日焼け、\n強い香りのもの、お化け、\nうるさい場所、しつこい人
MID_FRIENDLIST_Ivy_TextB	【趣味】特になし\n【特技】本心を隠すこと\n【来歴】ハイアシンスの正妻の子。\n第一王女として、次期国王として\n大人たちの権力争いに巻き込まれ\n子供らしい感情を出せずに育つ。\n数年前まで学園に通っており、\n卒業後は城で王女の務めを果たす。
MID_FRIENDLIST_Ivy_TextA	【身長】172cm\n【薬指の指輪サイズ】8号\n【性格】真面目で物静かな女性。\n人を簡単に信用せず心を開かないが\n好きな相手には深い執着を示す。\n神竜には憧れに似た気持ちを抱く。\n実は気が小さく、怪談が苦手。\n軍の中で一番、美肌。
MID_FRIENDLIST_Ivy_TextS	【パートナーとしての毎日】\nあなたへの好意を素直に口にし、\n笑顔を見せることが多くなった。\n二人でいる時間を何よりも大切にし\n離れる時は名残惜しそうにする。\n約束の指輪は決して失くさぬよう、\n金の小箱に入れ自室から出さないが\nいつも眺めては幸せを感じている。
MID_FRIENDLIST_Zelkova_TextD	【初期兵種】シーフ\n【誕生日】8の月2の日\n【備考】イルシオン王国の王城兵。\n主君であるアイビー王女に付き従い\n朋輩カゲツと共に\n一時期は敵対するものの、\n影の原野で紋章士の指輪を携えて\n神竜軍と合流し、麾下に入る。
MID_FRIENDLIST_Zelkova_TextC	【好きなもの】\n工作、裁縫、読書、料理、\n細かい作業、墓地、忙しい時間、\n元気そうな子供\n【苦手なもの】\n強い香りのもの、宴会、御伽噺、\n退屈、情熱が冷める瞬間
MID_FRIENDLIST_Zelkova_TextB	【趣味】あらゆること\n【特技】意味深な発言、薬の調合\n【来歴】イルシオン王国出身。\n森の町の裕福な家に生まれた。\n両親と双子の弟は賊に殺され、\n復讐のため暗殺者に身を窶す。\n仇討ちを果たした後、腕を買われ\n王城兵へと取り立てられる。
MID_FRIENDLIST_Zelkova_TextA	【身長】185cm\n【薬指の指輪サイズ】15号\n【性格】凝り性で多趣味。\n何にでも含みを持たせて発言する。\n夢中になれるものを決め、情熱を\n傾けることに快感を覚える性質。\n子供好きだが子供からは嫌われる。\n軍の中で一番、睡眠をとらない。
MID_FRIENDLIST_Zelkova_TextS	【パートナーとしての毎日】\n多趣味ぶりは相変わらずだが、\n最大の情熱はあなたに注ぐと公言。\n二人の時はあまり意味深に話さず\n飾らない言葉を使うようになった。\n約束の指輪は鍵のかかった箱に\n入っており、その鍵もまた鍵付きの\n箱に入っているという徹底ぶり。
MID_FRIENDLIST_Kagetsu_TextD	【初期兵種】ソードマスター\n【誕生日】12の月22の日\n【備考】イルシオン王国の王城兵。\n主君であるアイビー王女に付き従い\n朋輩ゼルコバと共に\n一時期は敵対するものの、\n影の原野で紋章士の指輪を携えて\n神竜軍と合流し、麾下に入る。
MID_FRIENDLIST_Kagetsu_TextC	【好きなもの】\n武器、宴会、遊び、鍛錬、魚、\n携帯食、和食、おにぎり、\n自分の相手をしてくれる人\n【苦手なもの】\n掃除、読書、料理、乳製品、\n連日連夜の洋食、冷たい態度
MID_FRIENDLIST_Kagetsu_TextB	【趣味】手合わせ、でーと\n【特技】道場破り、友達作り、予知\n【来歴】ソルム王国出身。\n秘境である白の砂漠の生まれ。\n高位貴族の家督を継ぐ存在だったが\n外の世界を知らずにいることを憂い\n置手紙を残し、故郷から旅立つ。\n強者を求めイルシオンへと赴いた。
MID_FRIENDLIST_Kagetsu_TextA	【身長】178cm\n【薬指の指輪サイズ】17号\n【性格】明るく元気で人懐っこく、\n一度言葉を交わせば友人認定する。\n打算的な裏表のない素直な人物。\n母親が巫女であったため予知能力を\n有するが、予知できる事柄は微妙。\n軍の中で一番、おにぎりが好き。
MID_FRIENDLIST_Kagetsu_TextS	【パートナーとしての毎日】\n感情表現が輪をかけて素直になり\n会うたびに臆面無く好きだと言う。\n戦いの時だけは真剣な眼差しで\nあなたに気を配り見守っている。\n約束の指輪は貰ったのが嬉しくて\nどこにでも着けて出かけるため、\n失くしそうになったこと多数。
MID_FRIENDLIST_Hortensia_TextD	【初期兵種】テイマー\n【誕生日】6の月3の日\n【備考】イルシオン王国第二王女。\nアイビーとは腹違いの妹で、臣下に\nロサード、ゴルドマリーがいる。\n父であるハイアシンス王に付き従い\n神竜軍とは何度も敵対したが、\nソルム王城で説得に応じ仲間入り。
MID_FRIENDLIST_Hortensia_TextC	【好きなもの】\nお洒落、可愛いもの、高級品、花、\n家族、仲間のみんな、\n可愛いと言ってくれる人\n【苦手なもの】\n辛いもの、運動、虫、料理、\n日焼け、家族と離れること、\n自分よりも可愛い子
MID_FRIENDLIST_Hortensia_TextB	【趣味】買い物、美容法を試すこと\n【特技】魔術書の暗記、座学\n【来歴】ハイアシンス王の妾の子。\n幼少時は他にも兄姉がいたが、\n正妻の嫌がらせにより皆城を去り、\n結果的に第二王女の座に就いた。\n学園に通っている学生であったが\n父の意向により、王城に戻された。
MID_FRIENDLIST_Hortensia_TextA	【身長】149cm\n【薬指の指輪サイズ】6号\n【性格】自信家でちょっと我儘。\nいつも可愛さをひけらかしている。\n学園では飛び級をするほど優秀で\n役割を理解し聡く立ち回ることも。\n心根は優しくて愛情深い。\n軍の中で一番、ウインクが上手。
MID_FRIENDLIST_Hortensia_TextS	【パートナーとしての毎日】\n必ず毎日どこかの時間にやって来て\n一緒に過ごしたいとおねだりする。\n二人の時は年相応に甘えたり、逆に\n大人びた表情を見せたりと忙しい。\n約束の指輪は母から譲り受けた\n宝石の小箱に入れて大事にしており\n次に着ける時は薬指と決めている。
MID_FRIENDLIST_Rosado_TextD	【初期兵種】ドラゴンナイト\n【誕生日】1の月19の日\n【備考】イルシオン王国の王城兵。\n主君オルテンシア王女に付き従い\n朋輩ゴルドマリーと共に\n神竜軍と二度の交戦を行うが、\n紺碧海岸で『碧き風空の指輪』を\n携え神竜軍と合流し、麾下に入る。
