MID_WU_C_1_IN_#001	うふふ、よく眠っていらっしゃるわ。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	存分に楽しんでくださいね。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	ここで眠る方はやはり特別…そう思ってしまうわね。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	あら、聞いていらっしゃいました？\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	ご不快にさせたならすみません。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	ふふ、でも寝起きは普通の人と変わりませんわ。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	この前のお詫び…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	深海魚の酢漬けは召し上がっていただけなかったので、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	今回はとっておきの珍味を持ってきました。どうかしら…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	こちらは芋虫の蜂蜜漬けですわ。甘くてとっても美味し…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	あら！？　神竜様、お気を確かに。神竜様ー！？\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	ふう、今日は食べ物を買っていたから遅くなってしまったわ。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	匂いにつられて起きてくださったの？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	今日は珍しい黒焼きを持って来たんです。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	何を焼いたのかは…うふふ、秘密です。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	はあ、いい匂い…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	珍しいヘビの黒焼きが手に入るだなんて思わなかったわ。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	少しだけ味見を…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	いえ、神竜様の前でそんな…でも…！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	あ、神竜様、おはようございます！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	…ごくん。失礼。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	神竜様、おはようございます。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	いえ、別に。なにも食べていませんわ。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神竜様が御伽噺になるならきっと、\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	始まりはこのお部屋からね。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	そう…そして、神竜様が目覚めるところで挿絵が入るの。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	おはようと迎える登場人物が、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	わたしではないのが悔やまれます。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	この戦がいつの日か語り継がれる日が、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	きっと来るのでしょうね。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	ふふ…神竜様といると、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	本当に、素敵なことばかり起こります。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	今日は寝顔をずっと見ていたわけではありませんよ？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	見ていたのは、幸せな未来。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	現実にするため…今日も頑張りましょうね。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	起こしに来ましたよ、わたしのパートナーさん。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	嬉しいわ。すぐに起きてくれて。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	折角ですもの、少しはこうしてお話がしたいわ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	今日も二人で、素敵な一日にしましょうね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	よく眠っているわ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	御伽噺なら運命の相手のキスで目覚める場面かしら。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	ねえ…わたしはあなたの、運命になれているのかしら。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	たとえ完璧な相手ではなくても、わたしは…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	あなたのことを必ず守るわ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	わたしの好きなお話は皆、幸せなハッピーエンドだもの。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはよう。まだ眠いなら膝枕をしてあげましょうか。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	ほんのひと時でも、戦を離れて…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	安らいだ気持ちになることは、罪じゃないわ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	寝顔が愛おしいのは、最初からずっと変わらないですね。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	目覚めたときにわたしがいるのには慣れました？わたしは…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	あなたとの日々が日常になっても、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	ここに来ることはやっぱり特別だわ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	まさか、騎士になった後、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	もっと特別な人生が待っているとは思わなかったわ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	いつか本当にこの戦が語り継がれたら…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	どうかわたしは物語の中で永遠に、あなたの傍にいさせて。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	神竜様より先にいなくなってしまっても、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	絵本の中でなら、いつでも会いにいけるから。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	目が覚めました？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	このシーンは御伽噺に描いてほしくないわ…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	だって、あなたのこの表情は、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	わたしだけの特別にしたいんだもの。\x0E\x04\x00\x00
