MID_WU_C_1_IN_#001	朝じゃぞ、神竜殿ーっ！！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	神竜殿は余の家族の話を聞き、力になると言ってくれた。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	余はその気持ちに報いたいのじゃ…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	面と向かって言うと、照れくさいがの。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	ま、まさか今の、聞いておったのか？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	気恥ずかしいが、事実ゆえ致し方なし…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	余は神竜殿のために、頑張るのじゃ！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	ぱーとなーが起こしに来たのじゃー！\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	…ぱーとなー、良い響きじゃの。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おお、声が大きすぎたか、すまぬ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	つい嬉しくてな。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	…では今朝は趣向を変え、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	密やかに挨拶を致そう…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	おはよう。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	すっかり余の大声に慣れて、起きぬな！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	それすら余は嬉しいぞ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	なにせ余は、神竜殿の一番じゃ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	神竜殿も余の一番じゃ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	相思相愛とはこんなにも良いものか。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	そう…『約束の指輪』を見るたびに、余は幸せな心持となる。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	大好きじゃ、神竜殿…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おお、ぱーとなーのお目覚めじゃな。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	朝はむーどが大切じゃ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	…おはよう。今日も一日、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	余はそなたを想い、力を捧ぐと誓うぞ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	会いたくて早く来てしまったのじゃ…\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	入っても良いかのう？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	！　おお、すぐ起きてくれたのか。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	流石は余のぱーとなーじゃ！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	このままぎゅーっとして、離したくないが…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	今は我慢じゃな。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	よく眠っておる…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	できることなら大切なそなたを戦場に立たせたくはない。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	余が全ての痛みと苦しみを引き受けてやりたいが…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	優しいそなたは、それを快くは思わないじゃろう。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	…もどかしいのう。傷つき強くなる様を、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	隣で見守ることしかできぬとは。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはよう。今日も戦じゃが…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	何があっても大丈夫じゃ！\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	余には見えるのじゃ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	二人が永久に幸せに過ごす、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	他愛ない未来絵図が。\x0E\x04\x00\x00
