MID_WU_C_1_IN_#001	四翼マデリーン、神竜様を起こしに馳せ参じました。
MID_WU_A_1_SOON_#001	お目覚めの様子もいつも通りで、安心しました。
MID_WU_A_1_SOON_#002	神竜様が健やかであらせられるだけで、
MID_WU_A_1_SOON_#003	ワタシがここに来た甲斐があるというものです。
MID_WU_A_1_WAKEUP_#001	…と思ったら
MID_WU_A_1_WAKEUP_#002	また虫がいるではありませんか。
MID_WU_A_1_WAKEUP_#003	もう…！
MID_WU_A_1_WAKEUP_#004	羽をちょっとこうして…
MID_WU_A_1_WAKEUP_#005	持てた。
MID_WU_A_1_WAKEUP_#006	持てました神竜様。
MID_WU_A_1_WAKEUP_#007	これをこのまま…
MID_WU_A_1_WAKEUP_#008	それっ！
MID_WU_A_1_HELLO_#001	やりました、
MID_WU_A_1_HELLO_#002	すっかり虫に触れるようになりました！
MID_WU_A_1_HELLO_#003	…って、見事に神竜様を起こしてしまっている。
MID_WU_A_1_HELLO_#004	すみません、お邪魔しました！
MID_WU_A_2_IN_#001	こちらのソラネルの祭壇は、
MID_WU_A_2_IN_#002	随分と開放的なのですね…
MID_WU_A_2_SOON_#001	爽やかなお目覚めですね、神竜様。
MID_WU_A_2_SOON_#002	これ以上の滞在は邪魔になると判断しましたので、
MID_WU_A_2_SOON_#003	ワタシはこれにて。
MID_WU_A_2_WAKEUP_#001	ワタシのいた世界では、
MID_WU_A_2_WAKEUP_#002	ソラネルの祭壇や神竜様の私室は
MID_WU_A_2_WAKEUP_#003	とても堅牢な印象でした。
MID_WU_A_2_WAKEUP_#004	中に入ることも、滅多にありませんでしたね。
MID_WU_A_2_HELLO_#001	おはようございます。
MID_WU_A_2_HELLO_#002	神竜様の寝起きを拝見する機会を賜り、
MID_WU_A_2_HELLO_#003	光栄です。
MID_WU_A_2_HELLO_#004	今日はなんだか、良い事がありそうです。
MID_WU_S_1_IN_#001	貴重な二人きりの時間ですが、
MID_WU_S_1_IN_#002	騎士として浮かれるわけにはいきません。
MID_WU_S_1_SOON_#001	む…起こしに来て偉いねと？
MID_WU_S_1_SOON_#002	お言葉は嬉しいですが…
MID_WU_S_1_SOON_#003	ワタシはアナタのパートナーなのですよ。
MID_WU_S_1_SOON_#004	子ども扱いはしないでいただきたい…
MID_WU_S_1_WAKEUP_#001	よく眠っていますね。
MID_WU_S_1_WAKEUP_#002	アナタが指輪をくれた時、
MID_WU_S_1_WAKEUP_#003	モーヴを想うワタシごと大切だと言ってくれましたね。
MID_WU_S_1_WAKEUP_#004	あの言葉、
MID_WU_S_1_WAKEUP_#005	本当に嬉しかったです。
MID_WU_S_1_WAKEUP_#006	今は、ワタシも…
MID_WU_S_1_WAKEUP_#007	アナタが大切なのですよ。
MID_WU_S_1_WAKEUP_#008	いつか…
MID_WU_S_1_WAKEUP_#009	アナタのことが一番好きだと、
MID_WU_S_1_WAKEUP_#010	そう言っても…
MID_WU_S_1_WAKEUP_#011	許されるでしょうか。
MID_WU_S_1_HELLO_#001	い、今の聞いていましたか？
MID_WU_S_1_HELLO_#002	いえ別に…
MID_WU_S_1_HELLO_#003	何でもありません。
MID_WU_S_1_HELLO_#004	いつかワタシが大人になったら、
MID_WU_S_1_HELLO_#005	嫌というほど聞かせて差し上げます。
MID_WU_S_2_IN_#001	寝坊ギリギリにならぬよう、
MID_WU_S_2_IN_#002	起こしに来ましたよ。
MID_WU_S_2_IN_#003	ワタシのパートナー。
MID_WU_S_2_SOON_#001	ふふ。褒めてくれるのですね。
MID_WU_S_2_SOON_#002	称賛は必要ないのですが…
MID_WU_S_2_SOON_#003	本当は…
MID_WU_S_2_SOON_#004	アナタにだけは、
MID_WU_S_2_SOON_#005	褒められると
MID_WU_S_2_SOON_#006	幸せな気持ちになってしまうんです。
MID_WU_S_2_WAKEUP_#001	皆には内緒ですが…
MID_WU_S_2_WAKEUP_#002	会いたくて、ものすごく早く来てしまったのです。
MID_WU_S_2_WAKEUP_#003	このような邪な行い、
MID_WU_S_2_WAKEUP_#004	騎士失格でしょうか。
MID_WU_S_2_WAKEUP_#005	だとしたらワタシは、
MID_WU_S_2_WAKEUP_#006	それ以上に戦果を挙げて補うまで。
MID_WU_S_2_WAKEUP_#007	あ、あの…神竜様。
MID_WU_S_2_WAKEUP_#008	アナタが起きないせいにして、
MID_WU_S_2_WAKEUP_#009	もう少し、このままでいてもいいですか…？
MID_WU_S_2_HELLO_#001	おはようございます。
MID_WU_S_2_HELLO_#002	もう少し眠っていても良かったのに。
MID_WU_S_2_HELLO_#003	でも…
MID_WU_S_2_HELLO_#004	たまにはワタシから称賛しましょう。
MID_WU_S_2_HELLO_#005	ちゃんと起きられて、
MID_WU_S_2_HELLO_#006	偉いですね。
