MID_WU_C_1_IN_#001	朝よ！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	いくつかプランを考えてみたんだけど、\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	これなんかおトクで…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	ええー、ダメー？\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神竜様、めずらしい物を仕入れたの！\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	のむと声がかわっちゃう薬だって！　おきておきて！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	おはよう！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	神竜様飲んでみてよ。はいっ！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	…特に声はかわらないわね。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	わたしとしたことが、ニセモノにだまされちゃったのかなあ。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	おきないなら、自分でのんでみよっと…ごく。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	え！？　な、なにこれ。声どころか、わたし…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	大人の姿になっちゃったわ！　すごーい！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	ありゃ…元に戻っちゃった。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	さっきの姿、みてもらえなくてザンネン。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	また手に入ったらみせにくるわね！\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	えへへー、恋人の日のネックレス、じゅんちょーよ！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	おっ、発案者だもん、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	キョーミあるわよね。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	えっと、今は工芸品の作り方を思い出して、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	かいりょーにかいりょーを重ねてるところよ！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	おかげでいいものができそうだわ…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	わたしたちのおかげで、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	新しい恋人がたくさんうまれるかもしれないって、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	とってもステキじゃない？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	ネックレスのアイデア、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	ほんとにありがとー！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	え、商品の名前はかえないわよ。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	ぜったい、神竜ネックレスにするんだから！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	おはよー！\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	はやおきは３ゴールドの得よ！　おきておきてっ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	さすがアンナさんのパートナーね。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	３ゴールドの価値をよくわかってらっしゃる！　えへへ…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	きょうもいちにち、よろしくね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	起きないか、でもいいわ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	アンナさんはこの時間がすきだし。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	それから、この前くれた指輪もすき…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	いちばん仲良しの証だもんね。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	あとねあとね、ナイショだけど…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	わたしはあなたの、このあかい髪の毛もすき。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	だって、わたしとおそろいなんだもん。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	あ、おはよう。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	さあ今日もじゃんじゃん商品を売るわよ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	二人いっしょなら、しょーばいはんじょう、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	まちがいなし。でしょ？\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	恋人の日もおわったし…\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	早くおきて、次の商品をかんがえましょ、パートナーさん。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	お、やる気まんまんね。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	あなたといたらまた、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	ステキなものができそう。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	そうやってお金と、おもいでをたくさん増やしていこーね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	ああ、あの日は本当に楽しかったな。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	ネックレスが飛ぶように売れて…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	恋人さんたち、みんな手をつないで幸せそうだった。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	…わたしも、いつか大人になったら\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	あんなふうにお買い物するのかな？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	その時は…となりにあなたがいてほしいな。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはよう。え…大人のわたしを夢に見たって？　そっか…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	じゃあわたし、その夢を超えるぐらい、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	素敵なアンナさんになってみせるわね。\x0E\x04\x00\x00
