MID_WU_C_1_IN_#001	ボンジョールノ！　神竜様、朝だよ！\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	眠ってるなら好都合かな。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	この前、俺が頑張ってるとこ見せたくないって話…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	聞いてくれてありがとう。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	おかげで、俺は…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	おはよ。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	ううん、何でもないんだ。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	俺は大好きな神竜様のために、\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	もっと頑張ろうって思った。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#005	それを伝えたかっただけだよ。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	ここに来るの、だんだん好きになってきちゃったよ。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	おはよー、神竜様！\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	すぐに目覚めてくれるなんて、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	さては神竜様も、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	俺に起こされるのが好きになってきたね？\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	ふふふ…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	この一声では起きない手強さがいいよね。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	じゃ、このお香が消えるまでに起きたら俺の勝ちってことで…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	いざ、勝負！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	ありゃりゃ、思ったよりすぐ起きちゃった。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	じゃあ俺の勝ちだね。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	ご褒美に、今度ちょっとだけ二人で話させてよ。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	ソルム王国第一王子フォガート、\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	これより神竜様を起こさせていただきます！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	お、あっさり起きた。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	まだ時間があるから、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	神竜様の好きな食べ物の話でも聞こうかな？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	ねえねえ、神竜様。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	俺が大活躍したら一緒に食事に行くって話、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	覚えてくれてる？\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	俺、本当にずーっと楽しみにしてるからね。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	起きた起きた。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	じゃ、俺はこれで。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	たくさん鍛錬して、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	早く戦場で大活躍できるようにならないと…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#005	ね、神竜様！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神竜様ー！　こうして起こしに来られて嬉しいなー！\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	あ、ごめん。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	声が大きかったね。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	驚かせるつもりはなかったんだ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	…今から静かにするから許してよ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	ね、おはよう。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	俺、パートナーになれてからずっと幸せだよ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	ありがとう。あ、でも…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	なかなか二人きりになれないのだけは不満かな。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	まあ、神竜様は軍の将だから仕方ないんだけど…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	たまには、こんな風に二人だけで、ゆっくり過ごしたいな。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	ああ、俺って欲張りだなあ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	指輪を貰えただけで嬉しいのに…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	今度は、たくさんの君の時間を、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	欲しいと思っちゃうんだ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	パートナーを起こしに来る時ほど幸せなことはないよね。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	おはよ。すぐ起きたってことは、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	俺を待ってくれてた？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	…ありがとう。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	そういうところも、他の全部も、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	だーい好きだよ…！\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	神竜様…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	また思い出の店で食事をしようね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	俺はみんなのことが好きだし、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	誰にでも好きって言っちゃうけど、あの時…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	本気で誘ったのは君が初めてだった。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	…これまでも、これからもずっと、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	一番愛してるのは、君だけ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	大好きだよ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	今の聞いてた？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	いつ死ぬかわからないから、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	気持ちはすぐに伝えないとね。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	…これからも毎日、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	君に好きだよって言わせて。\x0E\x04\x00\x00
