MID_FORTUNE_TROUBLE_Lueur	かみのけの蒼いほうだけ、\n寝グセがつきやすい。
MID_FORTUNE_GOOD_02	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『名誉』のカードだ。正しいことをするのが吉。\n気にしている人がとても評価してくれそうだよ。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_02_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『名誉』のカードか。正しい道を貫き評価される兆し…\n気にしている人の前で、床掃除でもしてこようかな。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_03	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『豊穣』のカードだ。思いがけない良いことがありそう。\n気にしている人が、美味しいものご馳走してくれるかも。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_03_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『豊穣』のカードか。環境に恵まれて実りを得る兆し…\n気にしている人と一緒に果物狩りでも行こうかな。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_04	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『予知』のカードだ。不測の事態に備えられそう。\n気にしている人が助言をしてくれるかもしれないよ。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_04_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『予知』のカードか。突然のことにも対処できる兆し…\n気にしている人が急に転ばないか見守ってあげようかな。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_05	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『友好』のカードだ。誰とでも仲良くできるよ。\n気にしている人が鼻歌に合いの手をいれてくるかも。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_05_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『友好』のカードか。争わず友好的な関係を築ける兆し…\n気にしている人のおやつを狙っても許される予感がする。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_06	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『不屈』のカードだ。悩みがあっても諦めずいると吉。\n気にしている人にも似た悩みがあるから、相談したら？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_06_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『不屈』のカードか。困難に屈さなければ幸が来る兆し…\n気にしている人と、滝にでも打たれに行って来ようかな。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_07	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『希望』のカードだ。嫌なことがあっても今日は大丈夫。\n気にしている人が半身として励ましてくれるかも。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_07_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『希望』のカードか。運命の流れを好転させる兆し…\n気にしている人に変な服を勧めて気分を変えさせようか。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_08	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『出会』のカードだ。かけがえない人や物と出会いそう。\n気にしている人に、思い切って声をかけてみたら？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_08_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『出会』のカードか。裏切らない仲間や物を得る兆し…\n気にしている人と一緒に、物欲しそうな顔して佇むかな。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_09	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『壮健』のカードだ。まさかと思うほど健康になれそう。\n気にしている人と一緒に走ってきてみたら？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_09_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『壮健』のカードだ。心身が健康になるという兆し…\n気にしている人の健康法でも聞きに行ってみようかな。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_10	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『研鑽』のカードだ。勉学・鍛錬に励むとすごくいいよ。\n気にしている人を誘って本を読んだり、手合わせしたら？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_10_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『研鑽』のカードか。己を磨けば魅力を得られる兆し…\n気にしている人を観察して、いい所を真似しようっと。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_11	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『決断』のカードだ。悩まずスパッと答えが出せそう。\n気にしている人の夜ご飯のメニュー、決めてあげたら？\x0E\x04\x00\x00
MID_FORTUNE_GOOD_11_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『決断』のカードか。強い心で正しい答えが出せる兆し…\n気にしている人といたら、食の誘惑に負けない気がする。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_12	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『優愛』のカードだ。愛情をあげると運気が上がるよ。\nまずは気にしている人をベタベタに甘やかしにいこうか。\x0E\x04\x00\x00
MID_FORTUNE_GOOD_12_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『優愛』のカードか。無償の愛を与えれば幸ありの兆し…\n気にしている人に優しくしようかな。引かれない程度に。\x0E\x04\x00\x00
MID_FORTUNE_BAD_01	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『孤立』のカードだ…今日は一人でいないほうがいいよ。\n気にしている人と一緒にプールに飛び込むと吉。\x0E\x04\x00\x00
MID_FORTUNE_BAD_01_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『孤立』のカードか…一人で静かに過ごすと良くないね。\n気にしている人と、歌いながらソラネルを練り歩こっと。\x0E\x04\x00\x00
MID_FORTUNE_BAD_02	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『悪評』のカードだ…ミョーな噂をされちゃってるかも。\n気にしている人に優しくして、みんなに見せつけると吉。\x0E\x04\x00\x00
MID_FORTUNE_BAD_02_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『悪評』のカードか…この前の盗み食いがバレそうだな。\n気にしている人に最近食が細いってアピールしてこよう。\x0E\x04\x00\x00
MID_FORTUNE_BAD_03	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『凶作』のカードだ…今日は何か植えたら即枯れるよ。\n気にしている人と一緒に土でも耕して待ってると吉。\x0E\x04\x00\x00
MID_FORTUNE_BAD_03_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『凶作』のカードか…今日は植物と触れ合ったら負けだ。\n食事の野菜は全部、気にしている人の皿に移そうっと。\x0E\x04\x00\x00
MID_FORTUNE_BAD_04	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Shy\n\x0E\x03\x02\x0A\x08セアダス\n『暗雲』のカードだ…突然頭上から水とか槍が降るかも。\n気にしている人と相合傘してれば防げそう。\x0E\x04\x00\x00
MID_FORTUNE_BAD_04_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『暗雲』のカードか…これを引くとよく水に落ちるんだ。\n気にしている人に、すぐ水着を持ってきてもらおう。\x0E\x04\x00\x00
MID_FORTUNE_BAD_05	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nAngry\n\x0E\x03\x02\x0A\x08セアダス\n『争乱』のカードだ…誰かと、すっごいケンカしそう。\n気にしている人だけでも味方にしておこう。さあ、早く！\x0E\x04\x00\x00
MID_FORTUNE_BAD_05_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『争乱』のカードか…気にしている人とケンカになったら\nとっておきの蜂蜜を差し出して、その隙に逃げようっと。\x0E\x04\x00\x00
MID_FORTUNE_BAD_06	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『挫折』のカードだ…全部パーッと諦めたくなりそう。\n気にしている人と二人三脚でソラネル一周できたら吉。\x0E\x04\x00\x00
MID_FORTUNE_BAD_06_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『挫折』のカードか…我慢できずに暴食する予感がする。\n気にしている人に罵倒してもらって気を引き締めよっと。\x0E\x04\x00\x00
MID_FORTUNE_BAD_07	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『絶望』のカードだ…思い悩んでるから、気晴らしして。\n気にしている人と一緒に、壁に穴でも開けてきたら？\x0E\x04\x00\x00
MID_FORTUNE_BAD_07_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『絶望』のカードか…今日は暗い気分になったらダメだ。\n気にしている人と蝋燭に火を灯しまくって過ごそうかな。\x0E\x04\x00\x00
MID_FORTUNE_BAD_08	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x1C\x08セアダス\x10Surprise\n\x0E\x03\x02\x0A\x08セアダス\n『裏切』のカードだ…え？　裏切られる覚えがない？\n気にしている人が、取っといたお菓子食べてるかもよ。\x0E\x04\x00\x00
MID_FORTUNE_BAD_08_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『裏切』のカードか…さては誰か俺のおやつを食べたな。\n気にしている人が怪しいと思うんだ、早速確かめよう。\x0E\x04\x00\x00
MID_FORTUNE_BAD_09	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『怪我』のカードだ…歩き出した瞬間、転ぶんじゃない？\n気にしている人に手当てしてもらえば、早く治るかもね。\x0E\x04\x00\x00
MID_FORTUNE_BAD_09_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『怪我』のカードか…こんなの出たら外出できないよ。\n気にしている人を誘って今日はここに引きこもろうかな。\x0E\x04\x00\x00
MID_FORTUNE_BAD_10	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『怠惰』のカードだ…占いの結果聞くのも面倒でしょ。\n気にしている人に背中でも叩いて貰えばシャンとするよ。\x0E\x04\x00\x00
MID_FORTUNE_BAD_10_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『怠惰』のカードか…なんでも面倒がらずにやるべし。\n気にしている人とソラネル一周ごみ拾いの旅でもするか。\x0E\x04\x00\x00
MID_FORTUNE_BAD_11	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『迷走』のカードだ…しょうもないことに時間を使うより\n気にしている人と草むしりでもしてた方がいいよ。\x0E\x04\x00\x00
MID_FORTUNE_BAD_11_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『迷走』のカードか…俺の占いが迷走してきてるって！？\n気にしている人と新しいカードを買い足しに行こうかな。\x0E\x04\x00\x00
MID_FORTUNE_BAD_12	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『非情』のカードだ…最近、冷たいって言われない？\n気にしている人が気持ち悪がるぐらい、優しくしたら吉。\x0E\x04\x00\x00
MID_FORTUNE_BAD_12_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『非情』のカードか…俺は冷たい人と思われてるのかな。\n今日は気にしている人の前で、ずっと笑顔でいてみよう。\x0E\x04\x00\x00
