MID_WU_C_1_IN_#001	ここで食事をすれば美味そうだな…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	そう何度も料理をこぼす真似はなさるまい…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	では、どこから…？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	神竜様、この香りは一体…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	え？　夜食をその辺に隠していた？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	あの…風味が悪くなるので、\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	常温での放置は控えられた方が…\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	料理の構想に行き詰まってしまった…\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	ん？　ここは、神竜様のお部屋…？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	すみません。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	考え事をしながら歩いていたら、此方に。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	起こしてしまったお詫びに、後日、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	甘美な焼き菓子をお持ちいたしましょう…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	いつ見てもお美しいな…特に、この髪…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	そうだ、同じ食材で片側ずつ調理を変え、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	味に変化をつけるのはどうだろうか…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	そして、ありがとう…神竜様。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	お陰で活路が見出せました。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	あなた様の美しさは、\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#005	美味をも生み出してしまう…\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	ふむ…この部屋をケーキに見立てたら\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	美しいかもしれない…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	またあなたのために料理を作りたいと思いまして…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	千年を過ごされた場所をモチーフにしたものなど、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	考えるだけで昂ります…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	神竜様のために料理を作るなら、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	味だけでなく次は見た目にも拘りたい…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	いっそ、ソラネル丸ごと砂糖細工で再現してみるか…？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	お目覚めですか、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	ああ、今日もトマトとブルーベリー色の瞳が美しい…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	また創作意欲が湧いてしまいます…\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	朝食が準備できました。\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	そろそろお目覚めいただけますでしょうか、我がパートナー。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	ふっ…神竜様。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	朝食と聞いてすぐに起きたのですか？それとも…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	私に会いたくて起きてくれたと、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	そう自惚れてもいいのですか…？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	まあ、すぐには起きぬと踏んで、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	冷めても美味な料理にしておきましたが。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	私たちも、時が経てど甘美な関係であればいい…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	私は美味を等しく多くの人に味わって欲しいという信条だが…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	あなたとの、この時間の味だけは…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	ずっと二人きりの秘密とさせてほしい…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	さあ、沢山食べて戦に勝ちましょう。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	私も頑張らねば…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	明日もその次も、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	あなたが美味しいと言って笑う顔を、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	隣で見たいので…\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	今日は料理ではなく、\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	神竜様に似合いそうな花々を用意してきました。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	実は私は、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	花やハーブを育てるのが趣味なのです…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	よろしければ次は、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	あなたのことをもっと教えてください…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	より深く、甘いところまで…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	パートナーとなった時、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	あなたは自分のことも知ってほしいと仰っていた…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	私も、もっと自身のことをあなたに知ってほしいと思う。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	この花は趣味で育てているもので…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	お気に入りの品種です。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	この未熟さの残る赤い花弁に、青い蕾…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	甘い香りが、まるであなたのようだ…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	神竜様は花より料理が良かったですか…？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	では、すぐに私が、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	あなたのその空腹を満たして差し上げましょう…\x0E\x04\x00\x00
