MID_FOOD_RESULT	\x0E\x01\x00\x00\x0E\x01\x01\x00
MID_FOOD_H_ThickGrilledCrepePizza	厚焼きのクレープ生地で作る\nもっちりとしたピザ
MID_FOOD_ThickSlicedPotatoFries	厚切りのポテトフライ
MID_FOOD_H_ThickSlicedPotatoFries	厚めに切った芋を高温の油で揚げて\nたっぷりと塩を絡めたもの
MID_FOOD_LambAndCabbageStew	羊肉とキャベツのシチュー
MID_FOOD_H_LambAndCabbageStew	羊肉とキャベツを一緒に\nキャベツがトロトロになるまで煮込んだもの
MID_FOOD_RoastWithSkinOfPorkBelly	豚バラ肉の皮付きロースト
MID_FOOD_H_RoastWithSkinOfPorkBelly	豚バラ肉を皮付きのまま\nあぶったり蒸し焼きにしたりしたもの
MID_FOOD_SteamedThighMeatOfSaltedSheep	塩漬けの羊の腿肉蒸し
MID_FOOD_H_SteamedThighMeatOfSaltedSheep	塩を擦り込み乾燥させた羊の腿肉を\n蒸しあげたもの
MID_FOOD_FruitPie	フルーツパイ
MID_FOOD_H_FruitPie	乾燥させた果物を\nパイに包んで焼き上げたもの
MID_FOOD_BoiledBeefInWine	牛肉のブドウソース煮
MID_FOOD_H_BoiledBeefInWine	一口サイズにカットした牛肉を\nタマネギと一緒にソテーした後\nブドウソースで煮込み、バターを入れたもの
MID_FOOD_BraisedCod	タラの煮込み
MID_FOOD_H_BraisedCod	干したタラを水に浸したあと\nアクを加えて戻し、煮込んだもの
MID_FOOD_FishCreamSoup	魚のクリームスープ
MID_FOOD_H_FishCreamSoup	生クリームをたっぷり使った魚のスープ
MID_FOOD_MeatDumplingWithCreamSauce	肉団子のクリームソースがけ
MID_FOOD_H_MeatDumplingWithCreamSauce	肉団子に濃厚なクリームソースをかけたもの\nソースに入っているジャムの甘味が肉に合う
MID_FOOD_MarinatedSalmon	サケのマリネ
MID_FOOD_H_MarinatedSalmon	サケを塩、砂糖、ハーブに漬け込んだもの\n独特の臭みがある
MID_FOOD_CrispBread	クリスプ・ブレッド
MID_FOOD_H_CrispBread	小麦粉、塩、水のみで作られた\nクラッカーのような極めて薄いパン
MID_FOOD_PorridgeOfSourCream	サワークリーム粥
MID_FOOD_H_PorridgeOfSourCream	サワークリームと\n小麦粉、ミルクを煮込んだもの\n砂糖と溶かしバターをのせて食べる
MID_FOOD_CrepePancake	クレープパンケーキ
MID_FOOD_H_CrepePancake	クレープのように薄く焼いたパンケーキに\nジャムを塗って巻いたもの
MID_FOOD_JamCake	ジャムケーキ
MID_FOOD_H_JamCake	ジャムを塗ったスポンジケーキ
MID_FOOD_TreeCake	ツリーケーキ
MID_FOOD_H_TreeCake	メレンゲなどを混ぜた生地をリング状の型で\n大小さまざまなサイズに焼き上げ\n円錐形に積み上げたもの
MID_FOOD_FishDumpling	魚肉団子
MID_FOOD_H_FishDumpling	白身魚をベースとした生地を\nバターで焼いて煮込んだもの
MID_FOOD_GoatCheese	山羊のチーズ
MID_FOOD_H_GoatCheese	山羊の乳100％の茶色いチーズ
MID_FOOD_Oatmeal	オートミール
MID_FOOD_H_Oatmeal	麦にミルクを入れ、温めたもの
MID_FOOD_BakedPotatoes	ベイクドポテト
MID_FOOD_H_BakedPotatoes	丸ごと焼いた芋を切り開いて\nチーズや豆などをトッピングしたもの
MID_FOOD_NutsCompote	木の実のコンポート
MID_FOOD_H_NutsCompote	いろいろな木の実を砂糖水で煮詰めたもの
MID_FOOD_BoiledEggGroundMeatRolls	ゆで卵のひき肉包み
MID_FOOD_H_BoiledEggGroundMeatRolls	茹でた卵を牛ひき肉で包み\nパン粉を付けて揚げたもの
MID_FOOD_CurryOfChickenAndTomato	鶏肉とトマトのカレー
MID_FOOD_H_CurryOfChickenAndTomato	焼いた鶏肉をトマトとクリームがベースの\nカレーソースで煮込んだもの
MID_FOOD_StewedSheep	羊の袋詰め煮込み
MID_FOOD_H_StewedSheep	羊の内臓とタマネギやハーブなどを\n羊の胃袋に詰め、それを煮たもの
MID_FOOD_CrumbleCake	クランブルケーキ
MID_FOOD_H_CrumbleCake	小麦粉、バター、砂糖でできた生地を\n煮た果物に上から被せて焼いたもの
MID_FOOD_MarinatedOnionAndHerring	ニシンとタマネギのマリネ
MID_FOOD_H_MarinatedOnionAndHerring	ニシンをタマネギと共に\n酢と砂糖に漬け浸したもの
MID_FOOD_BakedPie	包み焼きパイ
MID_FOOD_H_BakedPie	ひき肉、タマネギ、芋などを\nパイに包んで焼き上げたもの
MID_FOOD_NutsMilkPie	木の実のミルクパイ
MID_FOOD_H_NutsMilkPie	薄く揚げた生地に揚げた木の実と\nそのままの木の実を砕いて作った\nシロップソースを挟んで層状にしたもの
MID_FOOD_NutsRicePudding	木の実のライスプディング
MID_FOOD_H_NutsRicePudding	木の実を砕いて作ったシロップとミルクで\n米を煮込んだもの
MID_FOOD_DomeBread	ドームパン
MID_FOOD_H_DomeBread	乾燥させて刻んだ果物を\n生地の中に複数混ぜ込んで焼き上げた\nドーム型の菓子パン
MID_FOOD_ColdVegetableSoup	野菜の冷製スープ
MID_FOOD_H_ColdVegetableSoup	いろいろな野菜と水、リンゴなどを\nまとめて細かくして混ぜたもの
MID_FOOD_RawHam	生ハム
MID_FOOD_H_RawHam	高級な豚肉を使った生ハム
MID_FOOD_SkeweredMeat	肉の串焼き
MID_FOOD_H_SkeweredMeat	スパイスや油に漬け込んだいろいろな肉を\n串焼きにしたもの
MID_FOOD_Paella	パエリア
MID_FOOD_H_Paella	野菜と魚介類などから出たスープと共に\n米を炊き込んだもの
MID_FOOD_StewedBaconAndBeans	肉団子と豆の煮込み
MID_FOOD_H_StewedBaconAndBeans	肉団子と豆を\nタマネギなどと共に煮込んだもの
MID_FOOD_Tiramisu	ティラミス
MID_FOOD_H_Tiramisu	エスプレッソを染み込ませたビスケットを\n敷き詰め、特製クリームを流し込むのを\n何層か繰り返して冷やし固めたもの
MID_FOOD_BerrySaucePannaCotta	ベリーソースパンナコッタ
MID_FOOD_H_BerrySaucePannaCotta	柔らかくしたゼラチンと砂糖やバニラなどを\n加えた温かいクリームを型に流し込んで固め\nベリーソースをかけたもの
MID_FOOD_SeafoodAjillo	魚介のアヒージョ
MID_FOOD_H_SeafoodAjillo	いろいろな海の幸を\nオリーブオイルとニンニクで煮込んだもの
MID_FOOD_FriedSardines	イワシのから揚げ
MID_FOOD_H_FriedSardines	小さいイワシを\nオリーブオイルで丸ごと揚げたもの
MID_FOOD_FriedVegetables	野菜炒め
MID_FOOD_H_FriedVegetables	ニンニクと共に野菜を炒めたもの
MID_FOOD_BoiledTomatoesInVinegar	トマトの甘酢煮
MID_FOOD_H_BoiledTomatoesInVinegar	トマトをタマネギやスパイスなどと共に\n甘酢で煮込んだもの
MID_FOOD_CremeBrulee	クレームブリュレ
MID_FOOD_H_CremeBrulee	冷やしたカスタードの上に砂糖をまぶし\n火で炙って、カラメルの層を作ったもの
MID_FOOD_Churro	チュロス
MID_FOOD_H_Churro	生地を星型の搾り器から搾り出して油で揚げ\n砂糖や蜂蜜などをまとわせたもの
MID_FOOD_SoftCandy	ソフトキャンディ
MID_FOOD_H_SoftCandy	木の実などと砂糖やメレンゲを混ぜ合わせ\n型に入れて冷やし固めたもの
MID_FOOD_AuthenticPizza	本場のピッツァ
MID_FOOD_H_AuthenticPizza	平たく伸ばした生地にトマトソースと\nチーズとバジルの葉をのせたもの
MID_FOOD_Risotto	リゾット
MID_FOOD_H_Risotto	バターで炒めた米にスープと\nスパイスを加えて炊いたもの
MID_FOOD_RiceCroquette	ライスコロッケ
MID_FOOD_H_RiceCroquette	湯炊きした米に溶き卵と\nチーズ、塩、コショウを混ぜ\nパン粉をまぶして揚げたもの
MID_FOOD_RosettaBread	ロゼッタパン
MID_FOOD_H_RosettaBread	バラのような形をしたパン\n中が空洞で外皮がカリカリして香ばしい
MID_FOOD_AcquaPazza	アクアパッツァ
MID_FOOD_H_AcquaPazza	魚介類をトマトやオリーブオイルなどと\n共に煮込んだもの
MID_FOOD_VealRoll	仔牛肉巻き
MID_FOOD_H_VealRoll	薄く切った生の牛ヒレ肉で\nチーズやソースなどを巻いて焼いたもの
MID_FOOD_SaltedPorkNeck	豚トロの塩漬け
MID_FOOD_H_SaltedPorkNeck	塩漬けにした豚トロをハーブと共に焼き\n薄く切って盛り付けたもの
MID_FOOD_BloodBoiledSausage	血のボイルソーセージ
MID_FOOD_H_BloodBoiledSausage	血液を加えて作ったソーセージを茹でたもの
MID_FOOD_PotatoMeatBun	ポテト肉まん
MID_FOOD_H_PotatoMeatBun	豚肉とタマネギを\n芋で作った生地で包んだもの
MID_FOOD_Cocotte	ココット
MID_FOOD_H_Cocotte	芋や魚とクリームをココット皿に入れて\nオーブンで焼いたもの
MID_FOOD_GreenPeasMash	グリーンピースマッシュ
MID_FOOD_H_GreenPeasMash	グリーンピースに\nミルクやバターなどを加えて潰したもの
MID_FOOD_SandwichCake	サンドイッチケーキ
MID_FOOD_H_SandwichCake	魚の切り身を丸めて花に見立て\nケーキのようにデコレーションされた\nサンドイッチ
MID_FOOD_RoastedSalmon	ローストサーモン
MID_FOOD_H_RoastedSalmon	サケに下味をつけて、オーブンで焼いたもの
MID_FOOD_StewedMashedPotatoesAndKale	マッシュポテトとハーブの煮込み
MID_FOOD_H_StewedMashedPotatoesAndKale	潰した芋に\nハーブとミルクを加えて煮込んだもの
MID_FOOD_SalmonAndPotatoGratin	サケと芋のグラタン
MID_FOOD_H_SalmonAndPotatoGratin	塩漬けのサケと芋を重ね\n混ぜた卵とミルクをかけて\nオーブンで焼いたもの
MID_FOOD_ShamrockSalad	シャムロックサラダ
MID_FOOD_H_ShamrockSalad	盛りつけたシャムロックに\nオリーブオイルや酢をかけたもの
MID_FOOD_BaconAndFishWrappedBread	ベーコンと魚の包みパン
MID_FOOD_H_BaconAndFishWrappedBread	ベーコンと魚の塩漬けを幾層にも重ね\nライ麦粉で練り上げた生地で包み\nオーブンで焼き上げたもの
MID_FOOD_JamCookies	ジャムクッキー
MID_FOOD_H_JamCookies	クッキーの中央にくぼみを作り\nジャムを入れてオーブンで焼いたもの
MID_FOOD_CinnamonRoll	シナモンロール
MID_FOOD_H_CinnamonRoll	伸ばした生地にバターを塗り\nシナモンと砂糖を振りかけて巻きこみ\nオーブンで焼き上げたもの
MID_FOOD_CabbageAndNutSalad	キャベツと木の実のサラダ
MID_FOOD_H_CabbageAndNutSalad	キャベツと木の実に\nドレッシングをあらかじめ加えたもの
MID_FOOD_OpenSandwich	オープンサンド
MID_FOOD_H_OpenSandwich	薄く切ったライ麦パンにバターを塗り\nチーズやスモークサーモンなどを\nパンが見えないほど盛りつけたもの
MID_FOOD_AppleCharlotte	リンゴのシャルロット
MID_FOOD_H_AppleCharlotte	ビスケットで作った器にクリームを入れ\n煮込んだリンゴのスライスを冷やして\nクリームの上に綺麗に並べたもの
MID_FOOD_MochiPancake	もっちりパンケーキ
MID_FOOD_H_MochiPancake	卵、小麦粉、ミルクなどの生地を\n天板に流し込んでじっくり焼き上げたもの
MID_FOOD_SauteedBaconAndApples	ベーコンとリンゴのソテー
MID_FOOD_H_SauteedBaconAndApples	細かく切った豚バラ肉を焼いて\nフライパンに少量の油をひき\n高温で焼いたリンゴと合わせたもの
MID_FOOD_BerryJelly	ベリーのゼリー
MID_FOOD_H_BerryJelly	ベリージュースに\n片栗粉でとろみをつけて冷まし\n生クリームをトッピングしたもの
MID_FOOD_BakingSodaBread	重曹パン
MID_FOOD_H_BakingSodaBread	イースト菌の代わりに\n重曹を用いて作ったパン
MID_FOOD_SashimiPlatter	刺身の盛り合わせ
MID_FOOD_H_SashimiPlatter	生魚を短冊状に切って盛り付けたもの
MID_FOOD_MisoSoup	味噌汁
MID_FOOD_H_MisoSoup	大豆や麦などに塩と麹を加えて\n発酵させたものをお湯で溶かし\n豆腐や海藻などを入れたもの
MID_FOOD_Uiro	ういろう
MID_FOOD_H_Uiro	小麦粉や薄力粉などに砂糖を加えて\nそれを蒸して固めたもの
MID_FOOD_Anmitsu	あんみつ
MID_FOOD_H_Anmitsu	小豆や四角く切った寒天\nモモやオレンジなどを盛りつけ\n黒蜜をかけたもの
MID_FOOD_EggOverRice	卵かけご飯
MID_FOOD_H_EggOverRice	炊いた米に生卵と醤油をかけたもの
MID_FOOD_CountrysideBread	田舎パン
MID_FOOD_H_CountrysideBread	ライ麦粉と塩、水のみを使って作る\n大きい楕円形のパン
MID_FOOD_Croissant	クロワッサン
MID_FOOD_H_Croissant	バターを生地に挟んで折りたたむことを\n繰り返した生地を巻いて、三日月形に成形し\n焼き上げた特徴的な形のパン
MID_FOOD_StewedLambMeat	羊肉の煮込み
MID_FOOD_H_StewedLambMeat	羊肉を炒め、芋やタマネギと煮込んだもの
MID_FOOD_StewedVegetables	野菜たっぷり煮込み
MID_FOOD_H_StewedVegetables	いろいろな野菜を\nたっぷり入れて煮込んだスープ
MID_FOOD_CodDip	タラのディップ
MID_FOOD_H_CodDip	タラに、ミルクと一緒に煮た芋を加え\nペースト状にすり潰したもの\n薄味のクラッカーなどにつけて食べる
MID_FOOD_HotCrepe	ホットクレープ
MID_FOOD_H_HotCrepe	果物のジュースを使って\nクレープを香りづけしたもの
MID_FOOD_BerryAndCustardTartCake	ベリーとカスタードのタルトケーキ
MID_FOOD_H_BerryAndCustardTartCake	タルト生地にカスタードと\nダークベリーのジャムをはさんで焼いたもの
MID_FOOD_PeachSorbet	モモのシャーベット
MID_FOOD_H_PeachSorbet	すり潰したモモの果汁を凍結させたもの
MID_FOOD_AppleBeignet	リンゴのベニエ
MID_FOOD_H_AppleBeignet	リンゴをシュー生地に入れて油で揚げ\n砂糖をまぶしたもの
MID_FOOD_OrangeChocolate	オレンジチョコ
MID_FOOD_H_OrangeChocolate	砂糖に漬けて煮込んだオレンジを\nオーブンで焼き、冷ました後\nチョコレートでコーティングしたもの
MID_FOOD_FruitCandy	フルーツ飴
MID_FOOD_H_FruitCandy	シロップや飴などで\n果物を丸ごとコーティングし\n手で持つための棒を取り付けたもの
MID_FOOD_Smoothie	スムージー
MID_FOOD_H_Smoothie	いろいろな果物を\nまとめてすり潰した飲み物
MID_FOOD_AppleCanpot	リンゴのカンポット
MID_FOOD_H_AppleCanpot	リンゴを多量の水と砂糖で煮込み\n出汁だけをコップに移して飲むもの\n冷やして飲むこともある
MID_FOOD_OrangeMarmalade	オレンジマーマレード
MID_FOOD_H_OrangeMarmalade	オレンジを皮ごと煮込んだもの\n薄味のクラッカーなどにつけて食べる
MID_FOOD_VegetableStick	野菜スティック
MID_FOOD_H_VegetableStick	いろいろな野菜を棒状に切ったもの\nマヨネーズなどのソースにつけて食べる
MID_FOOD_ChiliSalad	チリサラダ
MID_FOOD_H_ChiliSalad	大量のスパイスを使って作った\nチリソースをかけたサラダ\nとても辛い
MID_FOOD_ChiliFruitStick	チリがけフルーツ棒
MID_FOOD_H_ChiliFruitStick	切った生の果物に棒をさし\n大量のスパイス粉末をまぶしたもの\nとても辛い
MID_FOOD_ChiliIceCream	チリソースがけアイス
MID_FOOD_H_ChiliIceCream	アイスにチリソースをかけたもの\n初めは甘いが途中からは体が熱くなるほど\nとても辛い
MID_FOOD_RedPepperPickles	唐辛子ピクルス
MID_FOOD_H_RedPepperPickles	唐辛子をそのまま酢漬けにしたもの\nとても辛い
MID_FOOD_TomYumSoupWithChicken	鶏入りトムヤムスープ
MID_FOOD_H_TomYumSoupWithChicken	スパイスをチキンスープで煮たもの\n複雑な香りや酸味と辛みが特徴\nとても辛い
MID_FOOD_BoiledChiliWithCheese	唐辛子のチーズ煮込み
MID_FOOD_H_BoiledChiliWithCheese	唐辛子と水、チーズを入れて煮た後に\nトマトやニンニクなどを入れ\nさらに煮たもの とても辛い
MID_FOOD_RedMaboTofu	赤い麻婆豆腐
MID_FOOD_H_RedMaboTofu	唐辛子などのスパイスと牛ひき肉を\n合わせて炒め豆腐を入れて、盛りつけたもの\nとても辛い
MID_FOOD_FriedPorkKimchi	豚キムチ炒め
MID_FOOD_H_FriedPorkKimchi	唐辛子などのスパイスを合わせたタレに数日\n漬け込んだ野菜と豚肉を一緒に炒めたもの\nとても辛い
MID_FOODRANK_COND_ComeFromBrodia	ブロディア出身
MID_FOODRANK_COND_ComeFromFilene	フィレネ出身
MID_FOODRANK_COND_ComeFromSolum	ソルム出身
MID_FOODRANK_COND_ComeFromIrcion	イルシオン出身
MID_FOODRANK_COND_ComeFromLithos	リトス出身
MID_FOODRANK_COND_IsMale	男性
MID_FOODRANK_COND_IsFemale	女性
MID_FOODRANK_COND_IsAdult	大人
MID_FOODRANK_COND_IsChild	子供
MID_FOODRANK_COND_IsLueur	主人公
