MID_WU_C_1_IN_#001	神竜様！　ああっ、ね、眠っていらっしゃる…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	僕、もう無理はしないようにします。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	大好きな神竜様に心配かけられませんから。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	…ずっと大事に思ってるんですよ。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	さっきの、実は聞いていらっしゃいましたよね。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	神竜様の事はお見通しです。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	いつ入ってもドキドキするなあ…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	さては狸寝入りでしたね！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	緊張してる僕をもてあそぶなんて…もう！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	ふふ。前は毎日この寝顔を見るの、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	守り人の特権だったんですけどね。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	目の色は何色なのかなとか、考えてました…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	お目覚めですか、神竜様。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	竜の守り人クラン、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	今日も神竜様のことが大好きです！\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神竜様。パ、パートナーのクランが、起こしに来ました…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	えへへ、すぐ起きてくれたのは僕が来たからですか？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	僕も早く、あなたに会いたかったです。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	まだ夢みたいです。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	僕が神竜様の大切な人になれたこと。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	大切な『約束の指輪』をくれたこと…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	あなたがこの想いに応えてくださったことは\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	人生の誇りです。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	これからもずっとずっと、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	大好きです。神竜様。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはようございます。さあ、お手を。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	…神竜様が目覚めたあの日と同じように、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	これからも僕にエスコートをさせてください。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	起こしに来るのも、やっと緊張しなくなってきました。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	あっ…もうちょっと寝てても良かったんですよ。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	だ、だって…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	ここなら、神竜様を独り占めできるじゃないですか。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	この寝顔、ずっとずっと好きでした。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	最初は憧れが強かったですけど、今は、全然違います。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	きっと僕のほうが先に死んじゃいますけど、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	覚えていてくださいね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	僕があなたのこと、一番に思っていたことを。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	今日もお目覚めになりましたね。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	まだ時間はあります…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	あとちょっとだけ、僕だけの神竜様でいてください。\x0E\x04\x00\x00
