MID_WU_C_1_IN_#001	神竜様、おはようございますですわ。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#005	怖いから、帰るな…？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	いませんわね御化け…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	天蓋の布を見間違えたのでは？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	…うお！？　あそこにデカい蜘蛛がいる！\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	おめぇ可愛いなぁ！　よしよしよし！\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	…っと、神竜様。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	夜分にすみませんです。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	うふふ…噂は嘘でしたけれど、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	とっても素敵な出会いがありましたですわ。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	さて、本日も喧嘩の御作法を教えに参りましたわ。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	まあ…！\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	流石の御瞬発力ですわね、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	これでしたら寝込みを襲われても殴り返せますですわ。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	わたくし、安心いたしました。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	ふむ…こんなに近づいても起きないとは、\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	曲者が入った際に心配ですわね。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	神竜様には御瞬発力を補う何かが必要かもしれません。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	神竜様、起きるのが遅いですわ！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	これを埋めるためには御攻撃力を磨いて、\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	一発で御仕留めになるほかありませんですます！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	ったくよお…敵の奴ら日に日に強くなってねぇか…？\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	おはようございますですわ。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	わたくし、今日から鍛錬を増やしましたの。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	もっと強くなって敵をバチボコに…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	おっと、打ち倒しますですわ！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	いざとなったら拳一発で落とせるぐらいにならねぇとな…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	アタイは姫や神竜様を守るんだ！\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	こんな風に！　おらっ！　うらあぁ！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	…はっ。神竜様、\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	いつから起きていらっしゃいましたですの？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	まあ、最初から…？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	おほほ、それはどうも、ごめんあそばせ…\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神竜様、お休みのところ失礼いたしますですわ。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	おお、今日は反応が素早いですわね。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	御洞察力も磨かれているようで素晴らしいですわ。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	また抜き打ちで参りますわね、それでは。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	密偵からまた書簡が来たんですの。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	念のためこちらで開封をと思って…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	ふむ。ああ、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	やはり両親の消息は不明なままですわね…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	すみません。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	以前、探すのを手伝うと言ってくださったので、御報告を。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	神竜様のお言葉とっても嬉しかったでございますわ。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	朝のご挨拶に馳せ参じましたですわ、パートナー。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	な、なんですの？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	そんなに畏まらなくていいと言われても…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	大切な人の前で淑やかにいたいと思うのが、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	乙女心というものですます。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	ふう…神竜様に指輪をいただいた以上、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	淑女としてより品位を磨かねば。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	でも、朝のこの時間だけは二人きりなのですから、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	たまには甘えたりしても、いいですわよね？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	神竜様はどんなわたくしも受け入れてくれる、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	器の大きな御人なんですから。…ね？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはようございます。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	今朝はもう少しこうさせてくださいです。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	秘密ですけれど…わたくし、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	幸せを感じると強くなれますですのよ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	おはようございますですわ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	さあ、今朝の御瞬発力は如何でしょうか。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	お早いお目覚め。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	それでこそパートナーですわ。でも…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	たまには寝たふりをしてくださると、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	ゆっくり御傍にいられるのですけれど…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	そういえば、パートナーになる際…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	もし喧嘩しても攻撃は全部避けると仰っていましたが、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	結局一度も喧嘩をしていませんですわね？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	このままずっと、仲睦まじい二人でいましょう。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	わたくしのこの力は、あなたに向けるためではなく…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	あなたを守るためにあるのですから。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	ふふ、起きていたのはわかってますわ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	わたくしの御洞察力をナメないでくださいまし…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	好きな人のことは、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	何でもお見通しなのですます。\x0E\x04\x00\x00
