MID_WU_C_1_IN_#001	やっぴー！　朝ですぞ、神竜氏ーっ！！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	…不思議ですな。あなたの前では、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	捨ててしまった過去の自分が顔を出す…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	あなたなら、どちらも受け止めてくれると信じられる。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	これが、心の繋がりということ？\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	あなたが私に、本当の絆を教えてくれたのね…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	ん？　いつもと雰囲気が違う？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	そうかもしれませぬ。でも…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	元気なユナカも、過去の私も、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	どちらもあなたのパートナー。そうでしょ？\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	むふふ。わたくしめ、ここに来るのが大好きですぞ！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	おはよう。本当のことを言って生きるのは\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	気分がいいですな。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	…あなたのおかげで、この新しい自分が\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	本物になれたのです。ありがとう。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	それから、寝顔をこうして眺めるのも好き…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	戦場であなたを守るのも、背を合わせて戦うのも。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	今の時間が、みんな好きですぞ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	わたくしめは消えぬ過去を持っています。けれど…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	二人でいれば、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	今と未来を見て生きていけると信じています。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	新しい秘密を告白しますぞ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	今好きなものは沢山ありますが…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	一番好きなのは、あなたが目覚めた時の、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	その愛らしい顔ですぞ。\x0E\x04\x00\x00
