MID_WU_C_1_IN_#001	僭越ながら、睡眠の邪魔をしに参りました。\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	…おや、向き合う暇もなくお目覚めになりましたが、\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	これはこれで。おはようございます。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	この部屋で花園を見ることが叶わぬなら、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	作り出せばよいのです。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	僕は見目麗しい女騎士。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	僕は見目麗しい可憐な女騎士…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	まあ、神竜様。おはようございます。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	……ああ、すみません、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	想像に入り込んでいましたが、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	自分の声が低くて我に返りました。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	弟たちを起こしに来るよりも、気分が高揚しますね。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	こうしてすぐに目覚めてくださる点も、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	実家とは比べ物になりません。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	ああ、神竜様、一生ついていきますよ。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	三人もきょうだいがいると朝も大変でした。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	ですが、大抵はこの一言で解決です。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	…早く起きないと、朝ご飯を抜きにしますよ！\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	おお、神竜様にも有効だったとは。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	これは勉強になりました。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	それでは思う存分、朝食を堪能してきてくださいませ。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	僕のこの予想は、当たるはずです…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	ああ、やはり。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	今日はすぐお目覚めになると思って、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	紅茶をお持ちしました。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	故郷のブドウで香りづけをした、珍しいものですよ。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	ふふ…皆さんが順番に来られるということは、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	ここで待っていれば\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	神竜様と皆さんの組み合わせが\n無限大に拝見できるということでは…！\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	おはようございます。僕はすごいことに気が付きましたが…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	ずっとここで見張るのは不審ですので、控えることにいたします。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	家族への手紙に、この起こし当番のことも書いてきました。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	おや、内容が気になりましたか？\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	もちろん、神竜様についても書きましたよ。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	朝は意外と寝起きが宜しいのだ…とね。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	気持ちのままに書けばいいとの助言通りにしたら、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	神竜様の話が多くなってしまいましたよ。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	…！　もしかして、僕は神竜様のこと…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	どうやら僕は神竜様を……\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	弟たちに会わせたいと思っているのかもしれません。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	ああ、その組み合わせはきっと、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	和むでしょうね…\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	何度も起こしに来ているというのに、気恥ずかしいですね。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	わっ、突然起きないでくださいよ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	遠くから見つめるのには慣れているのですが、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	その…近くで見つめるのはまだ、慣れていなくて。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	まさか、僕に『約束の指輪』をくださるとは。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	僕は神竜様が誰に渡すのか、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	その組み合わせに心をときめかせていたというのに…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	でも、内心ほっとしていたんです。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	いつからか…貴方が他の人といる瞬間を見ると少し、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	胸が痛むようになっていたので。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはようございます。さあ、お手を。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	何って、エスコートですよ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	僕を選んだからには…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	甲斐甲斐しくお世話させていただきますから。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	さあ、朝ですよ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	今日はすぐ起きる気分ですか？　それとも…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	ふふ、おはようございます。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	そんなに急いで起きなくとも逃げません。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	…これから僕は一生、貴方のお傍を離れないんですから。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	もう少し寝たい気分ですか、まあそう思いましたよ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	…おや？　眠っている間は、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	僕の渡した指輪を着けてくれているんですね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	嬉しいです。近頃やっと、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	貴方と僕の組み合わせに慣れてきましたよ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	貴方の隣は誰にも譲りません。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	たとえ、空想の中でも…ね。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	まだ話したいことがあったのですが、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	起きてしまっては仕方がありません。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	続きは、紅茶でも飲みながらゆっくりと…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	いいですよね？\x0E\x04\x00\x00
