MID_WU_C_1_IN_#001	自分みたいなもんが入ってええんやろか…\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	顔色もいいし、健康そのものや！\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	神竜様がお元気やと、こっちも嬉しいです。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	神竜様ー？\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	ふむ…すぐに起きないところを見るに、\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	これはお疲れやね。\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	念のため疲労回復効果のあるお茶を準備しとこか。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	お目覚めやね、神竜様。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	いつもお疲れ様です。\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	今から自分の故郷名産のおいしいお茶を入れるさかい、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	それまでゆっくり過ごしてください。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	ふう…今朝もいっぱい薬草が採れたわ…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	起こすのが遅れてすみません。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	朝摘みの薬草は効果が高くて、\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	どうしても採りに行きたかったもんで。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	神竜様もひとつどうですか？\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	目に効く草、腫れに効く草、痛みに効く草…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	うん、いい成果や。安眠の薬草もあるけど…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	今から神竜様の口に入れたらどうなるんやろ…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	ああっ、な、なにもしてへんよ。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	おはようございます神竜様。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	いやー、今日もええ天気ですねえ…ほな！\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	神竜様、薬のことで相談があるんですけど…あ、寝たはる。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	起こしてごめんなさい。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	新しい薬を仕入れたいんやけど、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	神竜様が欲しいやつもあったら\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	聞きたいなぁて思ったんです。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	新しい傷薬がまさか５つも味を出してくるとは…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	甘いの、すっぱいの、苦いの、甘じょっぱいの。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	で、最後が…塩味。なんやねん塩味て…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	なあ、神竜様。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	次に仕入れる傷薬、どの味がええですか？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	個人的には甘いのがええと思うけど…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	え、ああ、塩味がええの…？\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神竜様、この前の傷、大丈夫やろか…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	薬草取りに行ってくれはった時の傷、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	経過を診に来ました。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	うん…綺麗に治ってる。よかった…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	あの時は、ほんまにおおきに。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	うん、痕は残ってないみたいやね…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	安心したけど、また無理しはらへんように自分がしっかりせな。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	よし、頑張るで…！\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	この前採ってくれはった薬草、\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	村で役に立ったみたいで両親から手紙が来ました。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	神竜様にも、お礼をお伝えくださいとのことです。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	神竜様、朝やで。\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	いつも傍にいさせてくれて、ありがとうな。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはよう。こうして起こしに来る時も、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	前とは全然違う気持ちやわ。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	神竜様のパートナーになれて幸せやって、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	毎日そう思ってるんやで。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	『約束の指輪』…ほんまに嬉しかった。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	自分はまだ子供やけど、神竜様がパートナーにしてくれたんやから…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	今に立派な男になってみせる。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	医者になって、色んな人の命を救って、それで…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	神竜様の大事な人全員、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	これから百年傍にいられるようにしてあげるんや。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	今の聞いてたん？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	まあ、自分はもちろんもっと長生きするつもりやけど。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	大人になっても、お爺ちゃんになっても…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	よろしゅうな。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	あ、あの。怪我したって聞いたんやけど、大丈夫か…？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	ああ、なんや。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	無事で良かったわ。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	いろんな薬持ってきてしもたけど、堪忍な。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	これをあなたに使わんで済むことが…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	いちばん幸せや。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	ええと…これはただ、寝てるだけやな。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	はあ…勘違いなら良かった。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	でもみんな、神竜様のことよく教えてくれるようになって助かるわ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	これって、自分がパートナーってことが周知の事実ってことか…？\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	そ、それは恥ずかしいけど…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	認められたみたいで、何や嬉しいわ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはよう。よう眠れたか？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	ほな良かった。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	今日も明日も、その次もずーっと…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	その元気な顔、自分に見せ続けてくれたら、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	幸せやで。\x0E\x04\x00\x00
