MID_H_INFO_WLV_Bullet	砲弾
MIID_H_Croissant	甘い香りが漂う弓\nアイテムとして使うとなくなるが、\n自分のHPを回復する
MIID_Tiramisu	ティラミストーム
MIID_H_Tiramisu	甘い香りが漂う攻撃魔法\nアイテムとして使うとなくなるが、\n自分のHPを回復する
MIID_Dango	ダンブラザーズ
MIID_H_Dango	甘い香りが漂う短剣\nアイテムとして使うとなくなるが、\n自分のHPを回復する
MIID_Cupcake	ティータイム
MIID_H_Cupcake	甘い香りが漂う魔法の杖\n味方のHPを回復する
MIID_Rollcake	勁氣の体術
MIID_H_Rollcake	甘い香りが漂う格闘法の指南書\nアイテムとして使うとなくなるが、\n自分のHPを回復する
MIID_Bullet_Power	ノーマルシェル
MIID_H_Bullet_Power	標準的な砲弾\n追撃不可/相手が遠いと命中ダウン
MIID_Bullet_Magic	マジックシェル
MIID_H_Bullet_Magic	魔力をまとった砲弾\n追撃不可/相手が遠いと命中ダウン
MIID_Bullet_Freeze	フリーズシェル
MIID_H_Bullet_Freeze	敵を拘束する力を持つ魔法の砲弾\n追撃不可/相手が遠いと命中ダウン\n命中時に50％の確率で\n相手をフリーズ状態にする
MIID_Bullet_Silence	サイレスシェル
MIID_H_Bullet_Silence	魔封じの力を持つ魔法の砲弾\n追撃不可/相手が遠いと命中ダウン\n命中時に50％の確率で\n相手をサイレス状態にする
MIID_Bullet_Collapse	ブレイクシェル
MIID_H_Bullet_Collapse	不思議な力を持つ魔法の砲弾\n追撃不可/相手が遠いと命中ダウン\n命中時に50％の確率で\n相手をブレイクする
MIID_Bullet_Poison	ヴェノムシェル
MIID_H_Bullet_Poison	猛毒のこもった魔法の砲弾\n追撃不可/相手が遠いと命中ダウン\n命中時に相手を劇毒状態にする
MIID_Bullet_Slayer_Fly	トルネードシェル
MIID_H_Bullet_Slayer_Fly	飛行の敵に特化した砲弾\n追撃不可/相手が遠いと命中ダウン\n飛行特効
MIID_Bullet_Slayer_Armor	クラッシュシェル
MIID_H_Bullet_Slayer_Armor	重装の敵に特化した砲弾\n追撃不可/相手が遠いと命中ダウン\n重装特効
MIID_Bullet_Slayer_Horse	ヘビーシェル
MIID_H_Bullet_Slayer_Horse	騎馬の敵に特化した砲弾\n追撃不可/相手が遠いと命中ダウン\n騎馬特効
MIID_Bullet_Slayer_Dragon	バスターシェル
MIID_H_Bullet_Slayer_Dragon	竜を攻撃するのに特化した砲弾\n追撃不可/相手が遠いと命中ダウン\n竜特効
MIID_Bullet_Slayer_Morph	ピースシェル
MIID_H_Bullet_Slayer_Morph	異形の敵に特化した砲弾\n追撃不可/相手が遠いと命中ダウン\n異形特効
MIID_Bullet_Power+	ソリッドシェル
MIID_H_Bullet_Power+	威力の高い砲弾\n追撃不可/相手が遠いと命中ダウン
MIID_Bullet_Magic+	ブーストシェル
MIID_H_Bullet_Magic+	強力な魔力を帯びた砲弾\n追撃不可/相手が遠いと命中ダウン
MIID_Bullet_Penetration	ピアシングシェル
MIID_H_Bullet_Penetration	貫通力の高い砲弾\n追撃不可/攻撃力固定/防御力無視\n相手が遠いと命中ダウン
MIID_Fang	牙
MIID_H_Fang	呪われた鋭い牙\n自分からの攻撃が命中した時、戦闘後に\n相手の最大HPを－5する\n（効果は重複可能、最大－20）
MIID_Veronica_Hlidskjalf	フリズスキャルヴ
MIID_H_Veronica_Hlidskjalf	紋章士ヴェロニカの持つ攻撃魔法の杖\n自分から攻撃した時、相手に反撃されない
MIID_Veronica_WholeHeal	リザーブ＋
MIID_H_Veronica_WholeHeal	紋章士ヴェロニカの持つ魔法の杖\n周囲7マスの範囲の味方全員の\nHPと状態異常を回復する
MIID_Veronica_Elivagar	エリヴァーガル
MIID_H_Veronica_Elivagar	紋章士ヴェロニカの持つ強大な魔法\n戦闘後1ターンの間\n相手の7つの基本能力への強化を無効化
MIID_Veronica_EngageAtk_R	赤色の召喚石
MIID_Veronica_EngageAtk_B	青色の召喚石
MIID_Veronica_EngageAtk_G	緑色の召喚石
MIID_Veronica_EngageAtk_N	無色の召喚石
MIID_Chrom_ThunderSword	サンダーソード
MIID_H_Chrom_ThunderSword	紋章士ルフレの持つ魔法剣\n魔法の雷で離れた敵にも攻撃可能
MIID_Chrom_Thoron	トロン
MIID_H_Chrom_Thoron	紋章士ルフレの持つ強力な雷魔法
MIID_Chrom_Falchion	神剣ファルシオン
MIID_H_Chrom_Falchion	紋章士クロムの持つ伝説の剣\n竜特効
MSID_SPConvert	SPコンバート
MSID_H_SPConvert	撃破時の獲得SP＋20\n（指輪、腕輪を装備していなくても発動）
MSID_BloodyRevenge	血讐
MSID_H_BloodyRevenge	HPが最大値ではない場合\n減少分の30％を攻撃力に加算する
MSID_BloodyRevenge+	血讐＋
MSID_H_BloodyRevenge+	HPが最大値ではない場合\n減少分の50％を攻撃力に加算する
MSID_BreakThroughLimit	限界突破
MSID_H_BreakThroughLimit	自分よりレベルの高いユニットを撃破した時\nマップ終了までレベルが＋1される\n（最大レベル＋3まで）
MSID_AnotherWorldsPower	異界の力
MSID_H_AnotherWorldsPower	戦闘やアイテム使用などを行わずに\n待機した時「異界の力」が1段階強化される\n（最大5段階、強化後に効果を発動すると\n「異界の力」に戻る）
MSID_AnotherWorldsPower+1	異界の力＜閉＞
MSID_H_AnotherWorldsPower+1	自分から攻撃した時\n戦闘後に相手をフリーズ状態にする
MSID_AnotherWorldsPower+2	異界の力＜炎＞
MSID_H_AnotherWorldsPower+2	自分から攻撃した時\n戦闘後に相手をフリーズ状態にし\n相手がいたマスを炎上状態にする
MSID_AnotherWorldsPower+3	異界の力＜死＞
MSID_H_AnotherWorldsPower+3	自分から攻撃した時、戦闘後に相手へ\n10ダメージを与え、フリーズ状態にし\n相手がいたマスを炎上状態にする
MSID_AnotherWorldsPower+4	異界の力＜夢＞
MSID_H_AnotherWorldsPower+4	自分から攻撃した時、与えたダメージ分\n自分のHPを回復し、戦闘後に相手へ\n10ダメージを与え、フリーズ状態にし\n相手がいたマスを炎上状態にする
MSID_AnotherWorldsPower+5	異界の力＜科＞
MSID_H_AnotherWorldsPower+5	自分から攻撃した時、与えたダメージ分\n自分と自分に隣接する味方のHPを回復し\n相手へ10ダメージとフリーズ状態を与え\n相手がいたマスを炎上状態にする
MSID_VeronicaEngage	契約
MSID_H_VeronicaEngage	隣接する行動済みの味方を再行動させる\n「契約」コマンドが使用できる\n（再行動時の移動は不可）
MSID_H_VeronicaEngage_CMD	味方を再行動させる（移動は不可）
MSID_H_VeronicaEngage_Dragon	隣接する行動済みの味方を再行動させる\n「契約」コマンドが使用できる\n（再行動時の移動は不可）\n【竜族】再行動している間\n味方の力・魔力・守備・魔防＋2
MSID_H_VeronicaEngage_Coop	隣接する行動済みの味方を再行動させる\n「契約」コマンドが使用できる\n（再行動時の移動は不可）\n【連携】使用者が、再行動する味方の\nチェインアタックに必ず参加する
MSID_H_VeronicaEngage_Covert	隣接する行動済みの味方を再行動させる\n「契約」コマンドが使用できる\n（再行動時の移動は不可）\n【隠密】再行動している間\n味方の命中・回避＋30
MSID_VeronicaEngageAtk	英雄召喚
MSID_H_VeronicaEngageAtk	ユニットをランダムに召喚することができる
MSID_H_VeronicaEngageAtk_CMD	ユニットをランダムに召喚する
MSID_VeronicaEngageAtk_CMD_R	\x0E\x08\x02\x12\x10RedStone赤色の召喚石
MSID_H_VeronicaEngageAtk_CMD_R	剣を扱えるユニットを召喚する
MSID_VeronicaEngageAtk_CMD_B	\x0E\x08\x02\x14\x12BlueStone青色の召喚石
MSID_H_VeronicaEngageAtk_CMD_B	槍を扱えるユニットを召喚する
MSID_VeronicaEngageAtk_CMD_G	\x0E\x08\x02\x16\x14GreenStone緑色の召喚石
MSID_H_VeronicaEngageAtk_CMD_G	斧を扱えるユニットを召喚する
MSID_VeronicaEngageAtk_CMD_W	\x0E\x08\x02\x16\x14WhiteStone無色の召喚石
MSID_H_VeronicaEngageAtk_CMD_W	剣、槍、斧以外を\n扱えるユニットを召喚する
MSID_H_VeronicaEngageAtk_Dragon	ユニットをランダムに召喚することができる\n【竜族】強力なユニットが召喚される
MSID_H_VeronicaEngageAtk_Coop	ユニットをランダムに召喚することができる\n【連携】召喚したユニットが\nスキル「デュアルアタック」を持つ
MSID_H_VeronicaEngageAtk_Horse	ユニットをランダムに召喚することができる\n【騎馬】召喚したユニットの移動＋1
MSID_ByForce	力まかせ
MSID_H_ByForce	物理攻撃をした時\n必殺の一撃で与えるダメージが\n通常よりアップする
MSID_Charisma	カリスマ
MSID_H_Charisma	自分の攻撃でチェインアタックが発生した時\nチェインアタックの命中率がアップする
MSID_SuckerPunch	不意打ち
MSID_H_SuckerPunch	回避地形から攻撃した時\n反撃を受けない
MSID_RainbowCry	七色の叫び
MSID_H_RainbowCry	隣接する味方の7つの基本能力を\n1ターンの間＋3する\n「応援」コマンドが使用できる
MSID_Rooting	応援
MSID_H_Rooting_CMD	隣接する味方の基本能力＋3
MSID_RainbowCry+	七色の叫び＋
MSID_H_RainbowCry+	自分の周囲2マスにいる味方の\n7つの基本能力を1ターンの間＋3する\n「応援＋」コマンドが使用できる
MSID_Rooting+	応援＋
MSID_H_Rooting+_CMD	周囲2マスの味方の基本能力＋3
MSID_ChromEngage	半身
MSID_H_ChromEngage	自分から攻撃した時、ルフレが\nチェインアタックに参加するようになる\n魔力＋10
MSID_H_ChromEngage_Dragon	自分から攻撃した時、ルフレが\nチェインアタックに参加するようになる\n魔力＋10\n【竜族】ルフレがチェインアタックに\n参加する回数が2にアップする
MSID_H_ChromEngage_Coop	自分から攻撃した時、ルフレが\nチェインアタックに参加するようになる\n魔力＋10\n【連携】チェインアタックが必ず命中する
MSID_H_ChromEngage_Covert	自分から攻撃した時、ルフレが\nチェインアタックに参加するようになる\n魔力＋10\n【隠密】移動＋1
MSID_H_ChromEngage_Single	自分の攻撃でチェインアタックが発生した時\nチェインアタックが必ず命中する\n力＋5、魔力＋10
MSID_ChromEngageAtk	ギガサンダーソード
MSID_H_ChromEngageAtk	魔力を帯びた剣で敵を攻撃する\n剣限定\n（物理攻撃力で放つ魔法攻撃）
MSID_H_ChromEngageAtk_Dragon	魔力を帯びた剣で敵を攻撃する/剣限定\n（物理攻撃力で放つ魔法攻撃）\n【竜族】ダメージに力の50％を加算
MSID_H_ChromEngageAtk_Fly	魔力を帯びた剣で敵を攻撃する/剣限定\n（物理攻撃力で放つ魔法攻撃）\n【飛行】ダメージに体格を加算
MSID_H_ChromEngageAtk_Magic	魔力を帯びた剣で敵を攻撃する/剣限定\n（物理攻撃力で放つ魔法攻撃）\n【魔道】ダメージに魔力の50％を加算
MSID_H_ChromEngageAtk_CMD	魔力を帯びた剣で敵を攻撃する
MSID_ChromEngageAtk+	ギガサンダーソード＋
MSID_H_ChromEngageAtk+	魔力を帯びた剣で敵を攻撃する/剣限定\n（物理攻撃力で放つ魔法攻撃）\n自分に隣接する味方が\nチェインアタックに参加する
MSID_H_ChromEngageAtk+_Dragon	魔力を帯びた剣で敵を攻撃する/剣限定\n（物理攻撃力で放つ魔法攻撃）\n自分に隣接する味方が\nチェインアタックに参加する\n【竜族】ダメージに力の50％を加算
MSID_H_ChromEngageAtk+_Fly	魔力を帯びた剣で敵を攻撃する/剣限定\n（物理攻撃力で放つ魔法攻撃）\n自分に隣接する味方が\nチェインアタックに参加する\n【飛行】ダメージに体格を加算
MSID_H_ChromEngageAtk+_Magic	魔力を帯びた剣で敵を攻撃する/剣限定\n（物理攻撃力で放つ魔法攻撃）\n自分に隣接する味方が\nチェインアタックに参加する\n【魔道】ダメージに魔力の50％を加算
MSID_H_ChromEngageAtk+_CMD	周囲の味方がチェインアタックに参加する攻撃
MSID_Mag_Tec_1	魔力・技＋1
MSID_H_Mag_Tec_1	常に魔力と技が1アップする
MSID_Mag_Tec_2	魔力・技＋2
MSID_H_Mag_Tec_2	常に魔力と技が2アップする
MSID_Mag_Tec_3	魔力・技＋3
MSID_H_Mag_Tec_3	常に魔力と技が3アップする
MSID_Mag_Tec_4	魔力・技＋4
MSID_H_Mag_Tec_4	常に魔力と技が4アップする
MSID_Mag_Tec_5	魔力・技＋5
MSID_H_Mag_Tec_5	常に魔力と技が5アップする
MSID_Tec_Spd_1	速さ・技＋1
MSID_H_Tec_Spd_1	常に速さと技が1アップする
MSID_Tec_Spd_2	速さ・技＋2
MSID_H_Tec_Spd_2	常に速さと技が2アップする
MSID_Tec_Spd_3	速さ・技＋3
MSID_H_Tec_Spd_3	常に速さと技が3アップする
MSID_Tec_Spd_4	速さ・技＋4
MSID_H_Tec_Spd_4	常に速さと技が4アップする
MSID_Tec_Spd_5	速さ・技＋5
MSID_H_Tec_Spd_5	常に速さと技が5アップする
MSID_AntiKnifeArts_1	対短剣術Lv.1
MSID_H_AntiKnifeArts_1	短剣装備の敵と戦闘した時\n受けるダメージ－1
MSID_AntiKnifeArts_2	対短剣術Lv.2
MSID_H_AntiKnifeArts_2	短剣装備の敵と戦闘した時\n受けるダメージ－2
MSID_AntiKnifeArts_3	対短剣術Lv.3
MSID_H_AntiKnifeArts_3	短剣装備の敵と戦闘した時\n受けるダメージ－3
MSID_AntiKnifeArts_4	対短剣術Lv.4
MSID_H_AntiKnifeArts_4	短剣装備の敵と戦闘した時\n受けるダメージ－4
MSID_AntiKnifeArts_5	対短剣術Lv.5
MSID_H_AntiKnifeArts_5	短剣装備の敵と戦闘した時\n受けるダメージ－5
MSID_AntiSwordArts_1	対剣術Lv.1
MSID_H_AntiSwordArts_1	剣装備の敵と戦闘した時\n受けるダメージ－1
MSID_AntiSwordArts_2	対剣術Lv.2
MSID_H_AntiSwordArts_2	剣装備の敵と戦闘した時\n受けるダメージ－2
MSID_AntiSwordArts_3	対剣術Lv.3
MSID_H_AntiSwordArts_3	剣装備の敵と戦闘した時\n受けるダメージ－3
MSID_AntiSwordArts_4	対剣術Lv.4
MSID_H_AntiSwordArts_4	剣装備の敵と戦闘した時\n受けるダメージ－4
MSID_AntiSwordArts_5	対剣術Lv.5
MSID_H_AntiSwordArts_5	剣装備の敵と戦闘した時\n受けるダメージ－5
MSID_JobSkill_MageCanon	全弾発射
MSID_H_JobSkill_MageCanon	装備武器がなくなる代わりに\n次の自軍フェイズ開始に\n指定位置へ必中の範囲攻撃を行う\n「全弾発射」コマンドが使用できる
MSID_H_JobSkill_MageCanon_CMD	砲弾を消費して次ターン必中の範囲攻撃
MSID_JobSkill_Wolf	チームハント
MSID_H_JobSkill_Wolf	周囲3マス以内にいる\n自分と同じ兵種の味方が\n必ずチェインアタックに参加する
MID_BONDSRING_Chrom00	異界の国、イーリス聖王国の王子で\n右肩に「聖痕」を持つ、英雄王の末裔。
MID_BONDSRING_Chrom01	どんな絶望にも染まらぬ、不屈の心を持ち\n神剣を手に、希望の未来を切り開いた。
MID_BONDSRING_Reflet00	行き倒れていたところをクロムに助けられ\n仲間となった素性不明の人物。
MID_BONDSRING_Reflet01	戦いを通じてクロムと深い絆を結び\n世界を希望の未来へと導いた。
MID_BONDSRING_Veronica00	異界の国、エンブラ帝国の皇帝の娘。\n様々な英雄たちを従え、他国を侵攻した。
MID_BONDSRING_Veronica01	幼い口調で、冷酷な言葉を発するなど\n静かさの中に恐ろしい雰囲気を持つ少女。
MGID_Ring_Chrom	聖王の腕輪
MGID_H_Ring_Chrom	通称『絆の紋章士』クロムが宿る腕輪。\n仲間を信じ、運命を変える、聖なる王子。
MGID_Ring_Reflet	聖王の腕輪
MGID_H_Ring_Reflet	通称『絆の紋章士』ルフレが宿る腕輪。\nクロムを支える、記憶喪失の天才軍師。
MGID_Ring_Veronica	幼き皇女の腕輪
MGID_H_Ring_Veronica	通称『英雄の紋章士』ヴェロニカが宿る腕輪。\n異界の英雄たちを操る力を持つ皇女。
MGID_World_Chrom	聖王女の世界
MGID_World_Reflet	聖王女の世界
MGID_World_Veronica	幼き皇女の世界
MID_RELAY_Stamp_Chrom_0	いつでも頼ってくれ、友よ
MID_RELAY_Stamp_Reflet_0	新しい策を考えないと
MID_RELAY_Stamp_Veronica_0	あなたたちばかり…ずるいわ…
MID_BGM_DLC_Field_S16_Combat_ST_Play	英雄の試練～呼矗
MID_BGM_DLC_Field_S16_Map_ST_Play	英雄の試練
MID_BGM_Evt_Advent_Veronica_ST_Play	呼矗えよ、英雄の紋章士
MID_Hub_Well	不思議な井戸
MID_Hub_Area_Event	イベント
MID_Hub_Area_ItemReturn	変換完了
MID_Hub_Well_TitleHelp	行動を選択してください
MID_Hub_Well_ItemExchange	アイテム変換
MID_Hub_Well_ItemExchange_TitleHelp	不要なアイテムを選択してください
MID_Hub_Well_ItemExchange_Expected	期待度
MID_Hub_Well_ItemExchange_Dialog_Title	以下の内容でアイテム変換を行いますか？
MID_Hub_Well_ItemExchange_Dialog_Before	落とすアイテム
MID_Hub_Well_ItemExchange_Dialog_Yes	変換を行う
MID_Hub_Well_ItemExchange_Get	獲得
MID_Hub_Well_ItemExchange_Message	井戸にアイテムを落としました\n（一度出撃した後に受け取ることができます）
MID_Hub_Well_Nothing1	不思議な気配を感じる…
MID_Hub_Well_Nothing2	今はもう何もないようだ
PCTMID_Chrom	いつでも頼ってくれ、友よ
PCTMID_Reflet	新しい策を考えないと…
PCTMID_Veronica	あたしのにしたい…
MID_Movie_K19	紋章士ヴェロニカ
MID_H_Movie_K19	『幼き皇女の腕輪』より顕現する\n紋章士ヴェロニカ。
MID_Movie_K18	紋章士クロム
MID_H_Movie_K18	『聖王の腕輪』より顕現する\n紋章士クロム。
MID_MAP_HIS_EngageSummon	\x0E\x01\x00\x00が英雄召喚を使った
MID_MAP_HIS_Contract	\x0E\x01\x00\x00が契約を使った
MID_MAP_HIS_FullBullet	\x0E\x01\x00\x00が全弾発射を使った
