MID_WU_C_1_IN_#001	可愛いあたしが今日の起こし係よ！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	でもあたし、あなたのことは見た目で判断したわけじゃないから。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	中身がかっこよくて、優しくて、強いから…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	好きになったんだからね…！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはよう、あたしの神竜サマ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	戦いに出るまでは、こうしててもいいでしょ？\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	今日も生きて戻れたら…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	いっぱい褒めて、可愛いって言ってよね。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	あたしよ、神竜サマ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	あなたの…オ、ル、テ、ン、シ、ア！\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	おはよ。早く顔が見たかったの？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	あたしにメロメロなんだもんね。でも…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	内緒だけど、あたしの方がもっと、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	あなたのこと好きなんだから。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	不思議ね…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	あたしたち、最初は敵として出会ったのに\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	今はパートナー同士だなんて。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	あの頃のあたしは何もかもが未熟だった…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	でも、あなたのおかげで変われたのよ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	見た目も中身も、ぜーんぶ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	…ありがとう。ホントは、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	メロメロにされちゃったのはあたしのほうね。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	も、もしかして今の聞いてた！？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	寝たフリしてたなんてひどいわ！\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	…でも、今から一緒にいてくれたら、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	仕方ないから許してあげる。\x0E\x04\x00\x00
