MID_WU_C_1_IN_#001	なかなか起きないと聞いて、僕が起こしに来たよ。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	親しく話せるようになるだなんて思わなかった…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	お目覚めかい？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	ふふ…あの時は全く起きなかったけれど、\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	今はこうして僕を瞳に映してくれる。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	そのことを幸せに思うよ。\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	さあ、僕が起こしに来たからには二度寝は許さないよ。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	おっと失礼、神竜様が二度寝なんてするはずがなかったね。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	はは、そんなに拗ねないでくれよ。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	君は朝から愛らしいね。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	この前の、親交を深めるための走り込みは楽しかったよ。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	君は文句を言いながらも僕に追いついてきてくれて…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	嬉しかったんだ。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	ふふ、実は起きていただろう？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	わかるに決まっているさ。\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	何せ僕は、君の初めての友達…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	そして、親友なのだからね。\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神竜様、朝だ！　共に鍛錬に励もう！\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	流石の寝起きの良さだ。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	そうでなくてはね。\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	さあ、さっそくソラネル五周の走り込みをしよう！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	起きないなら仕方がない、\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	先に鍛錬をして待っていよう。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	えい！　やっ！　それ！　はああっ！\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	ふうー…次は腕の筋肉、いこうか。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	おや、おはよう。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	全く…眠いなら抱き上げて運んで差し上げようか？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	神竜様ぐらいなら、僕にも軽いものさ。\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	よく眠っているね。\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	今日はすぐに起きてくれるだろうか。\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	おはよう。最近、寝覚めが良くなったんじゃないかい？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	僕のパートナーになったから、似てきたのかもと…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	自惚れてしまいそうだよ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	まだまだ手強いね。そういえば…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	王城で読んだ物語に、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	最愛の相手のキスで\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	眠りから目覚めるというものがあったな…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	いや、ダメだ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	何かの真似ではなく、僕は僕の方法で目覚めさせるさ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	…起きてくれ、僕のパートナー。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#008	寝顔もいいけれど、早く君の瞳が見たいんだ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	これで目覚めなければ真横で鍛錬をするところだったよ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	…なんてね。何度だって優しく起こすさ…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	大好きな君に、手荒な真似はしない。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	パートナーに会いに来るのが嬉しくて、\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	鍛錬が捗ってしまったよ。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	おはよう。気分はどうだい？\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	僕は君がいれば幸せだけれど…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	君も、僕が傍にいることが幸せだと…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	そう感じてくれるなら嬉しいよ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	僕の渡した、王家の刺繍…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	飾ってくれているのだね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	いつか平和になったら、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	ここに僕たちの絆を示す文様も加えたいと思う。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	どれだけ鍛えても、僕は君の寿命には届かない…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	けれど、いつまでも君を想っているよ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	その証をここに、永遠に、刻み込んでおきたい。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	目が覚めたかい、じゃあさっそく鍛錬に行こうか。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	え、もう少し二人でいたい？\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	…そんなわがままを言ってくれるなんて、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	僕は幸せだよ。\x0E\x04\x00\x00
