MID_TUT_CATEGORY_TITLE_Battle	戦闘
MID_TUT_BMAP_WAND_2	便利ですが、使える回数に\n限りがあるので注意しましょう
MID_TUT_STYLE_PRANA_TITLE	戦闘スタイル【気功】
MID_TUT_STYLE_PRANA_0	戦闘スタイル【気功】のユニットは\n隣接する味方を敵の攻撃から庇う\n「チェインガード」を使用できます
MID_TUT_STYLE_PRANA_1	発動すると、最大HP20％分のダメージを\n受ける代わりに、味方のダメージを0にします
MID_TUT_STYLE_PRANA_2	「チェインガード」は自分のHPが\n最大の時にだけ使用できます\n（少しでも減っていると使えません）
MID_TUT_BMAP_MAGIC_TITLE	魔法
MID_TUT_BMAP_MAGIC_0	「魔法」は射程が長く\n隣接した敵にも攻撃することができます
MID_TUT_BMAP_MAGIC_1	また、剣や斧などの物理攻撃では\nダメージを与えにくい敵に\n非常に有効です
MID_TUT_STYLE_MAGIC_TITLE	戦闘スタイル【魔道】
MID_TUT_STYLE_MAGIC_0	戦闘スタイル【魔道】のユニットは\n魔法で攻撃した場合に、地形効果による\n敵の回避の＋補正を無効にします
MID_TUT_STYLE_MAGIC_1	通常なら攻撃を命中させにくい状況でも\n気にせず、遠距離から攻撃を\n加えることができます
MID_TUT_BMAP_GOD_ENERGY_TITLE	紋章氣
MID_TUT_BMAP_GOD_ENERGY_0	マップ上に、「紋章氣」と呼ばれる\nエネルギーが滞留していることがあります
MID_TUT_BMAP_GOD_ENERGY_1	シンクロ中の味方が「紋章氣」の上で\n行動終了したり、待機を行ったりすると\nエンゲージカウントが最大になります
MID_TUT_OVERALLINFORMATION_TITLE	危険範囲
MID_TUT_OVERALLINFORMATION_0	敵にカーソルを合わせると、その敵の攻撃範囲である\n「危険範囲」が表示されます。\x0E\x08\x02\x04\x02Aボタンを押すと、\n選択した敵の「危険範囲」を表示したままにできます。
MID_TUT_OVERALLINFORMATION_1	\x0E\x08\x02\x06\x04ZLボタンでは、全ての敵の「危険範囲」を\nまとめて表示できます。
MID_TUT_BMAP_SPECIALATTACK_TITLE	特効
MID_TUT_BMAP_SPECIALATTACK_0	武器の詳細情報にある「特効アイコン」は\n特定の敵に対して「特効」を\n持つことを表しています
MID_TUT_BMAP_SPECIALATTACK_1	武器と同じアイコンを持つ敵を攻撃すると\n「特効」が発生し、通常よりとても大きな\nダメージを与えることができます
MID_TUT_STYLE_COOP_TITLE	戦闘スタイル【連携】
MID_TUT_STYLE_COOP_0	戦闘スタイル【連携】のユニットは\n他の味方の攻撃時に、援護攻撃\n「チェインアタック」を行ってくれます
MID_TUT_STYLE_COOP_1	敵を攻撃した時に、【連携】スタイルの\n味方ユニットも同じ敵を攻撃可能であれば\n一緒に戦闘に参加してくれます
MID_TUT_STYLE_HORSE_TITLE	戦闘スタイル【騎馬】
MID_TUT_STYLE_HORSE_0	戦闘スタイル【騎馬】のユニットは\n他のスタイルのユニットよりも\n高い移動力を持っています
MID_TUT_STYLE_HORSE_1	敵陣に切り込んで先手を取ったり\n仲間の危機に遠くから駆けつけたりと\n機動力を活かした戦い方が得意です
MID_TUT_STYLE_COVERT_TITLE	戦闘スタイル【隠密】
MID_TUT_STYLE_COVERT_0	戦闘スタイル【隠密】のユニットは\n地形効果によって得られる＋補正が倍になります
MID_TUT_STYLE_COVERT_1	「茂み」などの地形が多い場所では\nそれらをより活用でき、戦いを有利に進められます
MID_TUT_STYLE_HEAVY_TITLE	戦闘スタイル【重装】
MID_TUT_STYLE_HEAVY_0	戦闘スタイル【重装】のユニットは\n「相性が不利な武器」で攻撃を受けても\nブレイクされません
MID_TUT_STYLE_HEAVY_1	また、HPが多く、守備が高いため\n前線での壁役として非常に頼りになります\nただし「魔防」は低いので魔法攻撃には注意です
MID_TUT_STYLE_FLY_TITLE	戦闘スタイル【飛行】
MID_TUT_STYLE_FLY_0	戦闘スタイル【飛行】のユニットは\n地形効果や、地形の移動への影響をうけません\nまた、「歩行不可」の地形を通ることができます
MID_TUT_STYLE_FLY_1	高い移動能力を持っていますが\n弓などの「飛行特効」を持つ武器に弱いので\n注意しましょう
MID_TUT_STYLE_DRAGON_TITLE	戦闘スタイル【竜族】
MID_TUT_STYLE_DRAGON_0	戦闘スタイル【竜族】のユニットは\nエンゲージスキルかエンゲージ技に\n追加の効果が必ず付与されます
MID_TUT_STYLE_DRAGON_1	紋章士の能力を活かした戦いができるので\n色々な紋章士と絆を高めておくと\n戦略の幅が格段に広がります
MID_TUT_STYLE_BATTLE_TITLE	戦闘スタイル
MID_TUT_STYLE_BATTLE_0	ユニットは【騎馬】【気功】【魔道】といった\nそれぞれに特長の異なる\n様々な「戦闘スタイル」を持っています
MID_TUT_STYLE_BATTLE_1	どのユニットが、どの「戦闘スタイル」なのかは\nステータスで確認することができます
MID_TUT_BMAP_ITEMDROP_TITLE	アイテムドロップ
MID_TUT_BMAP_ITEMDROP_0	「ドロップアイコン」が表示されている敵を倒すと\n持っていたアイテムを手に入れることができます
MID_TUT_BMAP_ITEMDROP_1	手に入れられるアイテムは、その敵の\nステータスに「緑色」で表示されています
MID_TUT_BMAP_XHELP_TITLE	詳細情報
MID_TUT_BMAP_XHELP_0	ユニットにカーソルを合わせて\x0E\x08\x02\x04\x02Xを押すと\nそのユニットの「詳細情報」を見ることができます
MID_TUT_BMAP_XHELP_1	カーソルを動かすことで「武器」や「スキル」などの\n見たい項目の「詳細情報」を確認できます
MID_TUT_BMAP_XHELP_2	もう一度\x0E\x08\x02\x04\x02Xを押すか\n\x0E\x08\x02\x04\x02Bを押すと元の状態に戻ります
MID_TUT_BMAP_BONDSSUPPORTTALK_TITLE	絆会話
MID_TUT_BMAP_BONDSSUPPORTTALK_0	味方と紋章士の絆レベルが上がると\n「絆会話」という会話イベントが\n見られるようになります
MID_TUT_BMAP_BONDSSUPPORTTALK_1	「絆会話」は、ワールドマップや\n拠点ソラネルにいる時に見ることができます
MID_TUT_BMAP_BONDSSUPPORTTALK_2	「絆会話」を見ると、絆レベルを\n更に高いレベルまで上げられるようになります
MID_TUT_BMAP_SUPPORT_TITLE	支援効果
MID_TUT_BMAP_SUPPORT_0	味方同士が隣接して戦闘をしたり\n回復を行ったりすると支援値がアップし\n「支援会話」が見られるようになります
MID_TUT_BMAP_SUPPORT_1	「支援会話」はワールドマップや\n拠点ソラネルで見ることができ\n見終わると、「支援レベル」が上昇します
MID_TUT_BMAP_SUPPORT_2	「支援レベル」が高くなるほど\n高い「支援効果」を受けることができ\n隣接していると能力が上昇します
MID_TUT_BMAP_VISIT_TITLE	訪問
MID_TUT_BMAP_VISIT_0	民家へ「訪問」して危険を知らせると\n報酬としてアイテムやゴールドなどがもらえます
MID_TUT_BMAP_VISIT_1	民家の前の光るマスまで味方を移動させると\n「訪問」を選ぶことができます
MID_TUT_BMAP_VISIT_2	民家に敵が到達すると\n破壊されてしまうので注意しましょう
MID_TUT_BMAP_TIMECRYSTAL_TITLE	竜の時水晶
MID_TUT_BMAP_TIMECRYSTAL_0	「竜の時水晶」を使うと、出撃中の行動を\n以前の時点まで戻し、やり直すことができます
MID_TUT_BMAP_TIMECRYSTAL_1	メニューの「竜の時水晶」で使用できます\n\x0E\x08\x02\x06\x04Up\x0E\x08\x02\x0A\x08Downで戻りたい場所を選び\n\x0E\x08\x02\x04\x02Aで決定します
MID_TUT_BMAP_REINFORCEMENT_TITLE	増援
MID_TUT_BMAP_REINFORCEMENT_0	出撃中に敵の「増援」が\n出現することがあります
MID_TUT_BMAP_REINFORCEMENT_1	「増援」は「砦」や「マップ端」から\n出現することがあるので\n念のため、気をつけておくとよいでしょう
MID_TUT_BMAP_TRANSPORTER_TITLE	輸送隊
MID_TUT_BMAP_TRANSPORTER_0	「輸送隊」を使用すると\n持ちきれない武器やアイテムを預けたり\n必要な時に受け取ったりすることができます
MID_TUT_BMAP_TRANSPORTER_1	出撃中は\x0E\x06\x03\x00と\n\x0E\x06\x03\x00に隣接している味方が\n使用することができます
MID_TUT_BMAP_DEADSOUL_TITLE	戦死者の魂
MID_TUT_BMAP_DEADSOUL_0	ネットワークに接続していると、そのマップをプレイした\n世界中のプレイヤーの戦歴を元に\n「戦死者の魂」が出現することがあります
MID_TUT_BMAP_DEADSOUL_1	「黄色い魂」は様々なプレイヤーのマップで\n味方ユニットが多く撃破されたマスに出現し\n待機すると、経験値や絆経験値が入手できます
MID_TUT_BMAP_DEADSOUL_2	「紫色の魂」は様々なプレイヤーのマップで\n敵ユニットが多く撃破された場所に出現し\n待機すると、アイテムを入手できます
MID_TUT_BMAP_DOOR_TITLE	扉
MID_TUT_BMAP_DOOR_0	「扉」は攻撃して破壊すれば\n通ることができるようになります
MID_TUT_BMAP_DOOR_1	味方に「シーフ」がいれば\n「扉の鍵」コマンドが使用でき\n破壊せずに開けることもできます
MID_TUT_BMAP_TREASUREBOX_TITLE	宝箱
MID_TUT_BMAP_TREASUREBOX_0	「宝箱」は中にアイテムが入っており\n隣接して「宝箱」コマンドを使えば\n入手することができます
MID_TUT_BMAP_TREASUREBOX_1	敵に中身を奪われても、逃げられる前に\nその敵を撃破すれば取り返すことができます
MID_TUT_BMAP_BREAKINGWALL_TITLE	地形破壊
MID_TUT_BMAP_BREAKINGWALL_0	地形情報に「破壊可能」と表示されている地形は\n攻撃して破壊することができます
MID_TUT_BMAP_BREAKINGWALL_1	破壊したあとは、その場所を\n通ることができるようになります
MID_TUT_BMAP_HPSTOCK_TITLE	復活の石
MID_TUT_BMAP_HPSTOCK_0	一部の強力な敵は\n「復活の石」を身につけています
MID_TUT_BMAP_HPSTOCK_1	HPが0になっても、それを使い\n復活・回復してしまいます
MID_TUT_BMAP_HPSTOCK_2	「復活の石」が残っている状態では\n倒すことができないので\n使い切るまで攻撃を続けましょう
MID_TUT_BMAP_INTERFERINGCANE_TITLE	妨害杖
MID_TUT_BMAP_INTERFERINGCANE_0	杖の中には、障害物を設置するなどして\n敵の動きを妨害できるものがあります
MID_TUT_BMAP_SEARCH_TITLE	暗闇
MID_TUT_BMAP_SEARCH_0	「暗闇」マップでは、味方の周辺や\n「篝火」「たいまつ」の光が届く範囲でしか\nマップを見ることができません
MID_TUT_BMAP_SEARCH_1	敵が潜んでいても、\n居場所を知ることができないので\n注意しながら進みましょう
MID_TUT_BMAP_POISON_TITLE	状態異常「毒」
MID_TUT_BMAP_POISON_0	シーフが得意とする「短剣」の攻撃で\n敵にダメージを与えると\n「毒」状態にすることができます
MID_TUT_BMAP_POISON_1	「毒」状態の敵を攻撃すると\nいつもよりたくさんのダメージを\n与えることができます
MID_TUT_BMAP_POISON_2	また、「毒」状態になった敵に\nさらに短剣を命中させると\n毒の強さが増していきます
MID_TUT_BMAP_POISON_3	「毒」は、「毒消し薬」や杖の「レスト」を\n使用しないかぎり、マップ終了まで効果が続きます
MID_TUT_BMAP_TORCH_TITLE	篝火
MID_TUT_BMAP_TORCH_0	火の消えた「篝火」は隣まで移動して\n「篝火」コマンドを使う事で\n火をつけることができます
MID_TUT_BMAP_TORCH_1	篝火をつければ\n周囲の暗闇を照らすことができ\n潜んでいる敵を発見しやすくなります
MID_TUT_BMAP_SMASH_TITLE	スマッシュ
MID_TUT_BMAP_SMASH_0	「てつの大剣」や「てつの大槍」などの大振りな武器は\nこちらから攻撃をした時、必ず後攻になる代わりに\n「スマッシュ」が発生し、敵を1マス後退させられます
MID_TUT_BMAP_SMASH_1	後退した先に他のユニットが居たり\n壁などの障害物があったりした場合は\nブレイクさせることができます
MID_TUT_BMAP_SMASH_2	威力も高く便利ですが、これらの武器は重く\n追撃を行うことができないので注意しましょう
MID_TUT_BMAP_DARKSYNCHRO_TITLE	闇シンクロ
MID_TUT_BMAP_DARKSYNCHRO_0	敵の中には紋章士と「闇シンクロ」して\n戦うユニットがいます
MID_TUT_BMAP_DARKSYNCHRO_1	闇の力でシンクロしているため\nエンゲージすることはありませんが\nエンゲージ技は使用することができます
MID_TUT_BMAP_DARKSYNCHRO_2	敵がエンゲージ技を使える状態になると\nこの箇所が光るので注意しましょう
MID_TUT_BMAP_BOWTURRET_TITLE	弓砲台
MID_TUT_BMAP_BOWTURRET_0	攻撃可能な弓を所持しているユニットが\n「弓砲台」のある場所に移動すると\n「砲撃」コマンドを使用できます
MID_TUT_BMAP_BOWTURRET_1	「砲撃」は威力が高く\n射程も非常に長いので\n遠くの敵に大ダメージを与えられます
MID_TUT_BMAP_BOWTURRET_2	ただし、撃てる回数には限りがあるので\n注意して使用しましょう
MID_TUT_BMAP_CONVERSATION_TITLE	会話
MID_TUT_BMAP_CONVERSATION_0	「会話アイコン」が表示されているユニットは\n隣接して「会話」コマンドを使うことで\n話をすることができます
MID_TUT_BMAP_CONVERSATION_1	話すことで味方になるユニットもいるので\n積極的に「会話」をすると良いでしょう
MID_TUT_BMAP_CONVERSATION_2	特定の味方でしか、話しかけることが\nできないユニットもいます
MID_TUT_BMAP_MAGICTURRET_TITLE	魔砲台
MID_TUT_BMAP_MAGICTURRET_0	使用可能な魔道書を所持しているユニットが\n「魔砲台」のある場所に移動すると\n「砲撃」コマンドを使用できます
MID_TUT_BMAP_MAGICTURRET_1	「砲撃」は威力が高く\n射程も非常に長いので\n遠くの敵に大ダメージを与えられます
MID_TUT_BMAP_MAGICTURRET_2	弓砲台同様、撃てる回数には限りがあるので\n注意して使用しましょう
MID_TUT_BMAP_QUICKSAND_TITLE	流砂
MID_TUT_BMAP_QUICKSAND_0	「流砂」はそこから出る時にのみ\n移動力を多く必要とする\n特殊な地形です
MID_TUT_BMAP_QUICKSAND_1	うかつに進入すると身動きが\nとりづらくなってしまうので\n不利な状況にならないよう気をつけましょう
MID_TUT_BMAP_RECKLESS_TITLE	暴走
MID_TUT_BMAP_RECKLESS_0	「闇シンクロ」している敵は\n「復活の石」を使って復活する際に\n「暴走」状態になることがあります
MID_TUT_BMAP_RECKLESS_1	紋章士の力を暴走させ\n性能が強化されるので注意しましょう
MID_TUT_BMAP_DANCE_TITLE	踊る
MID_TUT_BMAP_DANCE_0	ダンサーは行動済みの味方に隣接すると\n「踊る」コマンドを使用することができます
MID_TUT_BMAP_DANCE_1	「踊る」コマンドを使用すると\n味方が未行動状態に戻り\nもう一度行動することができます
MID_TUT_BMAP_FLAMETURRET_TITLE	火炎砲台
MID_TUT_BMAP_FLAMETURRET_0	ユニットが「火炎砲台」の場所に移動すると\n「砲撃」コマンドを使用できます
MID_TUT_BMAP_FLAMETURRET_1	火炎砲台の「砲撃」は着弾地点周辺を\n広範囲に攻撃し、更に地形に\n「炎」を付与します
MID_TUT_BMAP_FLAMETURRET_2	とても便利な攻撃ですが\n味方も巻き込んでしまうことと\nHPを0にできないことに注意しましょう
MID_TUT_BMAP_PICKUPARING_TITLE	指輪収集
MID_TUT_BMAP_PICKUPARING_0	落ちている指輪の近くに\n\x0E\x06\x03\x00を待機させると\n紋章士を顕現することができます
MID_TUT_BMAP_LINKINGUP_TITLE	出撃中のシンクロ
MID_TUT_BMAP_LINKINGUP_0	顕現した紋章士に指輪\x0E\x01\x08\x00を持たない味方で\n隣接し「会話」をすると\nその場でシンクロ状態になることができます
MID_TUT_BMAP_DRAGONCREST_TITLE	邪竜紋
MID_TUT_BMAP_DRAGONCREST_0	「邪竜紋」を破壊するためには\n邪竜紋の眷属である敵将\n「セピア」と「グリ」を撃破する必要があります
MID_TUT_BMAP_DRAGONCREST_1	二人は邪竜紋の力を使って\n「火山弾」を降らせてきます
MID_TUT_BMAP_VOLCANICBOMB_TITLE	火山弾
MID_TUT_BMAP_VOLCANICBOMB_0	「火山弾」は数ターン毎に着弾します
MID_TUT_BMAP_VOLCANICBOMB_1	当たると味方は大ダメージを受け\n着弾地点にある障害物（大岩）は破壊されます
MID_TUT_BMAP_VOLCANICBOMB_2	着弾地点は、あらかじめ表示されるので\n巻き込まれないよう注意しましょう
MID_TUT_BMAP_AVALANCHE_TITLE	雪崩
MID_TUT_BMAP_AVALANCHE_0	敵の\x0E\x06\x03\x00は\n邪竜紋の力を使って「雪崩」を起こし\n味方を押し流します
MID_TUT_BMAP_AVALANCHE_1	「雪崩」が起きる場所はあらかじめ表示されます\nなるべく注意して行動しましょう
MID_TUT_BMAP_AVALANCHE_2	途中に岩があったり、敵が居たりした場合は\nそれ以上流されることはありません
MID_TUT_BMAP_TURNLIMIT_TITLE	ターン制限
MID_TUT_BMAP_TURNLIMIT_0	一部の戦闘マップでは、クリアまでの\nターン数に制限がかかっていることがあります
MID_TUT_BMAP_TURNLIMIT_1	決められたターン数を超えると敗北となるため\nその前に勝利条件を達成しましょう
MID_TUT_BMAP_DRAGONBEAM_TITLE	邪竜紋砲
MID_TUT_BMAP_DRAGONBEAM_0	異形のルミエルは邪竜紋の力を使って\n広範囲攻撃「邪竜紋砲」を放ってきます
MID_TUT_BMAP_DRAGONBEAM_1	「邪竜紋砲」が命中する範囲は\nあらかじめ表示されます\n当たらないよう注意しましょう
MID_TUT_BMAP_DARKHERALDIC_TITLE	闇の紋章士
MID_TUT_BMAP_DARKHERALDIC_0	「闇の紋章士」は強力な敵ですが、彼らと同じ異界に\n出自を持つ紋章士とシンクロ・エンゲージしている\n味方の攻撃なら、大きなダメージを与えられます
MID_TUT_BMAP_BARRIER_TITLE	闇の結界
MID_TUT_BMAP_BARRIER_0	大邪竜ソンブルは闇の紋章士たちの\n作る「闇の結界」によって護られ\nダメージを減少させられてしまいます
MID_TUT_BMAP_BARRIER_1	「闇の結界」は「闇の紋章士」を倒すことで\n効果を弱くすることができます
MID_TUT_BMAP_ENGAGERING_TITLE	約束の指輪
MID_TUT_BMAP_ENGAGERING_0	「約束の指輪」は支援Aになった仲間に\n渡すことができ、その相手と強い絆を\n結ぶことができるアイテムです
MID_TUT_BMAP_ENGAGERING_1	「マイルーム」の「マイチェスト」に\n保管されているので、必要な時に取り出し\n選んだ相手に渡しましょう
MID_TUT_BMAP_ENGAGERING_2	渡したい相手とソラネルで出会えない時は\nマイベッドで休憩をすることで\n会えるようになるかもしれません
MID_TUT_GOD_MARTH_TITLE	紋章士マルス
MID_TUT_GOD_MARTH_0	「紋章士マルス」は華麗な連続攻撃と\n敵を翻弄する軽快な動きを得意としています
MID_TUT_GOD_MARTH_1	シンクロスキル「見切り」は、攻撃時\n敵の反撃が当たりにくくなります
MID_TUT_GOD_MARTH_2	エンゲージ武器「レイピア」は\n騎馬の敵や重装兵に大ダメージを与えられます
MID_TUT_GOD_MARTH_3	エンゲージスキル「神速」は\n攻撃回数を常に＋1します
MID_TUT_GOD_MARTH_4	エンゲージ技「スターラッシュ」は\n目にも止まらぬ連続攻撃を繰り出し\n敵に大ダメージを与えられます
MID_TUT_GOD_SIGLUD_TITLE	紋章士シグルド
MID_TUT_GOD_SIGLUD_0	「紋章士シグルド」は高い機動力を持ち\n戦場を縦横無尽に駆け回ることができます
MID_TUT_GOD_SIGLUD_1	シンクロスキル「再移動」は\n攻撃した後に、もう一度移動が行えます
MID_TUT_GOD_SIGLUD_2	エンゲージ武器「ナイトキラー」は\n騎馬の敵に大ダメージを与えられます
MID_TUT_GOD_SIGLUD_3	エンゲージスキル「迅走」は\n移動が常に＋5されます
MID_TUT_GOD_SIGLUD_4	エンゲージ技「オーバードライヴ」は\n直線に並んだ敵を攻撃しながら\n反対側まで駆け抜ける技です
MID_TUT_GOD_CELICA_TITLE	紋章士セリカ
MID_TUT_GOD_CELICA_0	「紋章士セリカ」は魔法攻撃を得意としており\n「異形兵」などの異形の敵に強い効果を発揮します
MID_TUT_GOD_CELICA_1	シンクロスキル「異形リベンジ」は\n異形の敵から受けたダメージを\n一部、相手に返します
MID_TUT_GOD_CELICA_2	エンゲージ武器「エンジェル」は\n異形の敵に大ダメージを与えられます
MID_TUT_GOD_CELICA_3	エンゲージスキル「重唱」は\nダメージ50％の魔法攻撃による戦闘を\n2回行うことができます
MID_TUT_GOD_CELICA_4	エンゲージ技「ワープライナ」は\n離れた敵のところへとワープ移動し\n強力な魔法攻撃をすることができます
MID_TUT_GOD_MICAIAH_TITLE	紋章士ミカヤ
MID_TUT_GOD_MICAIAH_0	「紋章士ミカヤ」は高い魔力と癒しの力を持ち\n味方を回復することを得意としています
MID_TUT_GOD_MICAIAH_1	シンクロスキル「杖使い」は\nシンクロ中の味方を\n兵種に関係なく杖が使えるようにします
MID_TUT_GOD_MICAIAH_2	エンゲージ武器「シャイン」は\n光魔法で攻撃を行い、その後\n周囲を明るく照らすことができます
MID_TUT_GOD_MICAIAH_3	エンゲージスキル「増幅」は\n杖の射程や効果範囲を増加させます
MID_TUT_GOD_MICAIAH_4	エンゲージ技「大いなる癒しの手」は\n使用者のHPと引き換えに\n味方全員のHPを全回復することができます
MID_TUT_GOD_ROY_TITLE	紋章士ロイ
MID_TUT_GOD_ROY_0	「紋章士ロイ」は攻守のバランスに優れ\n最前線で活躍することを得意としています
MID_TUT_GOD_ROY_1	シンクロスキル「踏ん張り」は、ある程度なら\n一度に戦闘不能になるダメージを受けても\nHPを1残して耐えることができます
MID_TUT_GOD_ROY_2	エンゲージ武器「ランスバスター」は\n武器の相性が逆転し、槍の敵をブレイクできます\n（斧の敵からブレイクされます）
MID_TUT_GOD_ROY_3	エンゲージスキル「超越」は\n一時的にレベルアップし\n能力を大幅に強化できます
MID_TUT_GOD_ROY_4	エンゲージ技「獅子紅蓮焔舞」は\n前方にいる複数の敵にダメージを与え\n移動を阻む「炎」を発生させます
MID_TUT_GOD_LEAF_TITLE	紋章士リーフ
MID_TUT_GOD_LEAF_0	「紋章士リーフ」はあらゆる武器を多彩に操り\n臨機応変に戦うことができます
MID_TUT_GOD_LEAF_1	シンクロスキル「急所ずらし」は\n武器相性が有利な時に、受けるダメージが\n減少します
MID_TUT_GOD_LEAF_2	エンゲージ武器「キラーアクス」は\n必殺の一撃が出やすい斧です
MID_TUT_GOD_LEAF_3	エンゲージスキル「即応」は\n敵から攻撃された時に、自動的に\nより有効な武器に持ち替えて反撃します
MID_TUT_GOD_LEAF_4	エンゲージ技「テトラトリック」は\n剣、槍、斧、弓で連続攻撃を行い\n高確率で敵をブレイクさせることができます
MID_TUT_GOD_LIN_TITLE	紋章士リン
MID_TUT_GOD_LIN_0	「紋章士リン」は、猛攻で相手に反撃の機会を与えず\n勝利する戦法を得意としています
MID_TUT_GOD_LIN_1	シンクロスキル「攻め立て」は\n攻撃相手よりも速さが大きく上回っている時に\n相手の反撃より先に追撃を行います
MID_TUT_GOD_LIN_2	エンゲージ武器「キラーボウ」は\n必殺の一撃が出やすい弓です
MID_TUT_GOD_LIN_3	エンゲージスキル「残像」は\n自分の周囲に残像を生み出し\n「チェインアタック」や「囮」に利用できます
