MID_WU_C_1_IN_#001	朝よ、神竜様…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	ルミエル様に…遅くなったけれど、\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	私がここに来られたことが、届くように。\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	この祭壇に、私が入って許されるのかしら…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	おはよう。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	私がいることを咎めないでいてくれて、感謝するわ。\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	やっぱり貴方は、優しい人…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	祖国は邪竜信仰だった…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	でも、私は神竜が好きよ。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	王女として、その気持ちを口にしたことはないけれど。\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	ここでなら、構わないかしら…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	…綺麗ね。\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	千年の眠りから覚める時も、\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	そんな風だったの？\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	…そう。私も、見られたら良かったわね…\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	ここに来るたびに、\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	私は許されたような気持ちになってしまうわ…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	おはよう。\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	ふふ…随分無防備な寝起きだけれど…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	私に心を許してくれているのなら、\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	嬉しいわ…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	外の世界は疲れることが多いけれど…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	ここにいると何もかもが違う。\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	私は神竜様と共にいて、\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	初めて、自分でいられる気がするの…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	目が覚めたのね…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	え？　朝から楽しいことでもあったのか、って…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	私、笑っていた？\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	そう…私、笑っていたのね…\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	神竜様…少し、会いたくなってしまって…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	起こしてしまってごめんなさい…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	昔の嫌な夢を見て…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	神竜様のところなら大丈夫だと思うなんて、\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	私は子供みたいね……\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	夢を見たの…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	滅びゆくイルシオンの夢を。\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	目が覚めて、すぐここに来ようと思った…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	貴方を見ると、あれはただの夢だと思える気がして…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	…聞いていたでしょう？\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	弱い私を軽蔑していいわ。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	…ああ、そんなに優しい目で見ないで。\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	また私は、貴方に救われたわね…\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	迎えに来たわ、私の神様…\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	ふふ、なんだか新婚のようじゃない？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	私の声で目覚めてくれて嬉しいわ…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	少し話をしてもいい？\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	…ええ、ごめんなさい。早く会いたくて、\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	少しだけ、早く来てしまったの…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	私には『約束の指輪』があるけれど…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	貴方が宿る紋章士の指輪は、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	他の皆にも嵌められるから…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	少し、妬いてしまう時もあるのよ。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	こんなことを考えてはいけないのに、いつも思ってしまうの。\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	ねえ…どうすれば貴方は、\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	私だけの神様になってくれるのかしら…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おはよう。ねえ、近くに来て。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	もっとよく顔を見せて。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	ふふ、幸せ…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	今この時だけは、貴方は私だけの人。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	私だけの…パートナーよ。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	…何度見ても綺麗。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	貴方はずっと、こうして眠っていたのよね。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	今は私の声で目覚めてくれて、嬉しいわ。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	でもたまに思うの…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	貴方が千年の眠りから覚める瞬間にも、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	私がいられたら良かったのにって。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	不思議な気分だわ…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	私は貴方のおかげで強くなれた。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	悪い夢を見ても、戦場で何があっても耐えられる。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	貴方が私を選んでくれたから、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	それだけで全部平気なの…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	好き。大好きよ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	何度言っても足りないくらい…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	私は、貴方を愛しているわ。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはよう。あら、顔が真っ赤よ…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	これで私の気持ちがわかったかしら。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	これからも、何度も伝えるから…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	覚悟していてちょうだいね。\x0E\x04\x00\x00
