MID_WU_C_1_IN_#001	おい。惰眠を貪るな、神竜。
MID_WU_A_1_SOON_#002	完全に寝坊だが…
MID_WU_A_1_SOON_#003	まあ貴様もたまには疲れることぐらいあるだろう。
MID_WU_A_1_SOON_#004	大目に見てやる。
MID_WU_A_1_WAKEUP_#001	起きぬな…
MID_WU_A_1_WAKEUP_#002	であれば、これはどうだ？　
MID_WU_A_1_WAKEUP_#003	コホン。
MID_WU_A_1_WAKEUP_#004	…神竜様、寝坊しちゃだめだよ。
MID_WU_A_1_WAKEUP_#005	早く起きないとみんなに怒られるよー！
MID_WU_A_1_HELLO_#001	目覚めたか。
MID_WU_A_1_HELLO_#002	なんだと？　懐かしい誰かの夢を見た？
MID_WU_A_1_HELLO_#003	貴様の夢になど興味はない。
MID_WU_A_1_HELLO_#004	さっさと部屋を出て、顔でも洗って来い。
MID_WU_A_2_IN_#001	まだ起きる時間ではないが…
MID_WU_A_2_IN_#002	我が来てやったぞ。喜べ。
MID_WU_A_2_SOON_#001	貴様、なぜ起きて欲しくない時に限って
MID_WU_A_2_SOON_#002	容易く起きる。
MID_WU_A_2_SOON_#003	我が折角、わざわざ枕元に菓子を…
MID_WU_A_2_SOON_#004	何でもない。
MID_WU_A_2_WAKEUP_#001	ふふふ…
MID_WU_A_2_WAKEUP_#002	以前、菓子を喜んでいたからな。
MID_WU_A_2_WAKEUP_#003	また薄味のものを作ってきてやったぞ。
MID_WU_A_2_WAKEUP_#004	こうしてこっそり枕元に置いて…っと。
MID_WU_A_2_WAKEUP_#005	うお！？
MID_WU_A_2_HELLO_#001	よう神竜！
MID_WU_A_2_HELLO_#002	今日はまだ早い。
MID_WU_A_2_HELLO_#003	もう少し寝ていた方が良いのではないか？　
MID_WU_A_2_HELLO_#004	なに、もう起きる？
MID_WU_A_2_HELLO_#005	では、これはまた次回だな…
MID_WU_S_1_IN_#001	この我に毎日起こされるとは、
MID_WU_S_1_IN_#002	つくづくお前は幸せ者だな？
MID_WU_S_1_SOON_#001	おはよう。
MID_WU_S_1_SOON_#002	お前の寝起きの悪さも、
MID_WU_S_1_SOON_#003	ようやく可愛く思うようになってきた。
MID_WU_S_1_SOON_#004	…今日もその瞳が一番に我を映すこと、
MID_WU_S_1_SOON_#005	嬉しく思うぞ。
MID_WU_S_1_WAKEUP_#001	今日はどの様な夢を見ているのだ？
MID_WU_S_1_WAKEUP_#002	ここから見れば、
MID_WU_S_1_WAKEUP_#003	我のいた世界も夢現のようなもの。
MID_WU_S_1_WAKEUP_#004	もしかしたら…
MID_WU_S_1_WAKEUP_#005	数多ある世界の中では、
MID_WU_S_1_WAKEUP_#006	我が貴様を呪文で顕現し、
MID_WU_S_1_WAKEUP_#007	戦う世界もあるのかもしれんな。
MID_WU_S_1_WAKEUP_#008	でも、我には…
MID_WU_S_1_WAKEUP_#009	お前とただ一つの指輪で結ばれたこの世界が、
MID_WU_S_1_WAKEUP_#010	何より愛おしい。
MID_WU_S_1_HELLO_#001	聞こえていたか？
MID_WU_S_1_HELLO_#002	二度は言わんぞ。
MID_WU_S_1_HELLO_#003	今日は時間がある
MID_WU_S_1_HELLO_#004	…我がどれだけお前を恋しく思っているか、
MID_WU_S_1_HELLO_#005	その身に解らせてやろう。
MID_WU_S_2_IN_#001	パートナーたる我が来てやったぞ。
MID_WU_S_2_IN_#002	嬉しいなら、今すぐに起きてみろ。
MID_WU_S_2_SOON_#001	ふっ…応じたか。
MID_WU_S_2_SOON_#002	ならば此方も素直に迎えてやろう。
MID_WU_S_2_SOON_#003	…おはよう。
MID_WU_S_2_SOON_#004	我はお前のその、
MID_WU_S_2_SOON_#005	馬鹿正直で素直なところが…
MID_WU_S_2_SOON_#006	何よりも好きだぞ。
MID_WU_S_2_WAKEUP_#001	起きぬか。
MID_WU_S_2_WAKEUP_#002	…偶に思ってしまうのだ。
MID_WU_S_2_WAKEUP_#003	もしもこのまま目覚めなかったらと。
MID_WU_S_2_WAKEUP_#004	かつてのお前や、かつての姉のように…
MID_WU_S_2_WAKEUP_#005	また千年眠り続けたら、
MID_WU_S_2_WAKEUP_#006	今度こそ我は孤独で壊れてしまうかもしれない。
MID_WU_S_2_WAKEUP_#007	我は自分が怖いのだ。
MID_WU_S_2_WAKEUP_#008	大切なお前を喪った時、
MID_WU_S_2_WAKEUP_#009	狂わずにいられる自信がない…
MID_WU_S_2_HELLO_#001	起きたか。
MID_WU_S_2_HELLO_#002	いや…別に何も言っていない。
MID_WU_S_2_HELLO_#003	目覚めたのならそれで良い。
MID_WU_S_2_HELLO_#004	…良いか。
MID_WU_S_2_HELLO_#005	いつか永遠に眠る時は、
MID_WU_S_2_HELLO_#006	我より後でなければ許さぬぞ。
