MID_WU_C_1_IN_#001	チャオー！　神竜様、すがすがしい朝だよーっ！\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	ちゃんと一人で起きるんだよ。神竜様。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	おっはよー！\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	今日もだーい好きだよ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	ああ、幸せだなあ。\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	…あたしが女王になっても毎日こうして、\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	おはようって言えるといいな。\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	会いたくなったから、来ちゃった。\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	起こしちゃっても謝らないよ。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	えへへ、いつもなら遠慮しちゃうけど、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	あたしたちパートナーだもんね。\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	会いたい時に、好きな人に会える自由をくれて、\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	ありがとう。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	まさか『約束の指輪』を貰うことで、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	今までよりもっと自由になるとは思わなかったよ。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	これがあるから、いくらでも力を貸せる。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	好きな時に会いに来られる。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	でも…不思議だね。\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	あたしの自由は縛られてないのに、\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	どんどんあなたから離れたくなくなるの。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	おはよう。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	会いたい気分は満たされたから、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	鍛錬でもしてくるね！\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	今日も大好き。\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	あなたもずーっと、\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#006	おんなじ気持ちだといいな。\x0E\x04\x00\x00
