MID_ACHIEVE_RELIANCE_FIRST	\x0E\x01\x00\x00と支援会話を行った
MID_ACHIEVE_INVESTMENT_FILENE	フィレネに投資を行った
MID_ACHIEVE_INVESTMENT_BRODIA	ブロディアに投資を行った
MID_ACHIEVE_INVESTMENT_IRCION	イルシオンに投資を行った
MID_ACHIEVE_INVESTMENT_SOLUM	ソルムに投資を行った
MID_ACHIEVE_INVESTMENT_FILENE_STAGE_COUNT	フィレネの投資段階が\x0E\x01\x00\x00になった
MID_ACHIEVE_INVESTMENT_BRODIA_STAGE_COUNT	ブロディアの投資段階が\x0E\x01\x00\x00になった
MID_ACHIEVE_INVESTMENT_IRCION_STAGE_COUNT	イルシオンの投資段階が\x0E\x01\x00\x00になった
MID_ACHIEVE_INVESTMENT_SOLUM_STAGE_COUNT	ソルムの投資段階が\x0E\x01\x00\x00になった
MID_ACHIEVE_INVESTMENT_ALL_STAGE_MAX	全ての国の投資段階を最大にした
MID_ACHIEVE_INVESTMENT_MONEY_COUNT	投資金額の合計が\x0E\x01\x00\x00Gになった
MID_ACHIEVE_COOK_FIRST	料理を初めて行った
MID_ACHIEVE_COOK_COUNT	料理を\x0E\x01\x00\x00回行った
MID_ACHIEVE_COOK_RANK_FIRST	出来栄え\x0E\x01\x00\x00の料理を初めて行った
MID_ACHIEVE_COOK_RANK_COUNT	出来栄え\x0E\x01\x00\x00の料理を\x0E\x01\x01\x00回行った
MID_ACHIEVE_SLEEP_FIRST	初めてお目覚め会話が発生した
MID_ACHIEVE_SLEEP_COUNT	\x0E\x01\x00\x00回お目覚め会話が発生した
MID_ACHIEVE_WAKEUP_EVENT_C_COUNT	仲間\x0E\x01\x00\x00人とお目覚め会話Cが発生した
MID_ACHIEVE_WAKEUP_EVENT_B_COUNT	仲間\x0E\x01\x00\x00人とお目覚め会話Bが発生した
MID_ACHIEVE_WAKEUP_EVENT_A_COUNT	仲間\x0E\x01\x00\x00人とお目覚め会話Aが発生した
MID_ACHIEVE_WAKEUP_EVENT_S	お目覚め会話\x0E\x08\x02\x1A\x18RelianceRingが発生した
MID_ACHIEVE_ARENA_UNIT_BATTLE_FIRST	鍛錬の間で仲間と初めて戦った
MID_ACHIEVE_ARENA_UNIT_BATTLE_COUNT	鍛錬の間で仲間と\x0E\x01\x00\x00回戦った
MID_ACHIEVE_ARENA_UNIT_WIN_FIRST	鍛錬の間で仲間に初めて勝利した
MID_ACHIEVE_ARENA_UNIT_WIN_COUNT	鍛錬の間で仲間に\x0E\x01\x00\x00回勝利した
MID_ACHIEVE_ARENA_GOD_BATTLE_FIRST	鍛錬の間で紋章士と初めて戦った
MID_ACHIEVE_ARENA_GOD_BATTLE_COUNT	鍛錬の間で紋章士と\x0E\x01\x00\x00回戦った
MID_ACHIEVE_ARENA_GOD_WIN_FIRST	鍛錬の間で紋章士に初めて勝利した
MID_ACHIEVE_ARENA_GOD_WIN_COUNT	鍛錬の間で紋章士に\x0E\x01\x00\x00回勝利した
MID_ACHIEVE_WEAPON_BUY_FIRST	武器を初めて購入した
MID_ACHIEVE_WEAPON_BUY_COUNT	武器を\x0E\x01\x00\x00個購入した
MID_ACHIEVE_SWORD_BUY_COUNT	剣系の武器を\x0E\x01\x00\x00個購入した
MID_ACHIEVE_LANCE_BUY_COUNT	槍系の武器を\x0E\x01\x00\x00個購入した
MID_ACHIEVE_AXE_BUY_COUNT	斧系の武器を\x0E\x01\x00\x00個購入した
MID_ACHIEVE_BOW_BUY_COUNT	弓系の武器を\x0E\x01\x00\x00個購入した
MID_ACHIEVE_KNIFE_BUY_COUNT	短剣系の武器を\x0E\x01\x00\x00個購入した
MID_ACHIEVE_MAGIC_BUY_COUNT	魔道書系の武器を\x0E\x01\x00\x00個購入した
MID_ACHIEVE_FIST_BUY_COUNT	体術系の武器を\x0E\x01\x00\x00個購入した
MID_ACHIEVE_WEAPON_SELL_FIRST	武器を初めて売却した
MID_ACHIEVE_WEAPON_SELL_COUNT	武器を\x0E\x01\x00\x00個売却した
MID_ACHIEVE_ITEM_BUY_FIRST	道具を初めて購入した
MID_ACHIEVE_ITEM_BUY_COUNT	道具を\x0E\x01\x00\x00個購入した
MID_ACHIEVE_ROD_BUY_COUNT	杖を\x0E\x01\x00\x00個購入した
MID_ACHIEVE_ITEM_SELL_FIRST	道具を初めて売却した
MID_ACHIEVE_ITEM_SELL_COUNT	道具を\x0E\x01\x00\x00個売却した
MID_ACHIEVE_ACCESSORIES_BUY_FIRST	アクセサリーを初めて購入した
MID_ACHIEVE_ACCESSORIES_BUY_COUNT	アクセサリーを\x0E\x01\x00\x00個購入した
MID_ACHIEVE_ACCESSORIES_CHANGE_FIRST	アクセサリーを初めて着せ替えた
MID_ACHIEVE_ACCESSORIES_CHANGE_COUNT	アクセサリーを\x0E\x01\x00\x00回着せ替えた
MID_ACHIEVE_WEAPON_FORGING_FIRST	武器の錬成を初めて行った
MID_ACHIEVE_WEAPON_FORGING_COUNT	武器の錬成を\x0E\x01\x00\x00回行った
MID_ACHIEVE_SWORD_FORGING_COUNT	剣系の武器を\x0E\x01\x00\x00回錬成した
MID_ACHIEVE_LANCE_FORGING_COUNT	槍系の武器を\x0E\x01\x00\x00回錬成した
MID_ACHIEVE_AXE_FORGING_COUNT	斧系の武器を\x0E\x01\x00\x00回錬成した
MID_ACHIEVE_BOW_FORGING_COUNT	弓系の武器を\x0E\x01\x00\x00回錬成した
MID_ACHIEVE_KNIFE_FORGING_COUNT	短剣系の武器を\x0E\x01\x00\x00回錬成した
MID_ACHIEVE_MAGIC_FORGING_COUNT	魔道書系の武器を\x0E\x01\x00\x00回錬成した
MID_ACHIEVE_FIST_FORGING_COUNT	体術系の武器を\x0E\x01\x00\x00回錬成した
MID_ACHIEVE_ENGRAVE_FIRST	武器に初めて紋章を刻んだ
MID_ACHIEVE_ENGRAVE_COUNT	武器に\x0E\x01\x00\x00回紋章を刻んだ
MID_ACHIEVE_NETMATCH_FIRST	異界の試練を初めて行った
MID_ACHIEVE_NETMATCH_COUNT	異界の試練を\x0E\x01\x00\x00回行った
MID_ACHIEVE_NETMATCH_WIN_FIRST	異界の試練で初めて勝利した
MID_ACHIEVE_NETMATCH_WIN_COUNT	異界の試練で\x0E\x01\x00\x00回勝利した
MID_ACHIEVE_RELAYBATTLE_FIRST	繋戦の試練を初めて行った
MID_ACHIEVE_RELAYBATTLE_COUNT	繋戦の試練を\x0E\x01\x00\x00回行った
MID_ACHIEVE_RELAYBATTLE_WIN_FIRST	繋戦の試練で初めて勝利した
MID_ACHIEVE_RELAYBATTLE_WIN_COUNT	繋戦の試練で\x0E\x01\x00\x00回勝利した
MID_ACHIEVE_SERIESBATTLE_RANK1	連戦の試練「\x0E\x01\x00\x00」で最低難易度を完勝した
MID_ACHIEVE_SERIESBATTLE_RANK	連戦の試練「\x0E\x01\x00\x00」で難易度\x0E\x01\x01\x00を完勝した
