MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nThis army's too pretty. It's not right.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nIts magical potency more than makes up for the\nlack of staying power. I'd swear by it!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nIt can really do all that?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nDon't take my word for it. Give it a try!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nOoo, that does smell delightful! Let's see what\na spritz does for me. What do you think?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nWhoa! I think we found the missing piece of the\npuzzle! It works even better than I thought!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nReally? My image is finally complete?\nI'm entirely irresistible?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nOh, absolutely!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06アンナ\nTell you what, I'll give you a little as a sample.\nIf you like it, come back and buy it, OK?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, Lady Anna? Can I talk to you for a minute?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nOh, Princess Hortensia! How'd it go with that\nperfume? Ready to place a full order yet?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nI've decided not to buy any, actually.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nHuh? Did it not work?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, no, it worked great. My whole look came\ntogether. I was the center of attention.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nEven so...the perfume's not for me.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nBut why? You seemed like you had your heart\nset on being popular.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nI love wearing makeup and perfume, but I think\nI'll steer clear of the enchanted stuff.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nMagic is a shortcut. I want people to be wowed\nby my cuteness and charm─not by a gimmick.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\nSorry, Princess Hortensia. I guess I pitched you\nthe wrong product.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, it was exactly what I needed at the time.\nI wouldn't have realized how I felt otherwise.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nReally, I'm nothing but grateful.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nWhoa.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06アンナ\nYou're more amazing to me now than when you\nwere wearing that perfume.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nAw, thanks! From now on, my charm is gonna\nbe just that. No quick fixes. All me.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06アンナ\nAnd I'm gonna keep building my business until\nI'm the number-one merchant in the world!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nSounds like a plan, young lady.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nOn that note, do you want to have another look\nat my non-magical beauty line?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nBeauty products or otherwise, I've got all the\ntools you need in your quest for popularity!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nHaha, go on, you smooth talker!\x0E\x04\x00\x00
