MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nExcuse me, Divine One. I wanted to thank you\nfor aiding me in battle the other day.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHello once again, Divine One. I've come to\ngive you...this gift.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nOh, Citrinne! What a gorgeous bouquet!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nI thought of you as I picked each flower. I hope\nthese will suffice...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nYou hand-picked all of these flowers for me?\nThat's a wonderful gesture.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nCitrinne? Are you OK?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nI once had a very close friend who loved gifts...\nand would make a game of begging for things.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nEach gift made her so happy. Over time, it\nbecame a natural part of our rapport.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\nThen, one day, I surprised her with a bouquet\njust like this. She begged for a dress instead...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nWhen I asked if she didn't like the flowers, she\ngrew angry. She said I was being...cheap.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nThat's awful. Is that why you offered to give me\nsuch expensive gifts?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nYes. That's why.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nIf someone won't be your friend unless you buy\nthings for them, that isn't a real friendship.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nI think this bouquet is a wonderful gift, Citrinne.\nIt makes me very, very happy. Thank you.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nI'm so glad to hear it. I finally found the right\nway to express my gratitude.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nThat makes me very, very happy as well.\nThank you, Divine One.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0A\x08リュール\nHere, Citrinne. Have a look at this.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nシトリニカ\nIs that a dried flower? It looks familiar...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nIt's from the bouquet you gave me. I carefully\ndried each flower for use as a decoration.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh! Yes, of course! I'm delighted to see how\nyou've taken such good care of them.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nI think of your kindness each time I look at\nthem, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nシトリニカ\nWhat a lovely thought. Thank you for sharing\nthis with me.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nI didn't call you over just to show you\nthe flower.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nThis time, I have a gift for you.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nシトリニカ\nYou do? For me? What might that be?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nThis. The Pact Ring.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nシトリニカ\nWhat?!\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nシトリニカ\nBut this is a historic piece of jewelry. I suspect\nit's worth more than all of my riches combined!\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nシトリニカ\nWhy would you give this to me?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nDon't think of how much it's worth. I'm giving\nthis to you as a token of our friendship.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nI want you to be my closest confidant, Citrinne.\nAre you willing to walk and fight by my side?\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nシトリニカ\nOh my...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nシトリニカ\nOf course I am, Divine One. I will happily accept\nthis gift.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nI'm so glad to hear it.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nシトリニカ\nHeh, you know, I love to give gifts, but I rarely\nreceive them myself...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nシトリニカ\nYou were right about sentimental value. A gift\nfrom the heart is a wonderful gift indeed.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nCouldn't agree more.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nシトリニカ\nThank you, Divine Dragon \x0E\x06\x03\x00...\nI must be the luckiest person in the world.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nシトリニカ\nWhen this war is over, we must attend a formal\nball together. I know that's a long way off...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nWhy wait? We could just dance right here\nand now.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nThink of it as a formal-ish ball. Just for us.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nシトリニカ\nI'd like that very much.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nシトリニカ\nWhat a gift exchange this is─you and I both\noffering to support one another. It's priceless.\x0E\x04\x00\x00
