MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nスタルーク\nAh! Prince Fogado!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nNo, never. I would never allow a thought like\nthat to cross my mind.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nMy brother is perfect. That's the plain truth.\nIt's not his fault I can't compare.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nAt the same time, I am aware that those truths\nform the backbone of my gloomy personality.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nSo instead of holding a grudge against him, you\njust accepted that you were inferior.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\nYou know what you are? A kind person. Maybe\nthat's why I like you so much.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nOh... Gah...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nYou... You're saying you like me? You're such\nan inspiring person, Prince Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nI must not risk dragging you down!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nI have to go again! I'm sorry! I'm sorryyy!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0C\nフォガート\nAnd he's gone. Well, see you around,\nPrince Alcryst!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHello, Prince Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nGuh... Prince Fogado!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nHaha, I wonder when you'll stop greeting me\nlike that.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nI'm sorry. Your smile shines so bright... My first\nimpulse is always to flee.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nI must ask...how did you grow to be such a\npowerful beacon of good humor?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nYou want to know about my childhood? Well, I\ncan give you a quick synopsis.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nNot that there was anything all that remarkable\nabout it.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nBeing the first prince of Solm, I received a\nformal education.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nBut there weren't many rules holding me down.\nI was allowed to roam free.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nI used to sneak out of the palace all the time\nand just...hit the town. Have fun.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nAmazing. I'd heard that the people of Solm\ncelebrate their freedom...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nBut I had no idea that applied to royalty as well.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nI'm beginning to understand how that lifestyle\nshaped the prince I see now...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nA warm, outstanding person who makes new\nfriends as easily as he greets the day.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nThanks, Prince Alcryst. I appreciate that.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nAh... Once again, your radiant gaze... I might\ncrumble into ashes!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nHold up! Before you run away, let me\nsay something.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nAnd this is going to be hard, because you're\nterrible at taking compliments.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nOh no. I'm so sorry.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nNo, not that. Maybe, just this once, could you\nbelieve me when I say I like you?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nI'd even go so far as to call you, my fellow\nkid-brother prince, a friend.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nOh... Oh, Prince Fogado.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nI do. I-I believe you.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nThank you for calling someone like me a friend.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nI like you, too, Prince Fogado...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nフォガート\nAt last, you finally came out and said it!\nYou liiike me! You liiike me!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nAh! Ahh! I don't know what came over me!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nTo think I could reciprocate─I had no right. I'm\nso sorry.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nフォガート\nWhat are you apologizing for? Now we know we\nlike each other. We're basically best friends.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nスタルーク\nBest friends? I've never had a best friend.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nスタルーク\nI will admit, that makes me a bit─ No, it makes\nme a LOT happy. Thank you, Prince Fogado.\x0E\x04\x00\x00
