MID_WU_C_1_IN_#001	Hello!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	I think you should try...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	the spicy pepper scent.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	It'll pep you right up...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	so it's perfect for mornings.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Hey! Your partner's here to wake you!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Aw, you're already up? What a shame.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	I had something really nice all planned out.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Hah, of course I know how to be nice!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	I've been wanting to show you Firene's\ngorgeous flower fields...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	but there's not a lot of time for sightseeing\nwith the war and all.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	I could have flowers delivered here.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	But even if I filled the room with them, it\nwouldn't be the same.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Someday, though...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	we'll see those fields together. Promise.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	In the meantime, I'll press one of my favorite\nflowers for you.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Maybe I'll pin it, too, so you can wear it. I think\nthat'd look nice.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Time for our morning run!\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Wake up, sleepyhead.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Good, you're awake. Ready to go?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Let's start with some stretches...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	and a few warm-up laps. Then we'll pick up\nthe pace.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	I took a few laps on my own before I came here.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Sort of like you were doing for a while.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Running alone is fine and all, but it's starting to\nfeel wrong to go without you.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	I'm just so much stronger when I have my friend\nand partner with me.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Morning! Ready to get moving?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	All's right with the world...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	when we're running side by side.\x0E\x04\x00\x00
