MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nThe war council is not for a while yet. I should\nfind a way to fill the time.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04エル\nEven the mind of a dragon is unable to retain\nthe whole of such a lengthy interval of time.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	And so, many of our memories, beginning with\nthe least noteworthy, fade away and are lost.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	That is why, to me, a memorable song is more\nvaluable than any amount of singing skill.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	The recollection of your music will endure in my\nmind for hundreds, perhaps thousands, of years.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nWow. That's quite a compliment, Lady Nel.\nThank you.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04エル\nDo you feel any better?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nOh, yeah. Loads better! Being down in the\ndumps really isn't my style anyway.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Now I gotta sing my heart out every time I see\nyou. That way you'll never forget me!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04エル\nHaha! There is no need to concern yourself\nabout that.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	The memory of you is etched forever on\nmy mind.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nミスティラ\nHahaha, good! But that doesn't mean I'm\ngonna stop making up new songs.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Oh, but I've got one for you now! I call it "Riding\nthe Flavor Wave." Ready to hear it?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04エル\nNaturally.\x0E\x04\x00\x00
