MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nUgh! I tire of hearing that! It is not your right\nto deny me this way!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nFace me in mock battle now, or...I will fight\nyour artwork in your place.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nWhat?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nYou always have time for some trivial\nobsession! Never for your friend!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nHow are we supposed to bond?!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nCalm yourself. I hear your *concerns,* but\ndestroying my art will not make this better.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nIt would only *ensure* I not speak to you again.\nPut down your weapon, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nWhat about this is *amusing* to you?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nThis tense mood! Do you feel it? It is as if we\nare rivals, destined for conflict!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nAt last, you are taking me seriously!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nIf you will not face me as my friend, then\nat least you will do so as my opponent!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\n*Enough.*\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nWhat, standing down already? Does your art\nmean so little to you after all?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nI have seen your eyes. You lack the conviction\nof a killer. You are a *child* seeking attention.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\nChild?! How dare you!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nLeave me. This is a *genuine* warning.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06カゲツ\nI get no say in this at all, do I?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nZelkov! It is now time...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nfor me to stop challenging you. It does not\nmatter anymore.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nYou seem less than *pleased* about it.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nI know that you...dislike me.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n*Dislike* you? What makes you say so?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nCome on. It is clear you and Princess Ivy both\ncare little for me.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nIt makes me sad. I...wanted to be friends.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n*Friends*? Ugh, you are a fool.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nI had meant to wait until Princess Ivy was\npresent to *reveal* this, but...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\n*Here* is what I have been painting.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nWhat is this?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nMy *completed* work. The three of us─you,\nPrincess Ivy, and myself.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nYou...included me. Why?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nPrincess Ivy intended this as a gift for you.\nTo *celebrate.*\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nCelebrate what?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nThe day she and I *met* you.\nHave you forgotten?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nToday is the anniversary of that day.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nYou came to Elusia Castle in search of\nchallenging *duels.*\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nYour search for stronger *opponents* led you\nall the way from your homeland to us.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nI defeated every foe the castle could muster\nfor me...until you.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nThat was my first ever defeat. I was crushed.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nBut King Hyacinth was *delighted* by your\nskill. He pressed you into Princess Ivy's service.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nYou and Princess Ivy had such looks on\nyour faces.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06カゲツ\nYou were both so displeased and so angry.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nYou had just cut your way through every castle\n*guard* for reasons we could only guess at.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06カゲツ\nYes, it must have looked bad to you. I am sorry\nfor that.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nI was indeed rather angry at the time, but\nall is *forgiven* now.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nPrincess Ivy has forgiven you as well. That is\nwhy she now *celebrates* the day we met.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nYou are important to her.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06カゲツ\nZelkov... Thank you...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ゼルコバ\nAre you...*crying*?\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ゼルコバ\nNo matter. I was about to go find Princess Ivy.\nPerhaps you would *accompany* me?\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06カゲツ\nI will wait here. I don't want her to see me\nthis way.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nDo not *concern* yourself about that.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nPrincess Ivy might actually *approve* of seeing\nthis side of you.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06カゲツ\nDo you think so? Are you both so truly\naccepting of me?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nCome, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06カゲツ\nMy heart bursts with love for you and Princess\nIvy! My exploded heart will love you forever!\x0E\x04\x00\x00
