MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x06\x04ルイ\nAh, Yunaka. You're just in time.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nI'm sure you've realized by now, but...I prefer it\nthat way. I don't like talking about myself.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nIt had not escaped my notice.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nIf I had to do it, I'd be forced to get evasive and\nlie to you. I don't like lying to my friends.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nThat's why it's better if I don't say much about\nmy past. Or about myself at all.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nWell, I see nothing wrong with that.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nEven putting our pasts aside, I believe we two\ncan understand each other fairly well.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nYou think?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nSo long as we have tea and a friend to share it\nwith, we can discuss whatever we please.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nBesides, I'm rather loquacious myself, so it's\nnice to find someone willing to listen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nListening can be a bit draining, so I thank you\nfor humoring me in that regard.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nAww, Louis...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nIf you feel you must contribute, we can discuss\nour countries, our friends, the future─anything.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nAre you sure you won't mind being friends with\nsomeone who never talks about her past? Ever?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ルイ\nOf course I won't.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ルイ\nI am friends with you as you are. Whoever you\nmay have once been is no issue.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nNow then, if we are to keep this tea party going,\nI must brew us another pot.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ユナカ\nThank you, Louis.\x0E\x04\x00\x00
