MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nSo, he just woke up and now he's washing his\nface. I'll finally learn his secret.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nWith skin that dewy, he must be using a\nspecial moisturizer.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nWhat could it be? I have to know.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\n♪Hmm-hmm!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nHow strange. No moisturizer...at all.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nHe washed his face and then just moved right\non to washing his hair.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nAnd he's not even using shampoo.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ロサード\nNice and refreshed! Now, time to find\nsome breakfast.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nWhat? No oil-infused conditioner or scented\nstyling cream? He─ He didn't even dry it!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nIs this really happening? Does Rosado truly\nhave no special beauty routine?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nNo... I bet it has something to do with what he\neats. Surely that's his beauty trick.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nI will not give up until I figure this out. If Rosado\ncan look that...incredible...so can I.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\nThe roast chicken's delicious today. Want\nsome, Seadall?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nO spirit of the cards! Cast your divine light and\nreveal Rosado's beauty secret to me...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nNo one can be that beautiful and not have\na trick up their sleeve!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\nHe...he lives as he pleases, and he eats as\nhe pleases!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nAnd here I am, being so particular for the sake\nof my dancing─foregoing flavor.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nSpirit of the cards, are you really and truly and\ntotally certain he does nothing at all special?!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nHahah! Have you been studying my routine?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ロサード\nIf so, you shouldn't need to ask─you've already\nseen that I don't do anything special.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nI suppose you're right.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nRosado, it's just incredible that you do nothing\nat all and yet always look so...good.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nAnd no need to be jealous of me. You can live\nhowever you want too.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nThat's the secret─living however I want?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nHm. Is avoiding the sorts of food I truly like\nactually taking a toll on my dancing?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nPerhaps the secret to looking and feeling great\nis just...living a life guided by one's desires.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nAll my focus on flavorlessness is taking the\nflavor out of my artistry!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nThat's it! It has to be! Rosado's way of life\nproves it!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nAll right, then, I'm not going to deny myself\nthe things I love anymore!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nI'll eat roast chicken dipped in all kinds of honey\nsauce. Sweet! Spicy! Extra-sweet! Extra-spicy!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nFrom here on out, I'm going to eat whatever my\nheart desires and sleep whenever I want!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ロサード\nHope he doesn't overdo it. Too much of\nanything is no good for you.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nAh, well...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nNo harm letting him indulge himself a while.\nThe important thing right now is he's happy.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nHe'll figure out the rest as he goes!\x0E\x04\x00\x00
