MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAmber, I wish to *speak* with you.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nWhoa. You like to knit, Zelkov? I never, ever\nwould have guessed that.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nIt should not *surprise* you that I pursue a craft\nof such delicate grace and elegance.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nTo the point, I require the highest-quality alpaca\nwool to craft my *ultimate* masterpiece.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アンバー\nI'm into it! If it's just for crafting, I'll get you a\nbunch of the stuff. No sweat.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nBesides, I've gotta see what you make with it.\nI bet it's gonna be weird.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nThank you, Amber. I am grateful for your\n*assistance* in this matter.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08アンバー\nSorry to keep you waiting, Zelkov! Guess what\njust arrived? It's the alpaca wool from home!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nMost excellent. With respect to *fluff,* it\nsurpasses my wildest expectations.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nOf course it does! Alpaca wool is warm, light,\nand super tough. It's the perfect material!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nThis is indeed the finest. The creation of my\n*ultimate* masterpiece is now assured.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nWhen all the knitting world lays eyes upon my\nwork, Amber, *you* will have their gratitude.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nMy family knits things with alpaca wool too.\nSee my sweater under here? My dad made this!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nI see. Now, as to the matter of *payment...*\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nOh, I don't need any money. Consider it a gift!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nOne must give payment for services rendered.\nOtherwise, one has incurred a *debt.*\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nReally, it's fine. When I wrote to my folks about\nyou, they were happy to send the wool.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nI told them you wanted to craft with our farm's\nfamous fuzzy stuff, and they said it was free!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nYou wouldn't turn down an act of kindness\nfrom some humble alpaca farmers, would you?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nIf it is for the sake of the ones who provided\nit to me, then *reluctantly* I will accept.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nBut they shall have a token of my gratitude.\nA sweater of *pristine* craftsmanship.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nI can express the true extent of my appreciation\n*only* by surpassing the quality of their craft.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アンバー\nWhoa! I bet the folks at home would be thrilled\nto get a sweater knit by you, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nThen it is decided. I will not rest until the whole\nof your family *marvels* at what I produce.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nMy great work is *complete,* Amber. This is\nwhat I will send to your family.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nWhoa! Zelkov! I can't believe it. The stitching...\nThe craftsmanship...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nThis is the most perfect sweater I've ever seen!\nIt even beats my own family's work!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nI have now *expressed* my gratitude. Farewell.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nHey, Zelkov! Wait!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nHm? Do you have some *additional* business?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nI really mean it. You just surpassed generations\nof homegrown knitting skills in a single sweater.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nI know you put a lot of effort into it...but there\nhas to be a secret. How did you do it?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nIdle pursuits provide me a reason to continue\nliving. They are a *failsafe,* of sorts.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nWhat, like a...back-up plan?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nTo me, the most frightening prospect is to live\nwithout purpose. To be *empty* of motivation.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nMy current purpose is to *safeguard* Princess\nIvy. But that is only until peace has been won.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nThat is why I require a *failsafe*─a secondary\npurpose in which to find meaning.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nWhoa. That sounds intense... I mean, I have my\nown goals, but I mostly just have fun every day.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nIn that respect, Amber, I *envy* you.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nListen, Zelkov... If you really do lose your\nreason for living when the war ends...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nWhy don't you move to my old hometown?\nY'know, the alpaca hamlet.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nWhat *purpose* would that serve?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アンバー\nAre you kidding? With knitting skills like yours,\nfolks would be throwing money at you.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nYou could make clothes and decorations out of\nalpaca wool and pet actual alpacas all day!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nI do see a certain...*appeal* in that.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nYou should definitely visit first. Y'know, get a\nfeel for things before you put down roots?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nMy whole family─including me─would\nwelcome you with open arms and hugs to spare!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nVery well. I can commit to a *visit,* certainly.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nWhatever the future may hold, we can have at\nleast that much to look forward to.\x0E\x04\x00\x00
