MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHup! Eh... Hup! Eh... Hup! Eh...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nWell, what about you, then? What brings you\ntrue happiness?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nNothing.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nReally? You've got good friends, you got your\nhealth─none of that does it?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08セリーヌ\nI take joy in those things, to be sure. But I don't\nvalue happiness as a life goal.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セリーヌ\nAfter all, what if I found it?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セリーヌ\nThen my whole life afterward would be spent\nlooking fondly back.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nHaha, really? Even if something better\ncomes along?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08セリーヌ\nThe possibility that it never will is terrifying.\nI couldn't bear it.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08セリーヌ\nI've always yearned for happiness and saw only\nmisery. Like the day I fled from the castle.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08セリーヌ\nIf Firene had fallen or Mother died or you were\nlost to us...I wondered, "How would I respond?"\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08セリーヌ\nAnd now this? If things get worse, and you\nhave to leave... What will I... How can I...\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0E\x0Cアルフレッド\nHey... I'm not gonna die, OK? I'll be fine if I\nstick with my training.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0A\x08セリーヌ\nYou really do have the mind of a barbarian.\nIf only you had the body to match.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0E\x0Cアルフレッド\nHaha, I'll get there! That's why I work out.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, Céline, look! You see that four-leaf clover?\x0E\x04\x00\x00
MID_RELIANCE_A_#040	\x0E\x03\x02\x0A\x08セリーヌ\nHmm? Where?\x0E\x04\x00\x00
MID_RELIANCE_A_#041	\x0E\x03\x02\x0E\x0Cアルフレッド\nRight by your foot. There you go. A small joy.\x0E\x04\x00\x00
MID_RELIANCE_A_#042	\x0E\x03\x02\x0A\x08セリーヌ\nA small joy... That takes me back. We often\nsought such things when we were younger.\x0E\x04\x00\x00
MID_RELIANCE_A_#043	\x0E\x03\x02\x0A\x08セリーヌ\nAt that age, I was better at it than you.\nI wonder when you surpassed me.\x0E\x04\x00\x00
MID_RELIANCE_A_#044	\x0E\x03\x02\x0E\x0Cアルフレッド\nTalking to you makes me feel better.\nChalk up another small joy for me.\x0E\x04\x00\x00
MID_RELIANCE_A_#045	\x0E\x03\x02\x0A\x08セリーヌ\nI'm not certain that counts, but I'm relieved to\nhear that the worst has passed.\x0E\x04\x00\x00
MID_RELIANCE_A_#046	\x0E\x03\x02\x0E\x0Cアルフレッド\nLet me make it up to you, Céline. I'll find lots\nof little joys and bring them to you.\x0E\x04\x00\x00
MID_RELIANCE_A_#047	\x0E\x03\x02\x0E\x0Cアルフレッド\nI can't promise everything will be fine with me,\nbut we can prop each other up...for Firene.\x0E\x04\x00\x00
MID_RELIANCE_A_#048	\x0E\x03\x02\x0A\x08セリーヌ\nYes, Alfred. I will support you in anything.\x0E\x04\x00\x00
MID_RELIANCE_A_#049	\x0E\x03\x02\x0A\x08セリーヌ\nWhatever else happens, we can make sure\nwe return to Firene. Together.\x0E\x04\x00\x00
