MID_H_INFO_WLV_Bullet	Cannonball
MSID_H_VeronicaEngageAtk_CMD_W	Summon a unit that does not\nuse swords, lances, or axes.
MSID_H_VeronicaEngageAtk_Dragon	Use to summon a random unit.\n[Dragon] Summons a powerful unit.\n
MSID_H_VeronicaEngageAtk_Coop	Use to summon a random unit.\n[Backup] Summoned unit has the\n"Dual Strike" skill.
MSID_H_VeronicaEngageAtk_Horse	Use to summon a random unit.\n[Cavalry] Summoned unit gets\nMov+1.
MSID_ByForce	Brute Force
MSID_H_ByForce	While making a physical attack,\ncritical hits deal increased damage.
MSID_Charisma	Charm
MSID_H_Charisma	If unit's attack triggers a chain\nattack, increases chain attack\naccuracy to 90%.
MSID_SuckerPunch	Surprise Attack
MSID_H_SuckerPunch	If unit initiates combat from terrain\nthat provides an Avo bonus, foe\ncannot counterattack.
MSID_RainbowCry	Rally Spectrum
MSID_H_RainbowCry	Use to grant adjacent allies +3 to\nall seven basic stats for 1 turn.
MSID_Rooting	Rally
MSID_H_Rooting_CMD	Grants +3 to all seven basic\nstats for adjacent allies.
MSID_RainbowCry+	Rally Spectrum+
MSID_H_RainbowCry+	Use to grant allies within 2 spaces\n+3 to all seven basic stats for 1 turn.
MSID_Rooting+	Rally+
MSID_H_Rooting+_CMD	Grants +3 to all seven basic\nstats for allies within 2 spaces.
MSID_ChromEngage	Other Half
MSID_H_ChromEngage	If unit initiates combat, Robin chain\nattacks. Grants Mag+10 while\nengaged.
MSID_H_ChromEngage_Dragon	When unit initiates combat, Robin\nchain attacks. Grants Mag+10 while\nengaged.\n[Dragon] Robin chain attacks 2\ntimes.
MSID_H_ChromEngage_Coop	When unit initiates combat, Robin\nchain attacks. Grants Mag+10 while\nengaged.\n[Backup] Guaranteed hit with chain\nattack.
MSID_H_ChromEngage_Covert	When unit initiates combat, Robin\nchain attacks. Grants Mag+10 while\nengaged.\n[Covert] Grants Mov+1 while\nengaged.
MSID_H_ChromEngage_Single	Chain attacks triggered by this unit\nare guaranteed to hit. Grants Str+5\nand Mag+10.
MSID_ChromEngageAtk	Giga Levin Sword
MSID_H_ChromEngageAtk	Use to attack with a magic sword.\nMagic attack that uses physical\nattack power. Swords only.
MSID_H_ChromEngageAtk_Dragon	Use to attack with a magic sword.\nMagic attack that uses physical\nattack power. Swords only.\n[Dragon] Deals extra damage = half\nof Str.
MSID_H_ChromEngageAtk_Fly	Use to attack with a magic sword.\nMagic attack that uses physical\nattack power. Swords only.\n[Flying] Deals extra damage = Bld.
MSID_H_ChromEngageAtk_Magic	Use to attack with a magic sword.\nMagic attack that uses physical\nattack power. Swords only.\n[Mystical] Deals extra damage =\nhalf of Mag.
MSID_H_ChromEngageAtk_CMD	Attack with a magic sword.
MSID_ChromEngageAtk+	Giga Levin Sword+
MSID_H_ChromEngageAtk+	Use to attack with a magic sword.\nMagic attack that uses physical\nattack power. Swords only. Adjacent\nallies chain attack.
MSID_H_ChromEngageAtk+_Dragon	Use to attack with a magic sword.\nMagic attack that uses physical\nattack power. Swords only. Adjacent\nallies chain attack. [Dragon] Deals\nextra damage = half of Str.
MSID_H_ChromEngageAtk+_Fly	Use to attack with a magic sword.\nMagic attack that uses physical\nattack power. Swords only. Adjacent\nallies chain attack.\n[Flying] Deals extra damage = Bld.
MSID_H_ChromEngageAtk+_Magic	Use to attack with a magic sword.\nMagic attack that uses physical\nattack power. Swords only. Adjacent\nallies chain attack. [Mystical] Deals\nextra damage = half of Mag.
MSID_H_ChromEngageAtk+_CMD	Adjacent allies participate in\nchain attack.
MSID_Mag_Tec_1	Mag/Dex +1
MSID_H_Mag_Tec_1	Grants Mag+1 and Dex+1.
MSID_Mag_Tec_2	Mag/Dex +2
MSID_H_Mag_Tec_2	Grants Mag+2 and Dex+2.
MSID_Mag_Tec_3	Mag/Dex +3
MSID_H_Mag_Tec_3	Grants Mag+3 and Dex+3.
MSID_Mag_Tec_4	Mag/Dex +4
MSID_H_Mag_Tec_4	Grants Mag+4 and Dex+4.
MSID_Mag_Tec_5	Mag/Dex +5
MSID_H_Mag_Tec_5	Grants Mag+5 and Dex+5.
MSID_Tec_Spd_1	Spd/Dex +1
MSID_H_Tec_Spd_1	Grants Spd+1 and Dex+1.
MSID_Tec_Spd_2	Spd/Dex +2
MSID_H_Tec_Spd_2	Grants Spd+2 and Dex+2.
MSID_Tec_Spd_3	Spd/Dex +3
MSID_H_Tec_Spd_3	Grants Spd+3 and Dex+3.
MSID_Tec_Spd_4	Spd/Dex +4
MSID_H_Tec_Spd_4	Grants Spd+4 and Dex+4.
MSID_Tec_Spd_5	Spd/Dex +5
MSID_H_Tec_Spd_5	Grants Spd+5 and Dex+5.
MSID_AntiKnifeArts_1	Knife Guard 1
MSID_H_AntiKnifeArts_1	If foe is equipped with a knife, unit\ntakes 1 less damage during combat.
MSID_AntiKnifeArts_2	Knife Guard 2
MSID_H_AntiKnifeArts_2	If foe is equipped with a knife, unit\ntakes 2 less damage during combat.
MSID_AntiKnifeArts_3	Knife Guard 3
MSID_H_AntiKnifeArts_3	If foe is equipped with a knife, unit\ntakes 3 less damage during combat.
MSID_AntiKnifeArts_4	Knife Guard 4
MSID_H_AntiKnifeArts_4	If foe is equipped with a knife, unit\ntakes 4 less damage during combat.
MSID_AntiKnifeArts_5	Knife Guard 5
MSID_H_AntiKnifeArts_5	If foe is equipped with a knife, unit\ntakes 5 less damage during combat.
MSID_AntiSwordArts_1	Sword Guard 1
MSID_H_AntiSwordArts_1	If foe is equipped with a sword, unit\ntakes 1 less damage during combat.
MSID_AntiSwordArts_2	Sword Guard 2
MSID_H_AntiSwordArts_2	If foe is equipped with a sword, unit\ntakes 2 less damage during combat.
MSID_AntiSwordArts_3	Sword Guard 3
MSID_H_AntiSwordArts_3	If foe is equipped with a sword, unit\ntakes 3 less damage during combat.
MSID_AntiSwordArts_4	Sword Guard 4
MSID_H_AntiSwordArts_4	If foe is equipped with a sword, unit\ntakes 4 less damage during combat.
MSID_AntiSwordArts_5	Sword Guard 5
MSID_H_AntiSwordArts_5	If foe is equipped with a sword, unit\ntakes 5 less damage during combat.
MSID_JobSkill_MageCanon	Let Fly
MSID_H_JobSkill_MageCanon	Use to perform a guaranteed-hit,\narea-of-effect attack at the start\nof the next player phase. Unit loses\nequipped weapon.
MSID_H_JobSkill_MageCanon_CMD	Fires blasts for long-range\nattacks guaranteed to hit.
MSID_JobSkill_Wolf	Pack Hunter
MSID_H_JobSkill_Wolf	Allies of the same class as unit\nwithin 3 spaces participate in \nchain attacks.
MID_BONDSRING_Chrom00	Prince of the Halidom of Ylisse, a\nland in another world.
MID_BONDSRING_Chrom01	He cut his way to a hopeful future\nwith the holy sword Falchion.
MID_BONDSRING_Reflet00	This mysterious stranger was taken\nin and befriended by Chrom.
MID_BONDSRING_Reflet01	Their unbreakable bond was forged\nin the flames of battle.
MID_BONDSRING_Veronica00	Daughter of the Emperor of Embla,\na land in another world.
MID_BONDSRING_Veronica01	Her quiet demeanor does little to\nmask her unsettling presence.
MGID_Ring_Chrom	Bracelet of the Shepherd Exalt
MGID_H_Ring_Chrom	The bracelet where Chrom sleeps. An\nexalted prince with a deep trust of\nhis allies and desire to change fate.
MGID_Ring_Reflet	Bracelet of the Shepherd Exalt
MGID_H_Ring_Reflet	The bracelet where Robin sleeps.\nA strategist who lost his memory,\nbut not his tactical skills.
MGID_Ring_Veronica	Bracelet of the Lonely Heir
MGID_H_Ring_Veronica	The bracelet where Veronica sleeps.\nA princess with the power to control\nheroes from other worlds.
MGID_World_Chrom	World of the Princess Exalt
MGID_World_Reflet	World of the Princess Exalt
MGID_World_Veronica	World of the Young Princess
MID_RELAY_Stamp_Chrom_0	You can count on me anytime, friend.
MID_RELAY_Stamp_Reflet_0	I'll have to come up with a new strategy...
MID_RELAY_Stamp_Veronica_0	So many of you...not fair.
MID_BGM_DLC_Field_S16_Combat_ST_Play	Trial of Heroes (Heed Our Summons)
MID_BGM_DLC_Field_S16_Map_ST_Play	Trial of Heroes
MID_BGM_Evt_Advent_Veronica_ST_Play	Heed Our Summons
MID_Hub_Well	Ancient Well
MID_Hub_Area_Event	New Event
MID_Hub_Area_ItemReturn	New Items
MID_Hub_Well_TitleHelp	Select an action.
MID_Hub_Well_ItemExchange	Transform Items
MID_Hub_Well_ItemExchange_TitleHelp	Select unwanted items.
MID_Hub_Well_ItemExchange_Expected	Upgrade Chance
MID_Hub_Well_ItemExchange_Dialog_Title	Transform these items?
MID_Hub_Well_ItemExchange_Dialog_Before	Items to Throw In
MID_Hub_Well_ItemExchange_Dialog_Yes	Transform
MID_Hub_Well_ItemExchange_Get	Acquired
MID_Hub_Well_ItemExchange_Message	You have dropped something in the well. Check\nback after your next battle for something new.
MID_Hub_Well_Nothing1	You feel a mysterious presence...
MID_Hub_Well_Nothing2	There seems to be nothing here right now.
PCTMID_Chrom	"Count on me."
PCTMID_Reflet	"I need a new strategy..."
PCTMID_Veronica	"You will be mine..."
MID_Movie_K19	Emblem Veronica
MID_H_Movie_K19	Emblem Veronica, summoned from the\nBracelet of the Lonely Heir.
MID_Movie_K18	Emblem Chrom
MID_H_Movie_K18	Emblem Chrom, summoned from the\nBracelet of the Shepherd Exalt.
MID_MAP_HIS_EngageSummon	\x0E\x01\x00\x00 used Summon Hero.
MID_MAP_HIS_Contract	\x0E\x01\x00\x00 used Contract.
MID_MAP_HIS_FullBullet	\x0E\x01\x00\x00 used Let Fly.
