MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, you still haven't taken a break?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nThere we go. Looks like everything is in its\nplace. Well, then...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nLet's get started.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nWe have been eating together a lot more often\nlately, haven't we?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nI'm just happy that you're taking the time to sit\ndown for meals.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Well, not counting the times you get too\ndistracted by other things.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nIt is kind of you to show such concern. Thanks\nto you, I've been eating some delicious foods.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Mealtime is a lot more fun since we started\neating together.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	And it's not just meals either. Everything I do\nby your side is more fun, Divine One.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nIt makes me happy to hear you say that.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	I was worried you might find things difficult\nhere, since this world is unfamiliar to you.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nNot at all. I enjoy being here, especially when I\nsee you smiling.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	I will help you face any foe if it gives you more\nreasons to smile.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	I fear no enemy. I'll defeat them all!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nHm-hm! That's reassuring, Zelestia. I feel\nthe same way.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	It's inspiring to be around you. You help me feel\nso much stronger.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nA lot has happened since I arrived here, but...I'm\nglad I came to this world.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Please, allow me to go on standing by your side.\nRely on me.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nOf course. I feel like I can count on you.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, Divine One... Haha, you have some\nsauce on you. Hold still.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nNgh...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nThere. That's better.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	You must have been quite hungry to get sauce\non yourself like that. Hm-hm, how cute.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nHey... I appreciate the thought, but I'm not a\nchild. How embarrassing.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nUm... Thank you for the food.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nYou're welcome! I hope you enjoyed it.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nAh...yes...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nZelestia? What's wrong? You don't seem like\nyourself today.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nI'm just feeling a little anxious.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nWhy? Did something happen?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nI'm afraid these moments of happiness won't\nlast. That the war will only grow more violent.\x0E\x04\x02\x00
MID_RELIANCE_S_#008	What if, starting tomorrow, we can't enjoy\nspending time like this anymore?\x0E\x04\x02\x00
MID_RELIANCE_S_#009	Or if you...or I...don't come back safely?\x0E\x04\x02\x00
MID_RELIANCE_S_#010	These meals have become a daily source of\nhappiness for me. But will there be a next one?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nI had no idea you were holding on to\nthis anxiety...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nI never thought the time I spend with you,\nDivine One, would bring me such joy...and fear.\x0E\x04\x02\x00
MID_RELIANCE_S_#013	War always requires sacrifice. I know this when\nI'm standing on the battlefield.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	And yet... I don't know how I'd cope if I lost\nanother person dear to me.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	I had friends in my other world who I thought\nwould be with me forever. Now they're gone.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nI understand, especially after having to leave\nyour own world behind.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	It will take more than just having fun and\nmaking friends to heal those lingering wounds.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	I'm sorry to have made you worry.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nOh! You don't owe me an apology, Divine One!\nI managed to get worked up all on my own.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nI care about you, and I don't want you to ever\nfeel this way again.\x0E\x04\x02\x00
MID_RELIANCE_S_#021	So, I'm giving you the Pact Ring.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nYou mustn't! The Pact Ring is far too precious.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nI was planning to give it to you eventually as a\npledge that our time together will last.\x0E\x04\x02\x00
MID_RELIANCE_S_#024	We're close like family now, right? And families\nshare meals.\x0E\x04\x02\x00
MID_RELIANCE_S_#025	So let's continue eating together. Tomorrow...\nThe next day... For as long as we live.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nThank you, Divine One. I would be honored\nto accept this ring.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Haha, you've made me so very happy.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	I've always wanted to be someone you could\nrely on and let spoil you a little.\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Somehow I think you ended up being the one\nsupporting me, Divine Dragon \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cセレスティア\nYou have become my family. I will cherish you,\nand I swear to never leave your side again.\x0E\x04\x00\x00
