MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0C\nスタルーク\nExcuse me, Princess Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nThat's why we're friends. You don't need to\nchange a thing.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nReally? Thank you, Princess Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nEh, just being honest.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nYou are honest but also kind. I still feel the light\nfrom your radiant heart, and yet...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nThis time, I can remain by your side... Perhaps\nit's because I understand you better.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, how about that? You're looking me\nin the eye!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nI am. I want to make up for how I acted before.\nI feel ashamed to have run from you like that.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nNow you're, uh...getting pretty close to me...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, you're a prince. It's improper for you to...\nlook at me like...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\nAaah! That's supposed to be my thiiing!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0C\nスタルーク\nPrincess Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nスタルーク\nHaha, now I know how it feels to talk to me.\x0E\x04\x00\x00
