MID_WU_C_1_IN_#001	Yoo-hoo, I'm here.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	From now on, I'm gonna put my heart and soul\ninto it.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	I say, "wake," you say, "up!" Wake! Up!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Hey! Nice wake up!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Your biggest fan approves!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	I'll be cheering for ya!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Good morning...\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	Are you sleeping? For real?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Boo! You woke up!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	I was gonna pull a really cute prank.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Hehe, I mean, forget I said anything.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Hmm, how about a prank to wake this silly\nsleepy-head up.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	I'll just tickle the Divine Dragon's nose with\nthis...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Huh?! It's not working. Weird.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Divine One! You didn't sneeze?!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Normally, when you do this to someone's\nnose th-they...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Ah... Ah... Achoo!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	It's Framme. I've come to wake you up.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Oh, you're already up.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Waiting for me, were ya?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Haha, no going back to sleep now!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Divine One, come on now, it's time you\nwoke up. Really.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	I'm gonna cheer. Loudly!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Hehe!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	You know what. Never mind.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Go ahead and sleep.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	I'll just tuck ya in and let ya snooze.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Well, good morning, Divine One.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	I know it's hard to keep those sleepy eyes open.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	But I promise, an amazing day is waiting for us!\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	I thought you'd be here.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Haha, I know you too well.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	You're not embarrassed I caught you sleeping,\nare you?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Aww...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	I'm your biggest fan. You've got nothing\nto worry about ever.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Sound asleep.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	You look just like you did when I was watching\nover you.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	I want to tell you something.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	All that time you were sleeping...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	I think deep down, I knew we'd be allies\nfor always.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Haha, good morning!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	I thought it'd be nice to let you sleep, but\nno way.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Your number one ally is waiting for ya!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	Time to rise and shine!\x0E\x04\x00\x00
