MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nAre you all right there, Divine One?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nBoucheron, will you take the Pact Ring and\npromise to stay with me?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nI think we have something special, and I'd hate\nto lose that after the war.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nブシュロン\nYou─ You mean it? Oh, Divine One, I'm so\nhappy right now I could cry.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nブシュロン\nBut no, I've gotta keep it together long enough\nto tell you this.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nブシュロン\nI'm no royal or steward, just an ordinary knight.\nBut I've always held you in high esteem.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nIs that a yes, then?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nブシュロン\nOf course I'll take the ring. It's proof that we're\nof the same mind about each other.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nブシュロン\nIf you'd have me, I'd follow you to the ends\nof the earth.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nThank you, Boucheron. This is cause for\ncelebration.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nブシュロン\nHaha, you took the words right out of\nmy mouth.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0C\nブシュロン\nI may get lost in life and feel emotional, but I'll\nalways find my way with you, \x0E\x06\x03\x00.\x0E\x04\x00\x00
