MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x08\x06メリン\nAll right. It's time for our daily singing practice.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\n"Merrin, take all that oomph and hold it right\nunder your belly button!"\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nMystifying. What is "oomph," and how does one\n"hold" it?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nThe funny thing is, I kinda get it now.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nWhen I focus on the spot right below my navel,\nmy singing voice does get steadier.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nThough her counsel was nigh inscrutable, you\nfollowed it well! Commendable.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nHaha! Thanks, Panette. And remind me, what\nwas it the princess told you?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nShe said, "You're at a WA-WA-WA. I need you at\na dee-dee-dee!"\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nI was dizzy with confusion. Dizzy, I say.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nBut when I tried to put her advice into action,\nsomething unthinkable happened.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nIt worked!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nPerfect! Now no one will even think to call us\nthe Racket of Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nCertainly not. All across the queendom, we will\nput smiles on faces.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nInstead of holes in eardrums!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nAt this rate, we may soon be ready to put on\na concert.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nA concert, huh?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nOur listeners will be so mesmerized that they'll\ncall us...the Sirens of Solm!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nOoo, that would be incredible! I want people to\ncall me a siren.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nNow I'm all aquiver! Let us resume practicing\ntout suite!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nI agree. We have to get "Expect a Trifecta"\nready for showtime.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パネトネ\nYes. We'll combine our voices into an angelic\nharmony that does the boss proud!\x0E\x04\x00\x00
