MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06カゲツ\nAh...hunger has struck. Perfect time for onigiri.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nSeeking out strong opponents to fight has\nbeen my way to experience new horizons.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nAt Elusia Castle, I had my first encounter with\ntrue defeat. And that is when I realized...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nThe ones I fought there were very strong. But\nso many other strong ones await me still.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nHm. Our situations do seem similar.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nYou wish to become the world's best fighter,\njust as I wish to become the world's best chef.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nI have been fortunate to become retainer to\nPrincess Ivy. This position is teaching me much.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06カゲツ\nI am now able to see that it is not necessary\nfor me to meet every strong opponent there is.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nI cannot hope to know everything. What I can do\nis focus on mastering my own skill.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nHow wise. I wonder if I will ever be able to\nadopt your accepting attitude.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\nBunet, I have decided. I will contribute to\nyour path toward mastery.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nIf you wish it, I will tell you all that I know\nof cuisine in my culture.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nPale Sands lives in isolation, so there may be\nno other way for you to study it.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nThat sounds wonderful, but...you said you were\nbusy with your retainer duties.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nBut you and I are friends. And I can always\nmake time for friendship!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nThank you, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nI will pay you back in onigiri.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nThe proper kind this time. Made with salted fish\nand seaweed.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06カゲツ\nYes, but be sure to include ones with dates\nas well. They were delicious too!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nHahaha, as you wish. Prepare to have your\nmouth water.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x06\x04ボネ\nI am looking forward to learning more about\nyour culture.\x0E\x04\x00\x00
