MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nYou are incredibly wise for a human, Leif. I see\nwhy they call you the Sage Lord.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI know I underperformed out there. I feel my\nconfidence waning. Would you train with me?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06リーフ\nOf course, I can train with you. I'll continue to\naccompany you until you feel more confident.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIf I'd been this strong before, I might have been\nable to protect the Divine Dragon and Mauvier.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06リーフ\nRegret won't bring back the ones you have lost.\nWe must keep moving forward.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06リーフ\nLet's live now, so that when your life fades, you\ncan meet them again with your head held high.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nYes! And until I see them again, I'll work hard\nto become someone I can be proud of!\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nI'm a coward and unworthy of being granted\npower from the Sage Lord, but...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06リーフ\nPlease don't belittle yourself, Gregory. You\nfought marvelously in battle.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nI'm sorry, Leif. Even after you lent me your\npower, I still wanted to run away. I'm hopeless...\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06リーフ\nYou're not hopeless. I'm sure that you could\nhold your ground if you truly needed to.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nHaving you with me...it's made me calmer and\nmore confident in battle. Does it show?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06リーフ\nIt does. But you must remember that it isn't\nalways wise to fight. Sometimes, one must run.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06リーフ\nIf I'd understood that sooner, I could have saved\nsomeone... I wish I could tell my past self that.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nI didn't know you had a similar experience. If\nyou want to share your story, I'd love to hear it.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nマデリーン\nI wonder what it really means to be a knight.\nI'd be honored if you could teach me your ways.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06リーフ\nWhat it means to be a knight? I don't think\nthere's one easy answer, but I'll think about it.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nマデリーン\nI heard a rumor that a brilliant knight served\nyou a long time ago.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06リーフ\nThat's true. He served my late father. When my\nkingdom fell, he took me with him and we fled.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nマデリーン\nThe knight who served you must have been\nexceptional to keep you hidden for 10 years.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06リーフ\nHe was, yes. He went through some terrible\nhardships because of me.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nマデリーン\nHardships come with the profession─one must\nbe ready for anything.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x08\x06リーフ\nI think integrity like that befits a knight. May our\nwork together continue a long time.\x0E\x04\x00\x00
